ECARTS AU 26-FEB-2016

"Zone","Accl.","Elément","Date R","Valeur R","Valeur R bump","Date V","Valeur V","Valeur V bump","Date T","Valeur T","Valeur T bump","Date L","Valeur L","Valeur L bump","Type","Id.","Cumul"
"TPS","BI","BPM.00.E","17-APR-2014",".00511",".00511","17-APR-2014","-.00235","-.00235","26-FEB-2014",".000016097",".000016097","17-APR-2014","-.00528","-.00528","B","771297","7.051"
"TPS","BI","BPM.00.S","17-APR-2014",".00511",".00511","17-APR-2014","-.00235","-.00235","26-FEB-2014",".000016097",".000016097","17-APR-2014","-.00528","-.00528","B","771298","7.05101"
"TPS","BI","BPM.10.E","04-FEB-2015",".00396",".00396","17-APR-2014","-.00237","-.00237","26-FEB-2014",".000066097",".000066097","17-APR-2014",".00565",".00565","B","160262","12.504"
"TPS","BI","BPM.10.S","04-FEB-2015",".00396",".00396","17-APR-2014","-.00237","-.00237","26-FEB-2014",".000066097",".000066097","17-APR-2014",".00565",".00565","B","160263","12.50401"
"TPS","BI","QNO.10.E","04-FEB-2015",".00411",".00411","17-APR-2014","-.0018","-.0018","","","","08-AUG-2012","-.01465","-.01465","B","160266","13.393"
"TPS","BI","QNO.10.S","04-FEB-2015",".00399",".00399","17-APR-2014","-.00167","-.00167","","","","08-AUG-2012","-.01464","-.01464","B","160267","13.855"
"TPS","BI","QNO.20.E","16-FEB-2015",".004",".004","17-APR-2014","-.00179","-.00179","","","","08-AUG-2012","-.01427","-.01427","B","160268","14.393"
"TPS","BI","QNO.20.S","16-FEB-2015",".00406",".00406","17-APR-2014","-.00177","-.00177","","","","08-AUG-2012","-.01427","-.01427","B","160269","14.855"
"360","BI","BPM.20.E","16-FEB-2015",".00308",".00308","17-APR-2014","-.0026","-.0026","04-MAR-2014",".000016097",".000016097","17-APR-2014","-.00716","-.00716","B","160272","21.7056"
"360","BI","BPM.20.S","16-FEB-2015",".00308",".00308","17-APR-2014","-.00269","-.00269","04-MAR-2014",".000016097",".000016097","17-APR-2014","-.00716","-.00716","B","160273","21.70561"
"360","BI","QNO.30.E","16-FEB-2015",".00299",".00299","17-APR-2014","-.00276","-.00276","16-FEB-2015",".0000161",".0000161","17-APR-2014","-.02343","-.02343","B","160282","23.686394355"
"360","BI","QNO.30.S","16-FEB-2015",".00304",".00304","17-APR-2014","-.00262","-.00262","16-FEB-2015",".0000161",".0000161","17-APR-2014","-.02343","-.02343","B","160283","24.148395385"
"360","BI","BPM.30.E","16-FEB-2015",".00308",".00308","17-APR-2014","-.0023","-.0023","04-MAR-2014","-.000013903","-.000013903","17-APR-2014","-.02687","-.02687","B","160284","24.58600369"
"360","BI","BPM.30.S","16-FEB-2015",".00311",".00311","17-APR-2014","-.00288","-.00288","04-MAR-2014","-.000013903","-.000013903","17-APR-2014","-.02687","-.02687","B","160285","24.58601369"
"360","BI","QNO.40.E","26-FEB-2016",".00286",".00286","17-APR-2014","-.00177","-.00177","26-FEB-2016",".000016105",".000016105","17-APR-2014","-.02646","-.02646","B","160286","24.983601879"
"360","BI","QNO.40.S","26-FEB-2016",".00279",".00279","17-APR-2014","-.00176","-.00176","26-FEB-2016",".000016105",".000016105","17-APR-2014","-.02646","-.02646","B","160287","25.445602341"
"360","BI","DIS.10.E","17-APR-2014",".00453",".00453","17-APR-2014","-.00274","-.00274","16-OCT-2013",".0004461",".0004461","17-APR-2014","-.03357","-.03357","B","160288","25.59300534"
"360","BI","DIS.10.S","17-APR-2014",".00168",".00168","17-APR-2014","-.00275","-.00275","16-OCT-2013",".0004461",".0004461","17-APR-2014","-.03357","-.03357","B","160289","27.87701467"
"360","BI","SMV.10.E","17-APR-2014","-.00068","-.00068","17-APR-2014","-.00179","-.00179","16-OCT-2013","-.0004739","-.0004739","17-APR-2014",".02699",".02699","B","160304","36.09401858"
"360","BI","SMV.10.S","17-APR-2014",".00001",".00001","17-APR-2014","-.00232","-.00232","16-OCT-2013","-.0004739","-.0004739","17-APR-2014",".02699",".02699","B","160305","37.05401858"
"360","BI","QNO.50.E","26-FEB-2016",".00059",".00059","17-APR-2014","0","0","26-FEB-2016",".000016097",".000016097","17-APR-2014","-.01758","-.01758","B","160308","39.64301858"
"360","BI","QNO.50.S","26-FEB-2016",".00059",".00059","17-APR-2014","-.00021","-.00021","26-FEB-2016",".000016097",".000016097","17-APR-2014","-.01758","-.01758","B","160309","40.10901858"
"360","BI","QNO.60.E","17-APR-2014",".00065",".00065","17-APR-2014","-.00016","-.00016","16-OCT-2013",".0005761",".0005761","17-APR-2014","-.01732","-.01732","B","160310","40.39301858"
"360","BI","QNO.60.S","17-APR-2014",".00045",".00045","17-APR-2014","-.00063","-.00063","16-OCT-2013",".0005761",".0005761","17-APR-2014","-.01732","-.01732","B","160311","40.85901858"
"360","BI","BPM.40.E","26-FEB-2016",".00048",".00048","26-FEB-2016","-.00021","-.00021","26-FEB-2016",".000016097",".000016097","23-MAR-2015","-.1465","-.1465","B","160314","41.75101858"
"360","BI","BPM.40.S","26-FEB-2016",".00048",".00048","26-FEB-2016","-.00021","-.00021","26-FEB-2016",".000016097",".000016097","23-MAR-2015","-.1465","-.1465","B","160315","41.75102858"
"360","BI","BPM.50.E","23-MAR-2015","-.00158","-.00158","26-FEB-2016","-.00178","-.00178","26-FEB-2016",".000016097",".000016097","23-MAR-2015","-.14934","-.14934","B","160320","44.32401858"
"360","BI","BPM.50.S","23-MAR-2015","-.00159","-.00159","26-FEB-2016","-.00178","-.00178","26-FEB-2016",".000016097",".000016097","23-MAR-2015","-.14934","-.14934","B","160321","44.32402858"
