ECARTS AU 26-FEB-2016

"Zone","Accl.","Elément","Date R","Valeur R","Valeur R bump","Date V","Valeur V","Valeur V bump","Date T","Valeur T","Valeur T bump","Date L","Valeur L","Valeur L bump","Type","Id.","Cumul"
"TPS","LTB","BHZ.30.E","","","","21-JUL-2000","-.00127","-.00127","","","","","","","B","160194","0"
"TPS","LTB","BHZ.30.S","","","","21-JUL-2000","-.00145","-.00145","","","","","","","B","160195","1.051446528"
"TPS","LTB","STP.10.E","08-AUG-2012","0","0","08-AUG-2012",".00157",".00157","","","","08-AUG-2012","-.00339","-.00339","B","160198","2.272668195"
"TPS","LTB","STP.10.S","08-AUG-2012","-.00036","-.00036","08-AUG-2012",".00136",".00136","","","","08-AUG-2012","-.00339","-.00339","B","160199","2.272678195"
"TPS","LTB","QFN.10.E","08-AUG-2012",".00156",".00156","08-AUG-2012",".00085",".00085","","","","08-AUG-2012","-.01288","-.01288","B","161518","4.691668195"
"TPS","LTB","QFN.10.S","08-AUG-2012",".00174",".00174","08-AUG-2012",".00082",".00082","","","","08-AUG-2012","-.01288","-.01288","B","161519","4.946668195"
"TPS","LTB","QDN.20.E","08-AUG-2012",".00193",".00193","08-AUG-2012",".0008",".0008","","","","08-AUG-2012","-.00588","-.00588","B","161520","5.691668195"
"TPS","LTB","QDN.20.S","08-AUG-2012",".00217",".00217","08-AUG-2012",".00083",".00083","","","","08-AUG-2012","-.00588","-.00588","B","161521","5.946668195"
"TPS","LTB","BPM.10.E","09-APR-2014",".00205",".00205","04-FEB-2015",".00073",".00073","04-FEB-2015",".000016097",".000016097","09-APR-2014","-.00944","-.00944","B","160208","6.964668195"
"TPS","LTB","BPM.10.S","09-APR-2014",".00205",".00205","04-FEB-2015",".00073",".00073","04-FEB-2015",".000016097",".000016097","09-APR-2014","-.00944","-.00944","B","160209","6.964678195"
"TPS","LTB","BPM.20.E","04-FEB-2015",".00329",".00329","04-APR-2014","-.00063","-.00063","","","","07-DEC-2012",".00088",".00088","B","160220","14.169168195"
"TPS","LTB","BPM.20.S","04-FEB-2015",".00331",".00331","04-APR-2014","-.00081","-.00081","","","","07-DEC-2012",".00086",".00086","B","160221","14.169178195"
"TPS","LTB","QFW.30.E","08-AUG-2012",".00316",".00316","08-AUG-2012","-.00069","-.00069","","","","08-AUG-2012","-.01321","-.01321","B","161522","15.338668195"
"TPS","LTB","QFW.30.S","08-AUG-2012",".00358",".00358","08-AUG-2012","-.00077","-.00077","","","","08-AUG-2012","-.01321","-.01321","B","161523","15.799668195"
"TPS","LTB","QDW.40.E","08-AUG-2012",".00361",".00361","08-AUG-2012","-.00068","-.00068","","","","08-AUG-2012","-.02145","-.02145","B","161524","16.338668195"
"TPS","LTB","QDW.40.S","08-AUG-2012",".00372",".00372","08-AUG-2012","-.00073","-.00073","","","","08-AUG-2012","-.02145","-.02145","B","161525","16.799668195"
"TPS","LTB","QFW.50.E","08-AUG-2012",".00552",".00552","08-AUG-2012","-.00206","-.00206","","","","08-AUG-2012","-.02154","-.02154","B","160238","25.888668195"
"TPS","LTB","QFW.50.S","08-AUG-2012",".00541",".00541","08-AUG-2012","-.0021","-.0021","","","","08-AUG-2012","-.02154","-.02154","B","160239","26.349668195"
"TPS","LTB","QDW.60.E","08-AUG-2012",".00555",".00555","08-AUG-2012","-.00232","-.00232","","","","08-AUG-2012","-.02076","-.02076","B","160240","27.188668195"
"TPS","LTB","QDW.60.S","08-AUG-2012",".00568",".00568","08-AUG-2012","-.00243","-.00243","","","","08-AUG-2012","-.02076","-.02076","B","160241","27.649668195"
"TPS","LTB","BPM.30.E","09-APR-2014",".00584",".00584","04-APR-2014","-.00245","-.00245","26-FEB-2014",".000016097",".000016097","09-APR-2014","-.01804","-.01804","B","160244","28.573168195"
"TPS","LTB","BPM.30.S","09-APR-2014",".00584",".00584","04-APR-2014","-.00245","-.00245","26-FEB-2014",".000016097",".000016097","09-APR-2014","-.01804","-.01804","B","160245","28.573178195"
