ECARTS AU 28-JAN-2015

"Zone","Accl.","Elément","Date R","Valeur R","Valeur R bump","Date V","Valeur V","Valeur V bump","Date T","Valeur T","Valeur T bump","Date L","Valeur L","Valeur L bump","Type","Id.","Cumul"
"TPS","LTB","BHZ.30.E","","","","21-JUL-2000","-.00127","-.00127","","","","","","","B","160194","1.77"
"TPS","LTB","BHZ.30.S","","","","21-JUL-2000","-.00145","-.00145","","","","","","","B","160195","2.6868"
"TPS","LTB","STP.10.E","08-AUG-2012","0","0","08-AUG-2012",".00157",".00157","","","","08-AUG-2012","-.00339","-.00339","B","160198","3.8458"
"TPS","LTB","STP.10.S","08-AUG-2012","-.00036","-.00036","08-AUG-2012",".00136",".00136","","","","08-AUG-2012","-.00339","-.00339","B","160199","4.1058"
"TPS","LTB","QFN.10.E","08-AUG-2012",".00156",".00156","08-AUG-2012",".00085",".00085","","","","08-AUG-2012","-.01288","-.01288","B","161518","6.4247"
"TPS","LTB","QFN.10.S","08-AUG-2012",".00174",".00174","08-AUG-2012",".00082",".00082","","","","08-AUG-2012","-.01288","-.01288","B","161519","6.6599"
"TPS","LTB","QDN.20.E","08-AUG-2012",".00193",".00193","08-AUG-2012",".0008",".0008","","","","08-AUG-2012","-.00588","-.00588","B","161520","7.4177"
"TPS","LTB","QDN.20.S","08-AUG-2012",".00217",".00217","08-AUG-2012",".00083",".00083","","","","08-AUG-2012","-.00588","-.00588","B","161521","7.6529"
"TPS","LTB","BPM.10.E","09-APR-2014",".00205",".00205","04-APR-2014","-.00058","-.00058","","","","09-APR-2014","-.00948","-.00948","B","160208","8.6832"
"TPS","LTB","BPM.10.S","09-APR-2014",".00205",".00205","04-APR-2014","-.00058","-.00058","","","","09-APR-2014","-.00948","-.00948","B","160209","8.6832"
"TPS","LTB","BPM.20.E","07-DEC-2012","-.00012","-.00012","04-APR-2014","-.00063","-.00063","","","","07-DEC-2012",".00088",".00088","B","160220","15.7618"
"TPS","LTB","BPM.20.S","07-DEC-2012","-.0001","-.0001","04-APR-2014","-.00081","-.00081","","","","07-DEC-2012",".00086",".00086","B","160221","16.0118"
"TPS","LTB","QFW.30.E","08-AUG-2012",".00316",".00316","08-AUG-2012","-.00069","-.00069","","","","08-AUG-2012","-.01321","-.01321","B","161522","17.0868"
"TPS","LTB","QFW.30.S","08-AUG-2012",".00358",".00358","08-AUG-2012","-.00077","-.00077","","","","08-AUG-2012","-.01321","-.01321","B","161523","17.4868"
"TPS","LTB","QDW.40.E","08-AUG-2012",".00361",".00361","08-AUG-2012","-.00068","-.00068","","","","08-AUG-2012","-.02145","-.02145","B","161524","18.0868"
"TPS","LTB","QDW.40.S","08-AUG-2012",".00372",".00372","08-AUG-2012","-.00073","-.00073","","","","08-AUG-2012","-.02145","-.02145","B","161525","18.4868"
"TPS","LTB","SLH.10.E","","","","17-FEB-1998","-.00192","-.00192","","","","","","","B","160228","22.6768"
"TPS","LTB","QFW.50.E","08-AUG-2012",".00552",".00552","08-AUG-2012","-.00206","-.00206","","","","08-AUG-2012","-.02154","-.02154","B","160238","27.6368"
"TPS","LTB","QFW.50.S","08-AUG-2012",".00541",".00541","08-AUG-2012","-.0021","-.0021","","","","08-AUG-2012","-.02154","-.02154","B","160239","28.0368"
"TPS","LTB","QDW.60.E","08-AUG-2012",".00555",".00555","08-AUG-2012","-.00232","-.00232","","","","08-AUG-2012","-.02076","-.02076","B","160240","28.9368"
"TPS","LTB","QDW.60.S","08-AUG-2012",".00568",".00568","08-AUG-2012","-.00243","-.00243","","","","08-AUG-2012","-.02076","-.02076","B","160241","29.3368"
"TPS","LTB","BPM.30.E","09-APR-2014",".00584",".00584","04-APR-2014","-.00244","-.00244","26-FEB-2014",".000016097",".000016097","09-APR-2014","-.01815","-.01815","B","160244","30.2862"
"TPS","LTB","BPM.30.S","09-APR-2014",".00584",".00584","04-APR-2014","-.00244","-.00244","26-FEB-2014",".000016097",".000016097","09-APR-2014","-.01815","-.01815","B","160245","30.2862"
"TPS","LTB","BHZ.40.E","25-JUL-2012",".00497",".00497","08-AUG-2012","-.00264","-.00264","","","","25-JUL-2012",".00081",".00081","B","160246","30.9431"
"TPS","LTB","BHZ.40.S","25-JUL-2012",".00537",".00537","08-AUG-2012","-.00284","-.00284","","","","25-JUL-2012",".00081",".00081","B","160247","31.8431"
