ECARTS AU 31-MAR-2015

"Zone","Accl.","Elément","Date R","Valeur R","Valeur R bump","Date V","Valeur V","Valeur V bump","Date T","Valeur T","Valeur T bump","Date L","Valeur L","Valeur L bump","Type","Id.","Cumul"
"363","LT","BPM.10.E","09-APR-2014","-.00019","-.00019","04-APR-2014",".00055",".00055","19-FEB-2014",".000017078",".000017078","09-APR-2014","-.00614","-.00614","B","160468","1.3954"
"363","LT","BPM.10.S","09-APR-2014","-.00019","-.00019","04-APR-2014",".00055",".00055","19-FEB-2014",".000017078",".000017078","09-APR-2014","-.00614","-.00614","B","160469","1.3954"
"363","LT","QFN.10.E","15-DEC-2014","-.00119","-.00119","13-JAN-2015",".00426",".00426","","","","15-DEC-2014",".01032",".01032","B","161370","1.8594"
"363","LT","QFN.10.S","15-DEC-2014","-.00141","-.00141","13-JAN-2015",".00404",".00404","","","","15-DEC-2014",".01031",".01031","B","161371","2.0946"
"363","LT","QDN.12.E","13-JAN-2015","-.00278","-.00278","13-JAN-2015",".00354",".00354","","","","13-JAN-2015",".0092",".0092","B","161498","2.6594"
"363","LT","QDN.12.S","13-JAN-2015","-.00253","-.00253","13-JAN-2015",".00313",".00313","","","","13-JAN-2015",".0092",".0092","B","161499","2.8946"
"363","LT","QFN.20.E","26-JAN-2015","-.00292","-.00292","26-JAN-2015",".0031",".0031","","","","26-JAN-2015",".00419",".00419","B","161500","7.3445"
"363","LT","QFN.20.S","26-JAN-2015","-.00302","-.00302","26-JAN-2015",".00306",".00306","","","","26-JAN-2015",".00419",".00419","B","161501","7.5797"
"363","LT","QDN.22.E","13-JAN-2015","-.0023","-.0023","13-JAN-2015",".00315",".00315","","","","13-JAN-2015",".00792",".00792","B","161502","8.3445"
"363","LT","QDN.22.S","13-JAN-2015","-.00236","-.00236","13-JAN-2015",".00303",".00303","","","","13-JAN-2015",".00792",".00792","B","161503","8.5797"
"363","LT","QFN.30.E","13-JAN-2015","-.00266","-.00266","13-JAN-2015",".00202",".00202","","","","13-JAN-2015",".02688",".02688","B","161504","13.20463"
"363","LT","QFN.30.S","13-JAN-2015","-.00266","-.00266","13-JAN-2015",".0018",".0018","","","","13-JAN-2015",".02688",".02688","B","161505","13.43983"
"363","LT","QDN.32.E","13-JAN-2015","-.00127","-.00127","13-JAN-2015",".00182",".00182","","","","13-JAN-2015",".02163",".02163","B","161506","14.20463"
"363","LT","QDN.32.S","13-JAN-2015","-.00071","-.00071","13-JAN-2015",".0016",".0016","","","","13-JAN-2015",".02163",".02163","B","161507","14.43983"
"363","LT","BPM.20.E","09-APR-2014",".00027",".00027","04-APR-2014","-.00102","-.00102","19-FEB-2014",".000017078",".000017078","09-APR-2014","-.00117","-.00117","B","160494","17.16763"
"363","LT","BPM.20.S","09-APR-2014",".00027",".00027","04-APR-2014","-.00102","-.00102","19-FEB-2014",".000017078",".000017078","09-APR-2014","-.00117","-.00117","B","160495","17.16763"
"363","LT","QFN.40.E","13-JAN-2015","-.00072","-.00072","13-JAN-2015",".00081",".00081","","","","13-JAN-2015","-.0041","-.0041","B","161508","18.85466"
"363","LT","QFN.40.S","13-JAN-2015","-.00044","-.00044","13-JAN-2015",".00074",".00074","","","","13-JAN-2015","-.0041","-.0041","B","161509","19.08986"
"363","LT","QDN.42.E","13-JAN-2015","-.00051","-.00051","13-JAN-2015",".00062",".00062","","","","13-JAN-2015","-.00685","-.00685","B","161510","19.85466"
"363","LT","QDN.42.S","13-JAN-2015","-.00035","-.00035","13-JAN-2015",".00053",".00053","","","","13-JAN-2015","-.00685","-.00685","B","161511","20.08986"
"363","LT","BPM.30.E","09-APR-2014",".00032",".00032","04-APR-2014","-.00303","-.00303","19-FEB-2014",".000017078",".000017078","09-APR-2014","-.00489","-.00489","B","160502","20.99066"
"363","LT","BPM.30.S","09-APR-2014",".00032",".00032","04-APR-2014","-.00303","-.00303","19-FEB-2014",".000017078",".000017078","09-APR-2014","-.00489","-.00489","B","160503","20.99066"
"TPS","LT","BHZ.20.E","25-JUL-2012","-.00228","-.00228","11-FEB-2000","-.00118","-.00118","","","","25-JUL-2012",".00025",".00025","B","160510","23.55787"
"TPS","LT","BHZ.20.S","25-JUL-2012","-.00147","-.00147","11-FEB-2000","-.00121","-.00121","","","","25-JUL-2012",".00025",".00025","B","160511","24.45787"
"TPS","LT","QFN.50.E","13-JAN-2015","-.00084","-.00084","13-JAN-2015","-.00066","-.00066","","","","13-JAN-2015",".05341",".05341","B","161512","30.50947"
"TPS","LT","QFN.50.S","13-JAN-2015","-.00062","-.00062","13-JAN-2015","-.00072","-.00072","","","","13-JAN-2015",".05341",".05341","B","161513","30.74467"
"TPS","LT","BPM.40.E","09-APR-2014",".00018",".00018","04-APR-2014","-.00201","-.00201","19-FEB-2014",".000014107",".000014107","09-APR-2014",".00532",".00532","B","160526","34.02833"
"TPS","LT","BPM.40.S","09-APR-2014",".00018",".00018","04-APR-2014","-.00201","-.00201","19-FEB-2014",".000014107",".000014107","09-APR-2014",".00532",".00532","B","160527","34.02833"
"TPS","LT","QDN.55.E","13-JAN-2015","-.00164","-.00164","13-JAN-2015","-.00139","-.00139","","","","13-JAN-2015",".00124",".00124","B","161514","34.70533"
"TPS","LT","QDN.55.S","13-JAN-2015","-.00135","-.00135","13-JAN-2015","-.00138","-.00138","","","","13-JAN-2015",".00124",".00124","B","161515","34.94053"
"TPS","LT","QFN.60.E","13-JAN-2015","-.0012","-.0012","12-FEB-1998","-.00228","-.00228","","","","13-JAN-2015",".02619",".02619","B","161516","39.57653"
"TPS","LT","QFN.60.S","13-JAN-2015","-.00118","-.00118","12-FEB-1998","-.00204","-.00204","","","","13-JAN-2015",".02619",".02619","B","161517","39.81173"
"TPS","LT","QFW.70.E","08-AUG-2012","-.00026","-.00026","08-AUG-2012",".00015",".00015","","","","08-AUG-2012","-.01743","-.01743","B","160542","46.5498"
"TPS","LT","QFW.70.S","08-AUG-2012",".0001",".0001","08-AUG-2012",".00035",".00035","","","","08-AUG-2012","-.01743","-.01743","B","160543","46.9498"
"TPS","LT","QDN.75.E","08-AUG-2012",".00144",".00144","08-AUG-2012",".00088",".00088","","","","08-AUG-2012","-.01291","-.01291","B","160544","50.01853"
"TPS","LT","QDN.75.S","08-AUG-2012",".00236",".00236","08-AUG-2012",".00097",".00097","","","","08-AUG-2012","-.01291","-.01291","B","160545","50.25373"
"TPS","LT","BPM.50.E","09-APR-2014",".00025",".00025","04-APR-2014",".00082",".00082","25-FEB-2014","-.000035893","-.000035893","09-APR-2014","-.00332","-.00332","B","160550","52.50743"
"TPS","LT","BPM.50.S","09-APR-2014",".00025",".00025","04-APR-2014",".00082",".00082","25-FEB-2014","-.000035893","-.000035893","09-APR-2014","-.00332","-.00332","B","160551","52.50743"
"TPS","LT","BHZ.30.E","","","","13-FEB-1998","-.00606","-.00606","","","","","","","B","160552","53.54503"
"TPS","LT","BHZ.30.S","","","","13-FEB-1998","-.00612","-.00612","","","","","","","B","160553","54.44503"
