ECARTS AU 02-APR-2015

"Zone","Accl.","Elément","Date R","Valeur R","Valeur R bump","Date V","Valeur V","Valeur V bump","Date T","Valeur T","Valeur T bump","Date L","Valeur L","Valeur L bump","Type","Id.","Cumul"
"360","PSB","BRMB.110.E","10-JUN-2013",".00088",".00088","11-FEB-2008",".00007",".00007","16-APR-2013","-.0001042","-.0001042","10-JUN-2013","-.00078","-.00078","B","80261","2.654"
"360","PSB","BRMB.110.S","10-JUN-2013",".00087",".00087","11-FEB-2008",".00007",".00007","16-APR-2013","-.0001042","-.0001042","10-JUN-2013","-.00079","-.00079","B","80262","4.2691"
"360","PSB","BRQFO.111.E","08-AUG-2014",".00053",".00053","08-AUG-2014",".00008",".00008","24-JUN-2013",".0000046",".0000046","08-AUG-2014",".01371",".01371","B","80263","4.6592"
"360","PSB","BRQFO.111.S","08-AUG-2014",".0007",".0007","08-AUG-2014",".00008",".00008","24-JUN-2013",".0000046",".0000046","08-AUG-2014",".01371",".01371","B","80264","5.1152"
"360","PSB","BRUES.112.E","08-AUG-2014",".00094",".00094","05-JUL-2013",".00058",".00058","24-JUN-2013","-.0000654","-.0000654","08-AUG-2014",".0051",".0051","B","80453","5.2112"
"360","PSB","BRUES.112.S","08-AUG-2014",".00055",".00055","05-JUL-2013",".00038",".00038","24-JUN-2013","-.0000654","-.0000654","08-AUG-2014",".0051",".0051","B","80454","5.7192"
"360","PSB","BRQDE.113.E","08-AUG-2014",".00041",".00041","05-JUL-2013","-.00002","-.00003","24-JUN-2013",".0000246",".0000246","08-AUG-2014","-.00039","-.00039","B","80265","5.8152"
"360","PSB","BRQDE.113.S","08-AUG-2014",".00053",".00052","05-JUL-2013","-.00024","-.00025","24-JUN-2013",".0000246",".0000246","08-AUG-2014","-.00039","-.00038","B","80266","6.6492"
"360","PSB","BRQFO.115.E","08-AUG-2014",".00043",".00043","05-JUL-2013","-.00059","-.00059","24-JUN-2013","-.0000254","-.0000254","08-AUG-2014","-.0018","-.0018","B","80269","7.3502"
"360","PSB","BRQFO.115.S","08-AUG-2014",".00066",".00066","05-JUL-2013","-.00071","-.00071","24-JUN-2013","-.0000254","-.0000254","08-AUG-2014","-.0018","-.0018","B","80270","7.8062"
"360","PSB","BRMB.120.E","10-JUN-2013","-.0003","-.0003","17-MAY-2013",".00038",".00038","16-APR-2013","-.0001767","-.0001767","10-JUN-2013","-.00013","-.00013","B","80271","8.19721"
"360","PSB","BRMB.120.S","10-JUN-2013","0","0","17-MAY-2013","-.0004","-.0004","16-APR-2013","-.0001767","-.0001767","10-JUN-2013","-.00013","-.00013","B","80272","9.81231"
"360","PSB","BIKFA.210.E","19-JUN-1990","-.00018","-.00018","19-JUN-1990",".00001",".00001","","","","","","","B","80485","9.94366"
"360","PSB","BIKFA.210.S","19-JUN-1990","-.00012","-.00012","19-JUN-1990","-.00005","-.00005","","","","","","","B","80486","11.07166"
"360","PSB","BRMB.210.E","10-JUN-2013","-.00246","-.00246","17-MAY-2013","-.00024","-.00024","24-JUN-2013","-.0000199","-.0000199","10-JUN-2013","-.0024","-.0024","B","80273","12.46631"
"360","PSB","BRMB.210.S","10-JUN-2013","-.00293","-.00293","17-MAY-2013",".00051",".00051","24-JUN-2013","-.0000199","-.0000199","10-JUN-2013","-.00241","-.00241","B","80274","14.08141"
"360","PSB","BRQFO.211.E","09-AUG-2014",".0005",".0005","05-JUL-2013","-.00061","-.00061","24-JUN-2013","-.0000817","-.0000817","09-AUG-2014","-.00035","-.00035","B","80275","14.47151"
"360","PSB","BRQFO.211.S","09-AUG-2014",".00054",".00054","05-JUL-2013","-.00029","-.00029","24-JUN-2013","-.0000817","-.0000817","09-AUG-2014","-.00035","-.00035","B","80276","14.92751"
"360","PSB","BRUES.212.E","09-AUG-2014",".00049",".00049","05-JUL-2013",".00033",".00033","24-JUN-2013","-.0000317","-.0000317","09-AUG-2014",".00603",".00603","B","80455","15.02351"
"360","PSB","BRUES.212.S","09-AUG-2014",".00058",".00058","05-JUL-2013",".00038",".00038","24-JUN-2013","-.0000317","-.0000317","09-AUG-2014",".00603",".00603","B","80456","15.53151"
"360","PSB","BRQDE.213.E","20-NOV-2014","-.00054",".00086","18-NOV-2014","-.00122","-.00122","18-NOV-2014",".0000083",".0000083","09-AUG-2014","-.00257","-.00257","B","80277","15.62751"
"360","PSB","BRQDE.213.S","20-NOV-2014","-.00049",".0009","18-NOV-2014","-.00115","-.00115","18-NOV-2014",".0000083",".0000083","09-AUG-2014","-.00257","-.00257","B","80278","16.46151"
"360","PSB","BRQFO.215.E","09-AUG-2014","-.00001","-.00001","05-JUL-2013",".00004",".00004","24-JUN-2013","-.0000217","-.0000217","09-AUG-2014","-.00034","-.00034","B","80281","17.16251"
"360","PSB","BRQFO.215.S","09-AUG-2014","-.00001","-.00001","05-JUL-2013",".00005",".00005","24-JUN-2013","-.0000217","-.0000217","09-AUG-2014","-.00034","-.00034","B","80282","17.61851"
"360","PSB","BRMB.220.E","10-JUN-2013","-.00098","-.00098","17-MAY-2013",".00042",".00042","16-APR-2013","-.0001836","-.0001836","10-JUN-2013","0","0","B","80283","18.00952"
"360","PSB","BRMB.220.S","10-JUN-2013","-.00094","-.00094","17-MAY-2013","-.00003","-.00003","16-APR-2013","-.0001836","-.0001836","10-JUN-2013","0","0","B","80284","19.62462"
"360","PSB","BRMB.310.E","10-JUN-2013","-.00186","-.00186","17-MAY-2013",".00021",".00021","21-JUN-2013","-.0000577","-.0000577","10-JUN-2013","-.00026","-.00026","B","80285","22.27862"
"360","PSB","BRMB.310.S","10-JUN-2013","-.00117","-.00117","17-MAY-2013","-.0002","-.0002","21-JUN-2013","-.0000577","-.0000577","10-JUN-2013","-.00027","-.00027","B","80286","23.89372"
"360","PSB","BRQFO.311.E","09-AUG-2014","-.00052","-.00052","05-JUL-2013","-.00066","-.00066","11-APR-2013","-.0000598","-.0000598","09-AUG-2014",".00045",".00045","B","80287","24.28382"
"360","PSB","BRQFO.311.S","09-AUG-2014","-.00064","-.00064","05-JUL-2013","-.00067","-.00067","11-APR-2013","-.0000598","-.0000598","09-AUG-2014",".00045",".00045","B","80288","24.73982"
"360","PSB","BRUES.312.E","12-AUG-2014","-.00235","-.00235","08-AUG-2014","-.00095","-.00095","16-APR-2013",".0000502",".0000502","12-AUG-2014",".01048",".01048","B","80457","24.83582"
"360","PSB","BRUES.312.S","12-AUG-2014","-.00148","-.00148","08-AUG-2014","-.00064","-.00064","16-APR-2013",".0000502",".0000502","12-AUG-2014",".01048",".01048","B","80458","25.34382"
"360","PSB","BRQDE.313.E","26-JAN-2015",".0004",".0004","05-JUL-2013","-.00076","-.00076","21-JUN-2013","-.0000598","-.0000598","09-AUG-2014",".00034",".00034","B","80289","25.43982"
"360","PSB","BRQDE.313.S","26-JAN-2015",".00049",".00049","05-JUL-2013","-.00067","-.00067","21-JUN-2013","-.0000598","-.0000598","09-AUG-2014",".00034",".00034","B","80290","26.27382"
"360","PSB","BRQFO.315.E","09-AUG-2014","-.00016","-.00016","05-JUL-2013","-.00073","-.00073","11-APR-2013","-.0000498","-.0000498","09-AUG-2014",".00034",".00034","B","80293","26.97482"
"360","PSB","BRQFO.315.S","09-AUG-2014","-.00038","-.00038","05-JUL-2013","-.00097","-.00097","11-APR-2013","-.0000498","-.0000498","09-AUG-2014",".00034",".00034","B","80294","27.43082"
"360","PSB","BRMB.320.E","10-JUN-2013","-.0005","-.0005","17-MAY-2013","-.00032","-.00032","","","","10-JUN-2013","-.00099","-.00099","B","80295","27.82182"
"360","PSB","BRMB.320.S","10-JUN-2013","-.00023","-.00023","17-MAY-2013","-.00008","-.00008","","","","10-JUN-2013","-.001","-.001","B","80296","29.43692"
"360","PSB","BRMB.410.E","10-JUN-2013","-.00066","-.00066","17-MAY-2013","-.00052","-.00052","16-APR-2013","-.0004064","-.0004064","10-JUN-2013","-.00101","-.00101","B","80297","32.09092"
"360","PSB","BRMB.410.S","10-JUN-2013","-.00013","-.00013","17-MAY-2013",".00001",".00001","16-APR-2013","-.0004064","-.0004064","10-JUN-2013","-.00101","-.00101","B","80298","33.70602"
