@ NAME             %09s "PTC_TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "LTLTBBI"
@ PARTICLE         %06s "PROTON"
@ MASS             %le     0.93827
@ CHARGE           %le     1.00000
@ ENERGY           %le     0.98827
@ PC               %le     0.31037
@ GAMMA            %le     1.05329
@ KBUNCH           %le     1.00000
@ BCURRENT         %le     0.00000
@ SIGE             %le     0.00100
@ SIGT             %le     0.00000
@ NPART            %le     0.00000
@ EX               %le     0.00004
@ EY               %le     0.00002
@ ET               %le     1.00000
@ DELTAP           %le     0.00000
@ LENGTH           %le   131.26445
@ ALPHA_C          %le  -1000000.00000
@ ALPHA_C_P        %le  -1000000.00000
@ ALPHA_C_P2       %le  -1000000.00000
@ ALPHA_C_P3       %le  -1000000.00000
@ ETA_C            %le  -1000000.00000
@ GAMMA_TR         %le  -1000000.00000
@ Q1               %le     3.10974
@ Q2               %le     2.47931
@ DQ1              %le  -1000000.00000
@ DQ2              %le  -1000000.00000
@ QS               %le  -1000000.00000
@ BETA_X_MIN       %le     0.72590
@ BETA_X_MAX       %le   112.00711
@ BETA_Y_MIN       %le     0.27753
@ BETA_Y_MAX       %le   647.14552
@ BETA11MIN        %le     0.72590
@ BETA11MAX        %le   112.00711
@ BETA12MIN        %le     0.00000
@ BETA12MAX        %le     0.00000
@ BETA13MIN        %le     0.00000
@ BETA13MAX        %le     0.00000
@ BETA21MIN        %le     0.00000
@ BETA21MAX        %le     0.00000
@ BETA22MIN        %le     0.27753
@ BETA22MAX        %le   647.14552
@ BETA23MIN        %le     0.00000
@ BETA23MAX        %le     0.00000
@ BETA31MIN        %le     0.00000
@ BETA31MAX        %le     0.00000
@ BETA32MIN        %le     0.00000
@ BETA32MAX        %le     0.00000
@ BETA33MIN        %le     0.00000
@ BETA33MAX        %le     0.00000
@ DISP1MIN         %le   -10.39664
@ DISP1MAX         %le     5.70664
@ DISP2MIN         %le    -1.19765
@ DISP2MAX         %le     1.85088
@ DISP3MIN         %le    -1.59206
@ DISP3MAX         %le     3.16873
@ DISP4MIN         %le    -0.62280
@ DISP4MAX         %le     1.29195
@ ORBIT_X          %le     0.00000
@ ORBIT_PX         %le     0.00000
@ ORBIT_Y          %le     0.00000
@ ORBIT_PY         %le     0.00000
@ ORBIT_PT         %le     0.00000
@ ORBIT_-CT        %le     0.00000
@ XCORMS           %le     0.00000
@ PXCORMS          %le     0.00000
@ YCORMS           %le     0.00000
@ PYCORMS          %le     0.00000
@ TCORMS           %le     0.00000
@ PTCORMS          %le     0.00000
@ XCOMIN           %le    -0.00000
@ XCOMAX           %le     0.00000
@ PXCOMIN          %le    -0.00000
@ PXCOMAX          %le     0.00000
@ YCOMIN           %le    -0.00000
@ YCOMAX           %le     0.00000
@ PYCOMIN          %le    -0.00000
@ PYCOMAX          %le     0.00000
@ TCOMIN           %le     0.00000
@ TCOMAX           %le     0.00000
@ PTCOMIN          %le     0.00000
@ PTCOMAX          %le     0.00000
@ TITLE            %65s "LT-LTB-BI 2014 optics. Protons - 310.3662354 MeV/c (E_kin=50 MeV)"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 32"
@ DATE             %08s "19/09/14"
@ TIME             %08s "14.48.25"
* NAME                        S      DISP1      DISP3 
$ %s                        %le        %le        %le 
 "LTLTBBI$START"        0.00000    0.00000    0.00000
 "LT$START"             0.00000    0.00000    0.00000
 "BEGLT"                0.00000    0.00000    0.00000
 "DRIFT_0"              0.04800    0.00000    0.00000
 "LT.VVS10"             0.04800    0.00000    0.00000
 "DRIFT_1"              0.39800    0.00000    0.00000
 "LT.DHZ10"             0.39800    0.00000    0.00000
 "LT.DVT10"             0.39800    0.00000    0.00000
 "DRIFT_2"              1.40000    0.00000    0.00000
 "LT.BPM10"             1.40000    0.00000    0.00000
 "DRIFT_3"              1.84950    0.00000    0.00000
 "LT.QFN10"             2.10450    0.00000    0.00000
 "DRIFT_4"              2.14700    0.00000    0.00000
