@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %06s "BTBTP1"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le     0.00051
@ CHARGE           %le     1.00000
@ ENERGY           %le     1.00000
@ PC               %le     1.00000
@ GAMMA            %le  1956.95134
@ KBUNCH           %le     1.00000
@ BCURRENT         %le     0.00000
@ SIGE             %le     0.00000
@ SIGT             %le     0.00000
@ NPART            %le     0.00000
@ EX               %le     1.00000
@ EY               %le     1.00000
@ ET               %le     1.00000
@ LENGTH           %le    69.59200
@ ALFA             %le     0.00000
@ ORBIT5           %le     0.00000
@ GAMMATR          %le     0.00000
@ Q1               %le     1.39913
@ Q2               %le     0.78550
@ DQ1              %le     0.00000
@ DQ2              %le     0.00000
@ DXMAX            %le     2.37909
@ DYMAX            %le     1.50653
@ XCOMAX           %le     0.00000
@ YCOMAX           %le     0.72000
@ BETXMAX          %le    69.39853
@ BETYMAX          %le    82.38922
@ XCORMS           %le     0.00000
@ YCORMS           %le     0.15903
@ DXRMS            %le     1.12034
@ DYRMS            %le     0.63876
@ DELTAP           %le     0.00000
@ SYNCH_1          %le     0.00000
@ SYNCH_2          %le     0.00000
@ SYNCH_3          %le     0.00000
@ SYNCH_4          %le     0.00000
@ SYNCH_5          %le     0.00000
@ TITLE            %45s "Transferline BT/BTP optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 4.01.30 Linux"
@ DATE             %08s "28/01/11"
@ TIME             %08s "15.40.45"
* NAME                        S          Y         PY       BETX       ALFX       BETY       ALFY 
$ %s                        %le        %le        %le        %le        %le        %le        %le 
 "BTBTP1$START"         0.00000   -0.72000    0.00000    5.77861   -0.00007    4.22000    0.00568
 "BT1$START"            0.00000   -0.72000    0.00000    5.77861   -0.00007    4.22000    0.00568
 "DRIFT_0"              1.67000   -0.72000    0.00000    6.26146   -0.28906    4.86193   -0.39007
 "BT1_BVT10"            3.34000   -0.72000    0.00000    7.70956   -0.57806    6.82565   -0.78581
 "DRIFT_1"              3.65469   -0.69579    0.07694    8.09052   -0.63252    7.34369   -0.86039
 "BT1_UES00"            4.22338   -0.65203    0.07694    8.86590   -0.73093    8.39892   -0.99515
 "DRIFT_2"              4.54269   -0.62746    0.07694    9.35033   -0.78619    9.05860   -1.07082
 "BT1_DHZ10"            4.80000   -0.60766    0.07694    9.76638   -0.83072    9.62536   -1.13180
 "DRIFT_3"              5.00261   -0.59207    0.07694   10.11011   -0.86578   10.09372   -1.17981
 "BT1_VVS10"            5.06323   -0.58741    0.07694   10.21570   -0.87627   10.23762   -1.19418
 "DRIFT_4"              5.68161   -0.53983    0.07694   11.36562   -0.98328   11.80516   -1.34072
 "M00"                  6.25000   -0.49610    0.07694   12.53930   -1.08164   13.40581   -1.47541
 "BT1$END"              6.25000   -0.49610    0.07694   12.53930   -1.08164   13.40581   -1.47541
 "DRIFT_5"              6.72500   -0.45955    0.07694   13.60590   -1.16384   14.86092   -1.58797
 "BTL_SMV10_1"          7.20000   -0.42300    0.07694   14.75060   -1.24604   16.42296   -1.70054
