@ NAME             %09s "PTC_TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %03s "BTP"
@ PARTICLE         %06s "PROTON"
@ MASS             %le    0.93827201
@ CHARGE           %le    1.00000000
@ ENERGY           %le    2.33827203
@ PC               %le    2.14176603
@ GAMMA            %le    2.49210463
@ KBUNCH           %le    1.00000000
@ BCURRENT         %le    0.00000000
@ SIGE             %le    0.00000000
@ SIGT             %le    0.00000000
@ NPART            %le    0.00000000
@ EX               %le    1.00000000
@ EY               %le    1.00000000
@ ET               %le    1.00000000
@ DELTAP           %le    0.00000000
@ LENGTH           %le   35.08530297
@ ALPHA_C          %le  -1000000.00000000
@ ALPHA_C_P        %le  -1000000.00000000
@ ALPHA_C_P2       %le  -1000000.00000000
@ ALPHA_C_P3       %le  -1000000.00000000
@ ETA_C            %le  -1000000.00000000
@ GAMMA_TR         %le  -1000000.00000000
@ Q1               %le    0.76846348
@ Q2               %le    0.16715276
@ DQ1              %le  -1000000.00000000
@ DQ2              %le  -1000000.00000000
@ QS               %le  -1000000.00000000
@ BETA_X_MIN       %le  -1000000.00000000
@ BETA_X_MAX       %le  -1000000.00000000
@ BETA_Y_MIN       %le  -1000000.00000000
@ BETA_Y_MAX       %le  -1000000.00000000
@ ORBIT_X          %le  -1000000.00000000
@ ORBIT_PX         %le  -1000000.00000000
@ ORBIT_Y          %le  -1000000.00000000
@ ORBIT_PY         %le  -1000000.00000000
@ ORBIT_PT         %le  -1000000.00000000
@ ORBIT_-CT        %le  -1000000.00000000
@ XCORMS           %le  -1000000.00000000
@ PXCORMS          %le  -1000000.00000000
@ YCORMS           %le  -1000000.00000000
@ PYCORMS          %le  -1000000.00000000
@ XCOMAX           %le  -1000000.00000000
@ PXCOMAX          %le  -1000000.00000000
@ YCOMAX           %le  -1000000.00000000
@ PYCOMAX          %le  -1000000.00000000
@ TITLE            %42s "Transferline BTP optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 5.00.09 Linux"
@ DATE             %08s "14/12/11"
@ TIME             %08s "21.47.52"
* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "BTP$START"              0.00000000   0.00000000   0.00000000   0.34589000  -0.16973400   0.12347100   1.28785000   0.00000000   0.00000000   0.00000000  -0.04137838   0.00151000   0.00612029  27.93735436   0.00000000
 "BTP.BHZ10"              1.53902000   0.00000000   0.00000000   0.20215264  -0.01340165  -1.09986414   2.73438081   0.15211536   0.00000000   0.00000000  -0.03908234   0.00210600   0.37941631  28.04095533   0.00875577
 "DRIFT_0"                2.07289900   0.00000000   0.00000000   0.19499778  -0.01340165  -1.53130113   4.13910470   0.17747951   0.00000000   0.00000000  -0.03795800   0.00210600   0.35763622  27.64745846   0.01180764
 "BTP.STP"                3.52989900   0.00000000   0.00000000   0.17547158  -0.01340165  -2.70872841  10.31682774   0.21326600   0.00000000   0.00000000  -0.03488956   0.00210600   0.29819656  26.69191009   0.02034789
 "DRIFT_1"                3.99039900   0.00000000   0.00000000   0.16930012  -0.01340165  -3.08086654  12.98293621   0.21960039   0.00000000   0.00000000  -0.03391974   0.00210600   0.27941004  26.42592226   0.02310762
 "BTP.UES00"              4.17539900   0.00000000   0.00000000   0.16682082  -0.01340165  -3.23036829  14.15051465   0.22177276   0.00000000   0.00000000  -0.03353013   0.00210600   0.27186279  26.32393678   0.02422398
 "DRIFT_2"                4.61939900   0.00000000   0.00000000   0.16087048  -0.01340165  -3.58917248  17.17839075   0.22630574   0.00000000   0.00000000  -0.03259507   0.00210600   0.25374940  26.09056497   0.02692052
 "BTP.DHZ10"              4.98139900   0.00000000   0.00000000   0.15601909  -0.01340165  -3.88171103  19.88285058   0.22942338   0.00000000   0.00000000  -0.03183270   0.00210600   0.23898127  25.91219647   0.02913642
 "DRIFT_3"                5.09939900   0.00000000   0.00000000   0.15443769  -0.01340165  -3.97706890  20.81018661   0.23034665   0.00000000   0.00000000  -0.03158419   0.00210600   0.23416735  25.85636493   0.02986197
 "BTP.DVT10"              5.46139900   0.00000000   0.00000000   0.14958630  -0.01340165  -4.26960746  23.79548346   0.23293583   0.00000000   0.00000000  -0.03082182   0.00210600   0.21939923  25.69217383   0.03209738
