@ NAME             %09s "PTC_TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %03s "BTP"
@ PARTICLE         %06s "PROTON"
@ MASS             %le    0.93827201
@ CHARGE           %le    1.00000000
@ ENERGY           %le    2.33827200
@ PC               %le    2.14176600
@ GAMMA            %le    2.49210461
@ KBUNCH           %le    1.00000000
@ BCURRENT         %le    0.00000000
@ SIGE             %le    0.00000000
@ SIGT             %le    0.00000000
@ NPART            %le    0.00000000
@ EX               %le    1.00000000
@ EY               %le    1.00000000
@ ET               %le    1.00000000
@ DELTAP           %le    0.00000000
@ LENGTH           %le   35.03788908
@ ALPHA_C          %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ALPHA_C_P        %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ALPHA_C_P2       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ALPHA_C_P3       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ETA_C            %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ GAMMA_TR         %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ Q1               %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ Q2               %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ DQ1              %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ DQ2              %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ QS               %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ BETA_X_MIN       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ BETA_X_MAX       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ BETA_Y_MIN       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ BETA_Y_MAX       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_X          %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_PX         %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_Y          %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_PY         %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_PT         %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_-CT        %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ XCORMS           %le    0.00000000
@ PXCORMS          %le    0.00000000
@ YCORMS           %le    0.00000000
@ PYCORMS          %le    0.00000000
@ XCOMAX           %le    0.00000000
@ PXCOMAX          %le    0.00000000
@ YCOMAX           %le    0.00000000
@ PYCOMAX          %le    0.00000000
@ TITLE            %48s "Transferline BTP to PS optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 5.00.01 Linux"
@ DATE             %08s "12/04/11"
@ TIME             %08s "13.39.37"
* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "BTP$START"              0.00000000   0.00000000   0.00000000   0.34589000  -0.16973400   0.12347100   1.28785000   0.00000000   0.00000000   0.00000000  -0.04137838   0.00151000   0.00612029  27.93735436   0.00000000
 "BTP_BHZ10_1"            0.76713908   0.00000000   0.00000000   0.24763313  -0.08629861  -0.46999850   1.55423319   0.09110427   0.00000000   0.00000000  -0.04022000   0.00151000  -0.02134000  27.94903000   0.00436991
 "BTP_BHZ10_2"            1.53427816   0.00000000   0.00000000   0.21362012   0.00113605  -1.09609495   2.72413851   0.15184338   0.00000000   0.00000000  -0.03907521   0.00210813   0.38050517  28.02174488   0.00873324
 "M1"                     1.53427816   0.00000000   0.00000000   0.21362012   0.00113605  -1.09609495   2.72413851   0.15184338   0.00000000   0.00000000  -0.03907521   0.00210813   0.38050517  28.02174488   0.00873324
 "DRIFT_0"                3.66928908   0.00000000   0.00000000   0.21604560   0.00113605  -2.82143475  11.08810720   0.21534141   0.00000000   0.00000000  -0.03457434   0.00210813   0.29328267  26.58320048   0.02119596
 "BTP_UES00"              3.85428908   0.00000000   0.00000000   0.21625576   0.00113605  -2.97093650  12.15969588   0.21787724   0.00000000   0.00000000  -0.03418434   0.00210813   0.28572479  26.47608410   0.02230581
 "DRIFT_1"                4.61978908   0.00000000   0.00000000   0.21712541   0.00113605  -3.58955048  17.18174867   0.22631008   0.00000000   0.00000000  -0.03257057   0.00210813   0.25445149  26.06257917   0.02694446
 "BTP_DHZ10"              4.98178908   0.00000000   0.00000000   0.21753666   0.00113605  -3.88208904  19.88648217   0.22942713   0.00000000   0.00000000  -0.03180743   0.00210813   0.23966255  25.88370988   0.02916276
 "DRIFT_2"                5.09978908   0.00000000   0.00000000   0.21767071   0.00113605  -3.97744691  20.81390741   0.23035023   0.00000000   0.00000000  -0.03155867   0.00210813   0.23484185  25.82771836   0.02988911
 "BTP_DVT10"              5.46178908   0.00000000   0.00000000   0.21808196   0.00113605  -4.26998546  23.79947793   0.23293896   0.00000000   0.00000000  -0.03079552   0.00210813   0.22005291  25.66304646   0.03212704
 "DRIFT_3"                6.14468908   0.00000000   0.00000000   0.21885777   0.00113605  -4.82184894  30.00829164   0.23700639   0.00000000   0.00000000  -0.02935589   0.00210813   0.19215411  25.38155029   0.03638612
 "BTP_Q10"                6.61068908   0.00000000   0.00000000   0.21938717   0.00113605  -5.19843172  34.67774243   0.23930558   0.00000000   0.00000000  -0.02837350   0.00210813   0.17311641  25.21133423   0.03931819
 "DRIFT_4"               10.14728908   0.00000000   0.00000000   0.22340492   0.00113605  -8.05642025  81.55485191   0.24989755   0.00000000   0.00000000  -0.02091790   0.00210813   0.02863420  24.49782303   0.06204410
 "BTP_Q20"               10.61328908   0.00000000   0.00000000   0.21139812  -0.05218031  11.70110387  79.78929885   0.25079971   0.00000000   0.00000000  -0.02111207  -0.00294934  -6.39570121  27.35776367   0.06496347
 "DRIFT_5"               10.79928908   0.00000000   0.00000000   0.20169259  -0.05218031  11.37960281  75.49628741   0.25118113   0.00000000   0.00000000  -0.02166065  -0.00294934  -6.68060494  29.78995661   0.06600043
 "BTP_DHZ20"             11.16128908   0.00000000   0.00000000   0.18280332  -0.05218031  10.75388568  67.48396457   0.25198830   0.00000000   0.00000000  -0.02272831  -0.00294934  -7.23509499  34.82743999   0.06778915
 "DRIFT_6"               11.37078908   0.00000000   0.00000000   0.17187154  -0.05218031  10.39176485  63.05395079   0.25249945   0.00000000   0.00000000  -0.02334619  -0.00294934  -7.55599462  37.92617326   0.06870658
 "BTP_UES10"             11.55578908   0.00000000   0.00000000   0.16221818  -0.05218031  10.07199228  59.26815572   0.25298109   0.00000000   0.00000000  -0.02389182  -0.00294934  -7.83936661  40.77431509   0.06945532
 "DRIFT_7"               12.09928908   0.00000000   0.00000000   0.13385819  -0.05218031   9.13255234  48.83048572   0.25458904   0.00000000   0.00000000  -0.02549478  -0.00294934  -8.67186756  49.74817086   0.07137597
 "BTP_DVT20"             12.46128908   0.00000000   0.00000000   0.11496892  -0.05218031   8.50683521  42.44502743   0.25585457   0.00000000   0.00000000  -0.02656244  -0.00294934  -9.22635761  56.22732838   0.07246533
 "DRIFT_5"               12.64728908   0.00000000   0.00000000   0.10526338  -0.05218031   8.18533414  39.34028393   0.25657901   0.00000000   0.00000000  -0.02711102  -0.00294934  -9.51126134  59.71252550   0.07297622
 "BTP_Q30"               13.11328908   0.00000000   0.00000000   0.08610998  -0.03074330  -0.42070290  35.84385375   0.25858898   0.00000000   0.00000000  -0.02704631   0.00322461   4.32510017  62.21784902   0.07417177
 "DRIFT_8"               13.35178908   0.00000000   0.00000000   0.07877770  -0.03074330  -0.42853443  36.04639685   0.25964500   0.00000000   0.00000000  -0.02627724   0.00322461   4.24955917  60.17279277   0.07479215
 "BTP_VPI11"             13.35178908   0.00000000   0.00000000   0.07877770  -0.03074330  -0.42853443  36.04639685   0.25964500   0.00000000   0.00000000  -0.02627724   0.00322461   4.24955917  60.17279277   0.07479215
 "DRIFT_9"               14.68278908   0.00000000   0.00000000   0.03785836  -0.03074330  -0.47223997  37.24532759   0.26542765   0.00000000   0.00000000  -0.02198528   0.00322461   3.82798658  49.42157938   0.07867707
 "BTP_STP"               16.13978908   0.00000000   0.00000000  -0.00693464  -0.03074330  -0.52008292  38.69114205   0.27153770   0.00000000   0.00000000  -0.01728702   0.00322461   3.36650553  38.93920438   0.08396405
 "DRIFT_10"              17.94728908   0.00000000   0.00000000  -0.06250316  -0.03074330  -0.57943511  40.67852090   0.27879141   0.00000000   0.00000000  -0.01145853   0.00322461   2.79400931  27.80407380   0.09271126
 "BTP_Q40"               18.41328908   0.00000000   0.00000000  -0.07228080  -0.01074157  10.43479726  35.86449175   0.28068925   0.00000000   0.00000000  -0.01071369   0.00000843  -5.49005230  29.00613756   0.09538291
 "DRIFT_11"              18.54928908   0.00000000   0.00000000  -0.07374165  -0.01074157  10.01810770  33.08289667   0.28131764   0.00000000   0.00000000  -0.01071255   0.00000843  -5.63606042  30.51928889   0.09611040
 "BTP_DHZ30"             18.91128908   0.00000000   0.00000000  -0.07763010  -0.01074157   8.90897815  26.23129160   0.28327345   0.00000000   0.00000000  -0.01070950   0.00000843  -6.02469969  34.74048406   0.09787983
