@ NAME             %09s "PTC_TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %02s "PS"
@ PARTICLE         %06s "PROTON"
@ MASS             %le    0.93827201
@ CHARGE           %le    1.00000000
@ ENERGY           %le    2.33827200
@ PC               %le    2.14176600
@ GAMMA            %le    2.49210461
@ KBUNCH           %le    1.00000000
@ BCURRENT         %le    0.00000000
@ SIGE             %le    0.00000000
@ SIGT             %le    0.00000000
@ NPART            %le    0.00000000
@ EX               %le    1.00000000
@ EY               %le    1.00000000
@ ET               %le    1.00000000
@ DELTAP           %le    0.00000000
@ LENGTH           %le  628.31853072
@ ALPHA_C          %le  -1000000.00000000
@ ALPHA_C_P        %le  -1000000.00000000
@ ALPHA_C_P2       %le  -1000000.00000000
@ ALPHA_C_P3       %le  -1000000.00000000
@ ETA_C            %le  -1000000.00000000
@ GAMMA_TR         %le  -1000000.00000000
@ Q1               %le  -1000000.00000000
@ Q2               %le  -1000000.00000000
@ DQ1              %le  -1000000.00000000
@ DQ2              %le  -1000000.00000000
@ QS               %le  -1000000.00000000
@ BETA_X_MIN       %le  -1000000.00000000
@ BETA_X_MAX       %le  -1000000.00000000
@ BETA_Y_MIN       %le  -1000000.00000000
@ BETA_Y_MAX       %le  -1000000.00000000
@ ORBIT_X          %le  -1000000.00000000
@ ORBIT_PX         %le  -1000000.00000000
@ ORBIT_Y          %le  -1000000.00000000
@ ORBIT_PY         %le  -1000000.00000000
@ ORBIT_PT         %le  -1000000.00000000
@ ORBIT_-CT        %le  -1000000.00000000
@ XCORMS           %le  -1000000.00000000
@ PXCORMS          %le  -1000000.00000000
@ YCORMS           %le  -1000000.00000000
@ PYCORMS          %le  -1000000.00000000
@ XCOMAX           %le  -1000000.00000000
@ PXCOMAX          %le  -1000000.00000000
@ YCOMAX           %le  -1000000.00000000
@ PYCOMAX          %le  -1000000.00000000
@ TITLE            %48s "Transferline BTP to PS optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 5.00.02 Linux"
@ DATE             %08s "20/04/11"
@ TIME             %08s "18.09.59"
* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "POINTE"                 0.00000000   0.00000000   0.00000000   2.28515006   0.13814817   0.02905924  25.23765448   0.00000000   0.00000000   0.00000000   0.03640945  -0.00089320  -0.18392247  13.50407509   0.00000000
 "DRIFT_36"               0.10000000   0.00000000   0.00000000   2.29896488   0.13814817   0.02509356  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00089320  -0.19157814  13.54162515   0.00117695
 "PR.QNF45"               0.10000000   0.00000000   0.00000000   2.29896488   0.14622430  -0.06354587  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00102079  -0.14400718  13.54162515   0.00117695
 "PR.BHZ45"               0.10000000   0.00000000   0.00000000   2.29896488   0.14622430  -0.06354587  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00102079  -0.14400718  13.54162515   0.00117695
 "PS45$END"               0.10000000   0.00000000   0.00000000   2.29896488   0.14622430  -0.06354587  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00102079  -0.14400718  13.54162515   0.00117695
 "PR.BHT000045$START"     0.10000000   0.00000000   0.00000000   2.29896488   0.14622430  -0.06354587  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00102079  -0.14400718  13.54162515   0.00117695
 "PR.BHT000045.C1"        0.39857265   0.00000000   0.00000000   2.34262345   0.14622430  -0.07542663  25.27373259   0.00251247   0.00000000   0.00000000   0.03601535  -0.00102079  -0.16651293  13.63433797   0.00467440
 "PR.BHT000045.CORR1"     0.39857265   0.00000000   0.00000000   2.34262345   0.14622430  -0.07542663  25.27373259   0.00251247   0.00000000   0.00000000   0.03601535  -0.00102079  -0.16651293  13.63433797   0.00467440
 "PR.BHT000045.MPFI1"     0.39857265   0.00000000   0.00000000   2.34262345   0.15204621  -0.13823716  25.27373259   0.00251247   0.00000000   0.00000000   0.03601535  -0.00111030  -0.13262874  13.63433797   0.00467440
 "PR.BHT000045.FINFF1"    1.49669265   0.00000000   0.00000000   2.43422118   0.01379120   1.39778155  23.85688227   0.00954828   0.00000000   0.00000000   0.03606438   0.00120011  -1.15904433  15.02019175   0.01704430
 "PR.BHT000045.CORR2"     1.49669265   0.00000000   0.00000000   2.43422118   0.01379120   1.39778155  23.85688227   0.00954828   0.00000000   0.00000000   0.03606438   0.00120011  -1.15904433  15.02019175   0.01704430
 "PR.BHT000045.MPFM"      1.49669265   0.00000000   0.00000000   2.43422118   0.01379120   1.39778155  23.85688227   0.00954828   0.00000000   0.00000000   0.03606438   0.00120011  -1.15904433  15.02019175   0.01704430
 "PR.BHT000045.FINFF2"    2.59481265   0.00000000   0.00000000   2.37255480  -0.12543799   2.54582936  19.42074935   0.01757538   0.00000000   0.00000000   0.03868229   0.00359599  -2.52157904  18.96918312   0.02752850
 "PR.BHT000045.MPFI2"     2.59481265   0.00000000   0.00000000   2.37255480  -0.11954170   2.49756472  19.42074935   0.01757538   0.00000000   0.00000000   0.03868229   0.00349986  -2.47443664  18.96918312   0.02752850
 "PR.BHT000045.J1"        2.59731265   0.00000000   0.00000000   2.37225595  -0.11954170   2.49663301  19.40826385   0.01759588   0.00000000   0.00000000   0.03869104   0.00349986  -2.47537538  18.98155765   0.02754947
 "PR.BHT000045.CORR3"     2.59731265   0.00000000   0.00000000   2.37225595  -0.11954170   2.49663301  19.40826385   0.01759588   0.00000000   0.00000000   0.03869104   0.00349986  -2.47537538  18.98155765   0.02754947
 "PR.BHT000045.J2"        2.59981265   0.00000000   0.00000000   2.37195710  -0.11954170   2.49570130  19.39578302   0.01761638   0.00000000   0.00000000   0.03869979   0.00349986  -2.47631412  18.99393687   0.02757043
 "PR.BHT000045.MPDI1"     2.59981265   0.00000000   0.00000000   2.37195710  -0.12536480   2.54331755  19.39578302   0.01761638   0.00000000   0.00000000   0.03869979   0.00359486  -2.52294385  18.99393687   0.02757043
 "PR.BHT000045.DINDD1"    3.70221265  -0.00000000  -0.00000000   2.32648286   0.04237602   1.15740257  15.41014672   0.02789275   0.00000000   0.00000000   0.04124309   0.00099177  -1.40683468  23.43220952   0.03579211
 "PR.BHT000045.CORR4"     3.70221265  -0.00000000  -0.00000000   2.32648286   0.04237602   1.15740257  15.41014672   0.02789275   0.00000000   0.00000000   0.04124309   0.00099177  -1.40683468  23.43220952   0.03579211
 "PR.BHT000045.MPDM"      3.70221265  -0.00000000  -0.00000000   2.32648286   0.04237602   1.15740257  15.41014672   0.02789275   0.00000000   0.00000000   0.04124309   0.00099177  -1.40683468  23.43220952   0.03579211
 "PR.BHT000045.DINDD2"    4.80461265  -0.00000000  -0.00000000   2.46649910   0.21314841   0.10861216  14.04666230   0.03997150   0.00000000   0.00000000   0.04086054  -0.00168167   0.10140645  24.90655378   0.04297113
 "PR.BHT000045.CORR5"     4.80461265  -0.00000000  -0.00000000   2.46649910   0.21314841   0.10861216  14.04666230   0.03997150   0.00000000   0.00000000   0.04086054  -0.00168167   0.10140645  24.90655378   0.04297113
 "PR.BHT000045.MPDI2"     4.80461265  -0.00000000  -0.00000000   2.46649910   0.20709320   0.14309643  14.04666230   0.03997150   0.00000000   0.00000000   0.04086054  -0.00158136   0.04026137  24.90655378   0.04297113
 "PR.BHT000045.C2"        5.10318531  -0.00000000  -0.00000000   2.52833147   0.20709320   0.12140541  13.96768929   0.04336427   0.00000000   0.00000000   0.04038839  -0.00158136   0.02825422  24.88609690   0.04487986
 "PR.BHT000045$END"       5.10318531  -0.00000000  -0.00000000   2.52833147   0.20709320   0.12140541  13.96768929   0.04336427   0.00000000   0.00000000   0.04038839  -0.00158136   0.02825422  24.88609690   0.04487986
 "PS46$START"             5.10318531  -0.00000000  -0.00000000   2.52833147   0.20709320   0.12140541  13.96768929   0.04336427   0.00000000   0.00000000   0.04038839  -0.00158136   0.02825422  24.88609690   0.04487986
 "PR.VPI46"               5.10318531  -0.00000000  -0.00000000   2.52833147   0.20709320   0.12140541  13.96768929   0.04336427   0.00000000   0.00000000   0.04038839  -0.00158136   0.02825422  24.88609690   0.04487986
 "DRIFT_43"               5.10818531  -0.00000000  -0.00000000   2.52936694   0.20709320   0.12104216  13.96647705   0.04342124   0.00000000   0.00000000   0.04038048  -0.00158136   0.02805315  24.88581536   0.04491184
 "PR.C1046"               7.49818531  -0.00000000  -0.00000000   3.02431969   0.20709320  -0.05258905  13.80287410   0.07095454   0.00000000   0.00000000   0.03660102  -0.00158136  -0.06806108  24.98143433   0.06019104
 "DRIFT_43"               7.50318531  -0.00000000  -0.00000000   3.02535515   0.20709320  -0.05295230  13.80340181   0.07101219   0.00000000   0.00000000   0.03659312  -0.00158136  -0.06826216  24.98211594   0.06022290
 "PR.QND46"               7.50318531  -0.00000000  -0.00000000   3.02535515   0.20021074  -0.02155058  13.80340181   0.07101219   0.00000000   0.00000000   0.03659312  -0.00149812  -0.12509462  24.98211594   0.06022290
 "PR.BHZ46"               7.50318531  -0.00000000  -0.00000000   3.02535515   0.20021074  -0.02155058  13.80340181   0.07101219   0.00000000   0.00000000   0.03659312  -0.00149812  -0.12509462  24.98211594   0.06022290
 "PS46$END"               7.50318531  -0.00000000  -0.00000000   3.02535515   0.20021074  -0.02155058  13.80340181   0.07101219   0.00000000   0.00000000   0.03659312  -0.00149812  -0.12509462  24.98211594   0.06022290
 "PR.BHR000046$START"     7.50318531  -0.00000000  -0.00000000   3.02535515   0.20021074  -0.02155058  13.80340181   0.07101219   0.00000000   0.00000000   0.03659312  -0.00149812  -0.12509462  24.98211594   0.06022290
