@ NAME             %09s "PTC_TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %02s "PS"
@ PARTICLE         %06s "PROTON"
@ MASS             %le    0.93827201
@ CHARGE           %le    1.00000000
@ ENERGY           %le    2.33827200
@ PC               %le    2.14176600
@ GAMMA            %le    2.49210461
@ KBUNCH           %le    1.00000000
@ BCURRENT         %le    0.00000000
@ SIGE             %le    0.00000000
@ SIGT             %le    0.00000000
@ NPART            %le    0.00000000
@ EX               %le    1.00000000
@ EY               %le    1.00000000
@ ET               %le    1.00000000
@ DELTAP           %le    0.00000000
@ LENGTH           %le  628.31853072
@ ALPHA_C          %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ALPHA_C_P        %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ALPHA_C_P2       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ALPHA_C_P3       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ETA_C            %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ GAMMA_TR         %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ Q1               %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ Q2               %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ DQ1              %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ DQ2              %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ QS               %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ BETA_X_MIN       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ BETA_X_MAX       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ BETA_Y_MIN       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ BETA_Y_MAX       %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_X          %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_PX         %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_Y          %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_PY         %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_PT         %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ ORBIT_-CT        %le  -39878293683281588640545306415724252966226678169927860010990226284096253522750718541920306220903552209014354848592331859753738921213717028506648325678321256826024051681865743984182739275911059920762529120244200659896817663012061200712121745992059483259862950389937743076332183093899335932988396853809190535168.00000000
@ XCORMS           %le    0.00000000
@ PXCORMS          %le    0.00000000
@ YCORMS           %le    0.00000000
@ PYCORMS          %le    0.00000000
@ XCOMAX           %le    0.00000000
@ PXCOMAX          %le    0.00000000
@ YCOMAX           %le    0.00000000
@ PYCOMAX          %le    0.00000000
@ TITLE            %48s "Transferline BTP to PS optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 5.00.01 Linux"
@ DATE             %08s "12/04/11"
@ TIME             %08s "13.39.43"
* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "POINTE"                 0.00000000   0.00000000   0.00000000   2.28515006   0.13814817   0.02905924  25.23765448   0.00000000   0.00000000   0.00000000   0.03640945  -0.00089320  -0.18392247  13.50407509   0.00000000
 "DRIFT_36"               0.10000000   0.00000000   0.00000000   2.29896488   0.13814817   0.02509356  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00089320  -0.19157814  13.54162515   0.00117695
 "PR.QNF45"               0.10000000   0.00000000   0.00000000   2.29896488   0.13772381   0.02975111  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00088649  -0.19407776  13.54162515   0.00117695
 "PR.BHZ45"               0.10000000   0.00000000   0.00000000   2.29896488   0.13772381   0.02975111  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00088649  -0.19407776  13.54162515   0.00117695
 "PS45$END"               0.10000000   0.00000000   0.00000000   2.29896488   0.13772381   0.02975111  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00088649  -0.19407776  13.54162515   0.00117695
 "PR.BHT000045$START"     0.10000000   0.00000000   0.00000000   2.29896488   0.13772381   0.02975111  25.23223920   0.00063069   0.00000000   0.00000000   0.03632013  -0.00088649  -0.19407776  13.54162515   0.00117695
 "PR.BHT000045.C1"        0.39857265   0.00000000   0.00000000   2.34008544   0.13772381   0.01790766  25.21800959   0.00251455   0.00000000   0.00000000   0.03605545  -0.00088649  -0.21695675  13.66434882   0.00467056
 "PR.BHT000045.CORR1"     0.39857265   0.00000000   0.00000000   2.34008544   0.13772381   0.01790766  25.21800959   0.00251455   0.00000000   0.00000000   0.03605545  -0.00088649  -0.21695675  13.66434882   0.00467056
 "PR.BHT000045.MPFI1"     0.39857265   0.00000000   0.00000000   2.34008544   0.14353941  -0.04476438  25.21800959   0.00251455   0.00000000   0.00000000   0.03605545  -0.00097610  -0.18299798  13.66434882   0.00467056
 "PR.BHT000045.FINFF1"    1.49669265   0.00000000   0.00000000   2.42254156   0.00574714   1.47546155  23.60863105   0.00959509   0.00000000   0.00000000   0.03625501   0.00134170  -1.21989509  15.16953206   0.01696574
 "PR.BHT000045.CORR2"     1.49669265   0.00000000   0.00000000   2.42254156   0.00574714   1.47546155  23.60863105   0.00959509   0.00000000   0.00000000   0.03625501   0.00134170  -1.21989509  15.16953206   0.01696574
 "PR.BHT000045.MPFM"      1.49669265   0.00000000   0.00000000   2.42254156   0.00574714   1.47546155  23.60863105   0.00959509   0.00000000   0.00000000   0.03625501   0.00134170  -1.21989509  15.16953206   0.01696574
 "PR.BHT000045.FINFF2"    2.59481265   0.00000000   0.00000000   2.35255859  -0.13245109   2.58615556  19.03975400   0.01774473   0.00000000   0.00000000   0.03903704   0.00375506  -2.61055785  19.27927763   0.02731378
 "PR.BHT000045.MPFI2"     2.59481265   0.00000000   0.00000000   2.35255859  -0.12660449   2.53883778  19.03975400   0.01774473   0.00000000   0.00000000   0.03903704   0.00365805  -2.56264480  19.27927763   0.02731378
 "PR.BHT000045.J1"        2.59731265   0.00000000   0.00000000   2.35224208  -0.12660449   2.53786013  19.02706226   0.01776563   0.00000000   0.00000000   0.03904618   0.00365805  -2.56362606  19.29209330   0.02733441
 "PR.BHT000045.CORR3"     2.59731265   0.00000000   0.00000000   2.35224208  -0.12660449   2.53786013  19.02706226   0.01776563   0.00000000   0.00000000   0.03904618   0.00365805  -2.56362606  19.29209330   0.02733441
 "PR.BHT000045.J2"        2.59981265   0.00000000   0.00000000   2.35192557  -0.12660449   2.53688248  19.01437540   0.01778655   0.00000000   0.00000000   0.03905533   0.00365805  -2.56460731  19.30491389   0.02735503
 "PR.BHT000045.MPDI1"     2.59981265   0.00000000   0.00000000   2.35192557  -0.13237842   2.58356238  19.01437540   0.01778655   0.00000000   0.00000000   0.03905533   0.00375393  -2.61200049  19.30491389   0.02735503
 "PR.BHT000045.DINDD1"    3.70221265  -0.00000000  -0.00000000   2.29791103   0.03380389   1.20783503  14.93108063   0.02833105   0.00000000   0.00000000   0.04175929   0.00112245  -1.48261867  23.92935673   0.03542493
 "PR.BHT000045.CORR4"     3.70221265  -0.00000000  -0.00000000   2.29791103   0.03380389   1.20783503  14.93108063   0.02833105   0.00000000   0.00000000   0.04175929   0.00112245  -1.48261867  23.92935673   0.03542493
 "PR.BHT000045.MPDM"      3.70221265  -0.00000000  -0.00000000   2.29791103   0.03380389   1.20783503  14.93108063   0.02833105   0.00000000   0.00000000   0.04175929   0.00112245  -1.48261867  23.92935673   0.03542493
 "PR.BHT000045.DINDD2"    4.80461265  -0.00000000  -0.00000000   2.42734295   0.20240453   0.18392205  13.43217303   0.04088054   0.00000000   0.00000000   0.04150078  -0.00158865   0.06001865  25.53603424   0.04244077
 "PR.BHT000045.CORR5"     4.80461265  -0.00000000  -0.00000000   2.42734295   0.20240453   0.18392205  13.43217303   0.04088054   0.00000000   0.00000000   0.04150078  -0.00158865   0.06001865  25.53603424   0.04244077
 "PR.BHT000045.MPDI2"     4.80461265  -0.00000000  -0.00000000   2.42734295   0.19644545   0.21689777  13.43217303   0.04088054   0.00000000   0.00000000   0.04150078  -0.00148677  -0.00267180  25.53603424   0.04244077
 "PR.BHT000045.C2"        5.10318531  -0.00000000  -0.00000000   2.48599619   0.19644545   0.19362388  13.30960249   0.04443482   0.00000000   0.00000000   0.04105687  -0.00148677  -0.01436410  25.54112070   0.04430150
 "PR.BHT000045$END"       5.10318531  -0.00000000  -0.00000000   2.48599619   0.19644545   0.19362388  13.30960249   0.04443482   0.00000000   0.00000000   0.04105687  -0.00148677  -0.01436410  25.54112070   0.04430150
 "PS46$START"             5.10318531  -0.00000000  -0.00000000   2.48599619   0.19644545   0.19362388  13.30960249   0.04443482   0.00000000   0.00000000   0.04105687  -0.00148677  -0.01436410  25.54112070   0.04430150
 "PR.VPI46"               5.10318531  -0.00000000  -0.00000000   2.48599619   0.19644545   0.19362388  13.30960249   0.04443482   0.00000000   0.00000000   0.04105687  -0.00148677  -0.01436410  25.54112070   0.04430150
 "DRIFT_43"               5.10818531  -0.00000000  -0.00000000   2.48697842   0.19644545   0.19323413  13.30766820   0.04449461   0.00000000   0.00000000   0.04104944  -0.00148677  -0.01455990  25.54126532   0.04433266
