@ NAME             %09s "PTC_TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %02s "PS"
@ PARTICLE         %06s "PROTON"
@ MASS             %le    0.93827201
@ CHARGE           %le    1.00000000
@ ENERGY           %le    2.33827200
@ PC               %le    2.14176600
@ GAMMA            %le    2.49210461
@ KBUNCH           %le    1.00000000
@ BCURRENT         %le    0.00000000
@ SIGE             %le    0.00000000
@ SIGT             %le    0.00000000
@ NPART            %le    0.00000000
@ EX               %le    1.00000000
@ EY               %le    1.00000000
@ ET               %le    1.00000000
@ DELTAP           %le    0.00000000
@ LENGTH           %le   17.90955592
@ ALPHA_C          %le  -1000000.00000000
@ ALPHA_C_P        %le  -1000000.00000000
@ ALPHA_C_P2       %le  -1000000.00000000
@ ALPHA_C_P3       %le  -1000000.00000000
@ ETA_C            %le  -1000000.00000000
@ GAMMA_TR         %le  -1000000.00000000
@ Q1               %le  -1000000.00000000
@ Q2               %le  -1000000.00000000
@ DQ1              %le  -1000000.00000000
@ DQ2              %le  -1000000.00000000
@ QS               %le  -1000000.00000000
@ BETA_X_MIN       %le  -1000000.00000000
@ BETA_X_MAX       %le  -1000000.00000000
@ BETA_Y_MIN       %le  -1000000.00000000
@ BETA_Y_MAX       %le  -1000000.00000000
@ ORBIT_X          %le  -1000000.00000000
@ ORBIT_PX         %le  -1000000.00000000
@ ORBIT_Y          %le  -1000000.00000000
@ ORBIT_PY         %le  -1000000.00000000
@ ORBIT_PT         %le  -1000000.00000000
@ ORBIT_-CT        %le  -1000000.00000000
@ XCORMS           %le  -1000000.00000000
@ PXCORMS          %le  -1000000.00000000
@ YCORMS           %le  -1000000.00000000
@ PYCORMS          %le  -1000000.00000000
@ XCOMAX           %le  -1000000.00000000
@ PXCOMAX          %le  -1000000.00000000
@ YCOMAX           %le  -1000000.00000000
@ PYCOMAX          %le  -1000000.00000000
@ TITLE            %48s "Transferline BTP to PS optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 5.00.02 Linux"
@ DATE             %08s "20/04/11"
@ TIME             %08s "18.09.53"
* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "POINTS"                 0.00000000   0.00000000   0.00000000   0.18586173   0.01305217  -0.20375011  11.29394656   0.00000000   0.00000000   0.00000000   0.03369782   0.00185654  -0.00777597  17.55530399   0.00000000
 "PR.QLSD42"              0.00000000   0.00000000   0.00000000   0.18586173   0.01305217  -0.20375011  11.29394656   0.00000000   0.00000000   0.00000000   0.03369782   0.00185654  -0.00777597  17.55530399   0.00000000
 "PR.BHZ42"               0.00000000   0.00000000   0.00000000   0.18586173   0.01305217  -0.20375011  11.29394656   0.00000000   0.00000000   0.00000000   0.03369782   0.00185654  -0.00777597  17.55530399   0.00000000
 "PS42$END"               0.00000000   0.00000000   0.00000000   0.18586173   0.01305217  -0.20375011  11.29394656   0.00000000   0.00000000   0.00000000   0.03369782   0.00185654  -0.00777597  17.55530399   0.00000000
 "PR.BHR000042$START"     0.00000000   0.00000000   0.00000000   0.18586173   0.01305217  -0.20375011  11.29394656   0.00000000   0.00000000   0.00000000   0.03369782   0.00185654  -0.00777597  17.55530399   0.00000000
 "PR.BHR000042.C1"        0.29857265   0.00000000   0.00000000   0.18975875   0.01305217  -0.23128412  11.42383589   0.00418400   0.00000000   0.00000000   0.03425213   0.00185654  -0.02478455  17.56502567   0.00270622
 "PR.BHR000042.CORR1"     0.29857265   0.00000000   0.00000000   0.18975875   0.01305217  -0.23128412  11.42383589   0.00418400   0.00000000   0.00000000   0.03425213   0.00185654  -0.02478455  17.56502567   0.00270622
 "PR.BHR000042.MPDE1"     0.29857265   0.00000000   0.00000000   0.18975875   0.01258632  -0.20323883  11.42383589   0.00418400   0.00000000   0.00000000   0.03425213   0.00194063  -0.06790633  17.56502567   0.00270622
 "PR.BHR000042.DEXDD1"    1.40097265  -0.00000000  -0.00000000   0.22011387   0.04281063  -1.11056420  12.83878781   0.01886457   0.00000000   0.00000000   0.03515118  -0.00031927   0.96522168  16.55160211   0.01288118
 "PR.BHR000042.CORR2"     1.40097265  -0.00000000  -0.00000000   0.22011387   0.04281063  -1.11056420  12.83878781   0.01886457   0.00000000   0.00000000   0.03515118  -0.00031927   0.96522168  16.55160211   0.01288118
 "PR.BHR000042.MPDM"      1.40097265  -0.00000000  -0.00000000   0.22011387   0.04281063  -1.11056420  12.83878781   0.01886457   0.00000000   0.00000000   0.03515118  -0.00031927   0.96522168  16.55160211   0.01288118
 "PR.BHR000042.DEXDD2"    2.50337265  -0.00000000  -0.00000000   0.28527040   0.07609760  -2.34137122  16.55648563   0.03105371   0.00000000   0.00000000   0.03355655  -0.00255652   1.72931006  13.50841115   0.02448615
 "PR.BHR000042.MPDE2"     2.50337265  -0.00000000  -0.00000000   0.28527040   0.07539727  -2.30072538  16.55648563   0.03105371   0.00000000   0.00000000   0.03355655  -0.00247414   1.69614718  13.50841115   0.02448615
