@ NAME             %09s "PTC_TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %03s "BT1"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099891
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951337
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ DELTAP           %le                   0
@ LENGTH           %le             34.5805
@ ALPHA_C          %le            -1000000
@ ALPHA_C_P        %le            -1000000
@ ALPHA_C_P2       %le            -1000000
@ ALPHA_C_P3       %le            -1000000
@ ETA_C            %le            -1000000
@ GAMMA_TR         %le            -1000000
@ Q1               %le        0.7644718926
@ Q2               %le        0.4141024776
@ DQ1              %le            -1000000
@ DQ2              %le            -1000000
@ QS               %le            -1000000
@ BETA_X_MIN       %le            -1000000
@ BETA_X_MAX       %le            -1000000
@ BETA_Y_MIN       %le            -1000000
@ BETA_Y_MAX       %le            -1000000
@ ORBIT_X          %le            -1000000
@ ORBIT_PX         %le            -1000000
@ ORBIT_Y          %le            -1000000
@ ORBIT_PY         %le            -1000000
@ ORBIT_PT         %le            -1000000
@ ORBIT_-CT        %le            -1000000
@ XCORMS           %le            -1000000
@ PXCORMS          %le            -1000000
@ YCORMS           %le            -1000000
@ PYCORMS          %le            -1000000
@ XCOMAX           %le            -1000000
@ PXCOMAX          %le            -1000000
@ YCOMAX           %le            -1000000
@ PYCOMAX          %le            -1000000
@ TITLE            %94s "Transferline BT1 - from exit of the BOOSTER to entry of the BT.BHZ10 magnet. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 5.00.10 Linux"
@ DATE             %08s "21/12/11"
@ TIME             %08s "16.45.16"
* NAME                                S                  Y                 PY             ALFA11             BETA11             ALFA22             BETA22 
$ %s                                %le                %le                %le                %le                %le                %le                %le 
 "BT1$START"                          0                  0                  0        -6.7605e-05            5.77861         0.00568053               4.22
 "DRIFT_32"                 2.887128162                  0                  0      -0.4996909012        7.221476858      -0.6784951395        6.162502007
 "BT1.BVT10"                3.793951838                  0                  0      -0.6032835047        8.224651137      -0.8931772263        7.586325854
 "DRIFT_33"                     3.94854                  0                  0      -0.6289199327        8.415135202      -0.9298106743        7.868138204
 "BT1.UES00"                    4.45654                  0                  0      -0.7131650988        9.096914398       -1.050193706        8.873980429
 "DRIFT_2"                       4.6372                  0                  0      -0.7431252006        9.360007804       -1.093005514          9.2611708
 "BT1.DHZ10"                     4.9722                  0                  0      -0.7986805759        9.876512739       -1.172391962        10.02007895
 "DRIFT_3"                      5.01663                  0                  0      -0.8060487112        9.947810861       -1.182920737         10.1247255
 "BT1.VVS10"                    5.11663                  0                  0      -0.8226324053        10.11067897       -1.206618184        10.36367939
 "DRIFT_34"                 6.624146985                  0                  0       -1.072634411        12.96782589       -1.563861225        14.54022415
 "BT1.SMV10"                7.624373015                  0                  0       -1.156367981        15.20339757       -1.800675049        17.90247958
 "DRIFT_35"                     7.81232                  0                  0       -1.185260682        15.64349962       -1.845213686        18.58771338
 "BT2.MTV10"                    7.81232                  0                  0       -1.185260682        15.64349962       -1.845213686        18.58771338
 "DRIFT_6"                      8.49233                  0                  0       -1.289797215        17.32656374       -2.006358697        21.20682112
 "BT.VPG11"                     8.49233                  0                  0       -1.289797215        17.32656374       -2.006358697        21.20682112
 "DRIFT_7"                      9.04985                  0                  0       -1.375503613        18.81252226       -2.138476704        23.51764975
 "BT2.UES10"                    9.23485                  0                  0       -1.403943281        19.32671993       -2.182316981        24.31699658
 "DRIFT_8"                  9.479355571                  0                  0       -1.441530617        20.02245415       -2.240258559        25.39834094
 "BT2.QNO10"                9.945364429    3.552713679e-15    1.094610513e-15        4.551862696        18.49829783       -11.73000283        31.61080183
 "DRIFT_9"                      11.0935    4.809474945e-15    1.094610513e-15        3.203799326        9.593746389       -16.76383637        64.32559216
 "BT2.VVS30"                    11.1935    4.918935997e-15    1.094610513e-15        3.086386069        8.964727849       -17.20227184        67.72220298
 "DRIFT_10"                 11.47949961    5.231994172e-15    1.094610513e-15        2.750584615        7.295356532       -18.45619554        77.92051061
 "BT2.QNO20"                11.94550039    5.734681046e-63    1.095044194e-15       0.5932029089        5.804656454        5.411885295        84.29317755
 "DRIFT_11"                     13.8581    2.094381095e-15    1.095044194e-15       0.1477633361        4.387484705        4.724643699        64.90605619
 "BT.VGP21"                     13.8581    2.094381095e-15    1.095044194e-15       0.1477633361        4.387484705        4.724643699        64.90605619
