COORDONNEES COURANTES(EN Z) DES POINTS FAISCEAUX AU 02-APR-2015

"Zone","Accl.","Elément","X","Y","Z","Dist. cumul.","Longueur","Deflexion","Corhgeo","Pente Z","Gisement","Tilt Z","Date calcul","Id."
"TPS","BI","BHZ.40.E","1901.35001","2066.07541","2433.66","0","","0","0","0","371.079189","0","28-NOV-1996","160248"
"TPS","BI","BHZ.40.S","1900.95507","2066.88413","2433.66",".9",".9","0","0","0","371.079189","0","28-NOV-1996","160249"
"TPS","BI","DHZ.10.E","1898.524","2071.86223","2433.66","6.44","","0","0","0","371.079189","0","28-NOV-1996","160250"
"TPS","BI","DVT.10.E","1898.459932021","2071.993421822","2433.66","6.586","","0","0","0","371.079189","0","11-DEC-2014","772716"
"TPS","BI","DVT.10.S","1898.459932021","2071.993421822","2433.66","6.586","0","0","0","0","371.079189","0","11-DEC-2014","772717"
"TPS","BI","DHZ.10.S","1898.39586","2072.12461","2433.66","6.732",".292","0","0","0","371.079189","0","28-NOV-1996","160251"
"TPS","BI","BPM.00.E","1898.257895845","2072.407125975","2433.66","7.0464","","0","0","0","371.079189","0","31-JAN-2014","771297"
"TPS","BI","BPM.00.S","1898.257895845","2072.407125975","2433.66","7.0464","0","0","0","0","371.079189","0","31-JAN-2014","771298"
"TPS","BI","BTV.10.E","1897.91009","2073.11933","2433.66","7.839","","0","0","0","371.079189","0","28-NOV-1996","160254"
"TPS","BI","BTV.10.S","1897.76089","2073.42485","2433.66","8.179",".34","0","0","0","371.079189","0","28-NOV-1996","160255"
"TPS","BI","STPFA.10.E","1897.66435","2073.62254","2433.66","8.399","","0","0","0","371.079189","0","05-SEP-1997","177207"
"TPS","BI","STPFA.10.S","1897.55026","2073.85617","2433.66","8.659",".26","0","0","0","371.079189","0","05-SEP-1997","177208"
"TPS","BI","PFA.0.E","1897.46907","2074.0224","2433.66","8.844","","0","0","0","371.079189","0","28-NOV-1996","160258"
"TPS","BI","PFA.0.S","1897.27818","2074.41328","2433.66","9.279",".435","0","0","0","371.079189","0","28-NOV-1996","160259"
"TPS","BI","STPSW.10.E","1896.35227","2076.30927","2433.66","11.389","","0","0","0","371.079189","0","28-NOV-1996","160260"
"TPS","BI","STPSW.10.S","1896.01438","2077.00117","2433.66","12.159",".77","0","0","0","371.079189","0","28-NOV-1996","160261"
"TPS","BI","BPM.10.E","1895.865000709","2077.307050655","2433.66","12.4994","","0","0","0","371.079189","0","31-JAN-2014","160262"
"TPS","BI","BPM.10.S","1895.865000709","2077.307050655","2433.66","12.4994","0","0","0","0","371.079189","0","31-JAN-2014","160263"
"TPS","BI","DHZ.20.E","1895.70545","2077.63377","2433.66","12.863","","0","0","0","371.079189","0","28-NOV-1996","160264"
"TPS","BI","DVT.20.E","1895.641382021","2077.764961822","2433.66","13.009","","0","0","0","371.079189","0","11-DEC-2014","772718"
"TPS","BI","DVT.20.S","1895.641382021","2077.764961822","2433.66","13.009","0","0","0","0","371.079189","0","11-DEC-2014","772719"
"TPS","BI","DHZ.20.S","1895.57731","2077.89615","2433.66","13.155",".292","0","0","0","371.079189","0","28-NOV-1996","160265"
"TPS","BI","QNO.10.E","1895.45444","2078.14775","2433.66","13.435","","0","0","0","371.079189","0","28-NOV-1996","160266"
"TPS","BI","QNO.10.S","1895.27891","2078.50718","2433.66","13.835",".4","0","0","0","371.079189","0","28-NOV-1996","160267"
"TPS","BI","QNO.20.E","1895.01562","2079.04633","2433.66","14.435","","0","0","0","371.079189","0","28-NOV-1996","160268"
"TPS","BI","QNO.20.S","1894.84009","2079.40576","2433.66","14.835",".4","0","0","0","371.079189","0","28-NOV-1996","160269"
"TPS","BI","WALL.0.E","1894.71722","2079.65736","2433.66","15.115","","0","0","0","371.079189","0","28-NOV-1996","160270"
"360","BI","WALL.0.S","1892.03396","2085.15187","2433.66","21.2297","","0","0","0","371.079189","0","28-NOV-1996","160271"
"360","BI","BPM.20.E","1891.94619","2085.33158","2433.66","21.4297","","0","0","0","371.079189","0","28-NOV-1996","160272"
"360","BI","BPM.20.S","1891.70221","2085.83119","2433.66","21.9857",".556","0","0","0","371.079189","0","28-NOV-1996","160273"
"360","BI","BCT.10.E","1891.65481","2085.92824","2433.66","22.0937","","0","0","0","371.079189","0","28-NOV-1996","160274"
"360","BI","BCT.10.S","1891.59162","2086.05763","2433.66","22.2377",".144","0","0","0","371.079189","0","28-NOV-1996","160275"
"360","BI","VVS.10.E","1891.47929","2086.28767","2433.66","22.4937","","0","0","0","371.079189","0","28-NOV-1996","160276"
"360","BI","VVS.10.S","1891.4354","2086.37752","2433.66","22.5937",".1","0","0","0","371.079189","0","28-NOV-1996","160277"
"360","BI","DVT.30.E","1891.42026","2086.40853","2433.66","22.6282","","0","0","0","371.079189","0","28-NOV-1996","160278"
"360","BI","DVT.30.S","1891.29081","2086.6736","2433.66","22.9232",".295","0","0","0","371.079189","0","28-NOV-1996","160279"
"360","BI","BTV.20.E","1891.21643","2086.82591","2433.66","23.0927","","0","0","0","371.079189","0","28-NOV-1996","160280"
"360","BI","BTV.20.S","1891.07864","2087.10807","2433.66","23.4067",".314","0","0","0","371.079189","0","28-NOV-1996","160281"
"360","BI","QNO.30.E","1890.92769","2087.41717","2433.66","23.7507","","0","0","0","371.079189","0","28-NOV-1996","160282"
"360","BI","QNO.30.S","1890.75216","2087.7766","2433.66","24.1507",".4","0","0","0","371.079189","0","28-NOV-1996","160283"
"360","BI","BPM.30.E","1890.6758","2087.93296","2433.66","24.3247","","0","0","0","371.079189","0","28-NOV-1996","160284"
"360","BI","BPM.30.S","1890.43182","2088.43256","2433.66","24.8807",".556","0","0","0","371.079189","0","28-NOV-1996","160285"
"360","BI","QNO.40.E","1890.35722","2088.58532","2433.66","25.0507","","0","0","0","371.079189","0","28-NOV-1996","160286"
"360","BI","QNO.40.S","1890.18169","2088.94475","2433.66","25.4507",".4","0","0","0","371.079189","0","28-NOV-1996","160287"
"360","BI","DIS.10.E","1890.08998","2089.13255","2433.66","25.6597","","0","0","0","371.079189","0","28-NOV-1996","160288"
"360","BI","DIS.10.S","1889.13159","2091.09504","2433.66","27.8437","2.184","0","0","0","371.079189","0","28-NOV-1996","160289"
"360","BI","DVT.40.E","1889.08244","2091.19568","2433.66","27.9557","","0","0","0","371.079189","0","28-NOV-1996","160290"
"360","BI","DVT.40.S","1888.93895","2091.48951","2433.66","28.2827",".327","0","0","0","371.079189","0","28-NOV-1996","160291"
"360","BI","DIS.50.E","1888.85996","2091.65126","2433.66","28.4627","","0","0","0","371.079189","0","28-NOV-1996","160292"
"360","BI","DIS.50.S","1888.35444","2092.68641","2433.66","29.6147","1.152","0","0","0","371.079189","0","28-NOV-1996","160293"
"360","BI","BTV.30.E","1886.38435","2096.72056","2433.66","34.1042","","0","0","0","371.079189","0","28-NOV-1996","160302"
"360","BI","BTV.30.S","1886.24699","2097.00182","2433.66","34.4172",".313","0","0","0","371.079189","0","28-NOV-1996","160303"
"360","BI","SMV.10.E","1886.15616","2097.18782","2433.66","34.6242","","0","0","0","371.079189","0","28-NOV-1996","160304"
"360","BI","SMV.10.S","1885.07753","2099.39652","2433.66","37.0822","2.458","0","0","0","371.079189","0","28-NOV-1996","160305"
"360","BI","BVT.10.E","1884.39934","2100.78526","2433.66","38.6277","","0","0","0","371.079189","0","28-NOV-1996","160306"
"360","BI","BVT.10.S","1884.079","2101.44122","2433.66","39.3577",".73","0","0","0","371.079189","0","28-NOV-1996","160307"
"360","BI","QNO.50.E","1883.93199","2101.74224","2433.66","39.6927","","0","0","0","371.079189","0","28-NOV-1996","160308"
"360","BI","QNO.50.S","1883.75646","2102.10167","2433.66","40.0927",".4","0","0","0","371.079189","0","28-NOV-1996","160309"
"360","BI","QNO.60.E","1883.60287","2102.41617","2433.66","40.4427","","0","0","0","371.079189","0","28-NOV-1996","160310"
"360","BI","QNO.60.S","1883.42735","2102.7756","2433.66","40.8427",".4","0","0","0","371.079189","0","28-NOV-1996","160311"
"360","BI","DVT.50.E","1883.35801","2102.91758","2433.66","41.0007","","0","0","0","371.079189","0","28-NOV-1996","160312"
"360","BI","DHZ.50.E","1883.270245645","2103.097294824","2433.66","41.2007","","0","0","0","371.079189","0","11-DEC-2014","772720"
"360","BI","DHZ.50.S","1883.270245645","2103.097294824","2433.66","41.2007","0","0","0","0","371.079189","0","11-DEC-2014","772721"
"360","BI","DVT.50.S","1883.18248","2103.27701","2433.66","41.4007",".4","0","0","0","371.079189","0","28-NOV-1996","160313"
"360","BI","BPM.40.E","1883.08726","2103.472","2433.66","41.6177","","0","0","0","371.079189","0","28-NOV-1996","160314"
"360","BI","BPM.40.S","1882.95561","2103.74157","2433.66","41.9177",".3","0","0","0","371.079189","0","28-NOV-1996","160315"
"360","BI","BTV.40.E","1882.60017","2104.46942","2433.66","42.7277","","0","0","0","371.079189","0","28-NOV-1996","160316"
"360","BI","BTV.40.S","1882.40708","2104.86479","2433.66","43.1677",".44","0","0","0","371.079189","0","28-NOV-1996","160317"
"360","BI","BCT.20.E","1882.12071","2105.4512","2433.66","43.8203","","0","0","0","371.079189","0","28-NOV-1996","160318"
"360","BI","BCT.20.S","1882.05655","2105.58257","2433.66","43.9665",".1462","0","0","0","371.079189","0","28-NOV-1996","160319"
"360","BI","BPM.50.E","1881.95909","2105.78214","2433.66","44.1886","","0","0","0","371.079189","0","28-NOV-1996","160320"
"360","BI","BPM.50.S","1881.82745","2106.05172","2433.66","44.4886",".3","0","0","0","371.079189","0","28-NOV-1996","160321"
"360","BI","VVS.20.E","1881.68614","2106.34106","2433.66","44.8106","","0","0","0","371.079189","0","28-NOV-1996","160322"
"360","BI","VVS.20.S","1881.64226","2106.43091","2433.66","44.9106",".1","0","0","0","371.079189","0","28-NOV-1996","160323"
"360","BI","I.0.E","1880.06575","2109.65913","2433.66","48.5032","","0","0","0","371.079189","0","28-NOV-1996","160324"
"360","BI","I.0.S","1880.06575","2109.65913","2433.66","48.5032","0","0","0","0","371.079189","0","28-NOV-1996","160325"
