COORDONNEES COURANTES(EN Z) DES POINTS FAISCEAUX AU 02-APR-2015

"Zone","Accl.","Elément","X","Y","Z","Dist. cumul.","Longueur","Deflexion","Corhgeo","Pente Z","Gisement","Tilt Z","Date calcul","Id."
"TPS","LTB","ITHTRA.47.E","1914.92851","2038.27074","2433.66","0","","0","0","0","371.079203","0","28-NOV-1996","160192"
"TPS","LTB","ITHTRA.47.S","1914.88243","2038.36509","2433.66",".105",".105","0","0","0","371.079203","0","28-NOV-1996","160193"
"TPS","LTB","BHZ.30.E","1914.1518","2039.86122","2433.66","1.77","","0","0","0","371.079203","0","28-NOV-1996","160194"
"TPS","LTB","BHZ.30.S","1913.74948","2040.68503","2433.66","2.6868",".9168","0","0","0","371.079203","0","28-NOV-1996","160195"
"TPS","LTB","DVT.10.E","1913.47083","2041.25562","2433.66","3.3218","","0","0","0","371.079203","0","04-SEP-1997","160196"
"TPS","LTB","DVT.10.S","1913.3427","2041.51801","2433.66","3.6138",".292","0","0","0","371.079203","0","23-SEP-1997","160197"
"TPS","LTB","STP.10.E","1913.24089","2041.72648","2433.66","3.8458","","0","0","0","371.079203","0","28-NOV-1996","160198"
"TPS","LTB","STP.10.S","1913.1268","2041.96011","2433.66","4.1058",".26","0","0","0","371.079203","0","28-NOV-1996","160199"
"TPS","LTB","SONDRF.0.E","1912.304","2043.64493","2433.66","5.9808","","0","0","0","371.079203","0","28-NOV-1996","160200"
"TPS","LTB","SONDRF.0.S","1912.22502","2043.80668","2433.66","6.1608",".18","0","0","0","371.079203","0","28-NOV-1996","160201"
"TPS","LTB","QFN.10.E","1912.10921","2044.04381","2433.66","6.4247","","0","0","0","371.079203","0","23-SEP-1997","161518"
"TPS","LTB","QFN.10.S","1912.006","2044.25515","2433.66","6.6599",".2352","0","0","0","371.079203","0","23-SEP-1997","161519"
"TPS","LTB","QDN.20.E","1911.67346","2044.93609","2433.66","7.4177","","0","0","0","371.079203","0","23-SEP-1997","161520"
"TPS","LTB","QDN.20.S","1911.57025","2045.14744","2433.66","7.6529",".2352","0","0","0","371.079203","0","23-SEP-1997","161521"
"TPS","LTB","MSFV.30.E","1911.4698","2045.35312","2433.66","7.8818","","0","0","0","371.079203","0","28-NOV-1996","160206"
"TPS","LTB","MSFV.30.S","1911.39521","2045.50588","2433.66","8.0518",".17","0","0","0","371.079203","0","28-NOV-1996","160207"
"TPS","LTB","BPM.10.E","1911.118132303","2046.073235213","2433.66","8.6832","","0","0","0","371.079203","0","31-JAN-2014","160208"
