COORDONNEES COURANTES(EN Z) DES POINTS FAISCEAUX AU 02-APR-2015

"Zone","Accl.","Elément","X","Y","Z","Dist. cumul.","Longueur","Deflexion","Corhgeo","Pente Z","Gisement","Tilt Z","Date calcul","Id."
"363","LT","VVS.10.E","1924.28289","1987.78721","2433.66","0","","0","0","0","377.746131","0","28-NOV-1996","160462"
"363","LT","VVS.10.S","1924.24864","1987.88116","2433.66",".1",".1","0","0","0","377.746131","0","28-NOV-1996","160463"
"363","LT","DHZ.10.E","1924.04161","1988.4491","2433.66",".7045","","0","0","0","377.746131","0","14-DEC-2012","766448"
"363","LT","DHZ.10.S","1924.04161","1988.4491","2433.66",".7045","0","0","0","0","377.746131","0","14-DEC-2012","766449"
"363","LT","DVT.10.E","1924.04161","1988.4491","2433.66",".7045","","0","0","0","377.746131","0","28-NOV-1996","160466"
"363","LT","MTV.10.E","1924.00839","1988.54023","2433.66",".8015","","0","0","0","377.746131","0","24-MAR-2005","502656"
"363","LT","MTV.10.S","1924.00838","1988.54024","2433.66",".80151",".00001","0","0","0","377.746131","0","24-MAR-2005","502657"
"363","LT","DVT.10.S","1923.94057","1988.72626","2433.66",".9995",".295","0","0","0","377.746131","0","28-NOV-1996","160467"
"363","LT","BPM.10.E","1923.804983856","1989.09822358","2433.66","1.3954","","0","0","0","377.746131","0","31-JAN-2014","160468"
"363","LT","BPM.10.S","1923.804983856","1989.09822358","2433.66","1.3954","0","0","0","0","377.746131","0","31-JAN-2014","160469"
"363","LT","QFN.10.E","1923.64607","1989.53416","2433.66","1.8594","","0","0","0","377.746131","0","23-JUL-1997","161370"
"363","LT","QFN.10.S","1923.56552","1989.75513","2433.66","2.0946",".2352","0","0","0","377.746131","0","23-JUL-1997","161371"
"363","LT","BEC.1.E","1923.547573669","1989.804360978","2433.66","2.147","","0","0","0","377.746131","0","16-NOV-2012","766420"
"363","LT","BEC.1.S","1923.547573669","1989.804360978","2433.66","2.147","0","0","0","0","377.746131","0","16-NOV-2012","766421"
"363","LT","BCT.10.E","1923.48901","1989.96502","2433.66","2.318","","0","0","0","377.746131","0","28-NOV-1996","160472"
"363","LT","BCT.10.S","1923.42564","1990.13883","2433.66","2.503",".185","0","0","0","377.746131","0","28-NOV-1996","160473"
"363","LT","QDN.12.E","1923.37208","1990.28578","2433.66","2.6594","","0","0","0","377.746131","0","23-JUL-1997","161498"
"363","LT","QDN.12.S","1923.29153","1990.50675","2433.66","2.8946",".2352","0","0","0","377.746131","0","23-JUL-1997","161499"
"363","LT","BHZ.10.E","1923.22495","1990.6894","2433.66","3.089","","0","0","0","377.746131","0","28-NOV-1996","160476"
"363","LT","BHZ.10.S","1923.05165","1991.16479","2433.66","3.595",".506","0","0","0","377.746131","0","28-NOV-1996","160477"
"363","LT","QFN.20.E","1921.76749","1994.68753","2433.66","7.3445","","0","0","0","377.746131","0","23-JUL-1997","161500"
"363","LT","QFN.20.S","1921.68694","1994.90851","2433.66","7.5797",".2352","0","0","0","377.746131","0","23-JUL-1997","161501"
"363","LT","BEC.2.E","1921.595393164","1995.15964436","2433.66","7.847","","0","0","0","377.746131","0","16-NOV-2012","766422"
"363","LT","BEC.2.S","1921.595393164","1995.15964436","2433.66","7.847","0","0","0","0","377.746131","0","16-NOV-2012","766423"
"363","LT","QDN.22.E","1921.42501","1995.62706","2433.66","8.3445","","0","0","0","377.746131","0","23-JUL-1997","161502"
"363","LT","QDN.22.S","1921.34445","1995.84803","2433.66","8.5797",".2352","0","0","0","377.746131","0","23-JUL-1997","161503"
"363","LT","DVT.20.E","1920.31871","1998.6619","2433.66","11.5747","","0","0","0","377.746131","0","28-NOV-1996","160482"
"363","LT","DHZ.20.E","1920.269049352","1998.79813076","2433.66","11.7197","","0","0","0","377.746131","0","14-DEC-2012","766450"
"363","LT","DHZ.20.S","1920.269049352","1998.79813076","2433.66","11.7197","0","0","0","0","377.746131","0","14-DEC-2012","766451"
"363","LT","DVT.20.S","1920.21767","1998.93906","2433.66","11.8697",".295","0","0","0","377.746131","0","28-NOV-1996","160483"
"363","LT","QFN.30.E","1919.76048","2000.19326","2433.66","13.20463","","0","0","0","377.746131","0","23-JUL-1997","161504"
"363","LT","QFN.30.S","1919.67992","2000.41423","2433.66","13.43983",".2352","0","0","0","377.746131","0","23-JUL-1997","161505"
"363","LT","QDN.32.E","1919.41799","2001.13278","2433.66","14.20463","","0","0","0","377.746131","0","23-JUL-1997","161506"
"363","LT","QDN.32.S","1919.33744","2001.35376","2433.66","14.43983",".2352","0","0","0","377.746131","0","23-JUL-1997","161507"
"363","LT","BPM.20.E","1918.403203341","2003.916589433","2433.66","17.16763","","0","0","0","377.746131","0","31-JAN-2014","160494"
"363","LT","BPM.20.S","1918.403203341","2003.916589433","2433.66","17.16763","0","0","0","0","377.746131","0","31-JAN-2014","160495"
"363","LT","QFN.40.E","1917.82541","2005.50159","2433.66","18.85466","","0","0","0","377.746131","0","23-JUL-1997","161508"
"363","LT","QFN.40.S","1917.74486","2005.72256","2433.66","19.08986",".2352","0","0","0","377.746131","0","23-JUL-1997","161509"
"363","LT","QDN.42.E","1917.48293","2006.44111","2433.66","19.85466","","0","0","0","377.746131","0","23-JUL-1997","161510"
"363","LT","QDN.42.S","1917.40237","2006.66209","2433.66","20.08986",".2352","0","0","0","377.746131","0","23-JUL-1997","161511"
"363","LT","DVT.30.E","1917.34932","2006.80762","2433.66","20.24476","","0","0","0","377.746131","0","28-NOV-1996","160500"
"363","LT","DHZ.30.E","1917.298803134","2006.946199566","2433.66","20.39226","","0","0","0","377.746131","0","14-DEC-2012","766452"
"363","LT","DHZ.30.S","1917.298803134","2006.946199566","2433.66","20.39226","0","0","0","0","377.746131","0","14-DEC-2012","766453"
"363","LT","DVT.30.S","1917.24829","2007.08478","2433.66","20.53976",".295","0","0","0","377.746131","0","28-NOV-1996","160501"
"363","LT","BPM.30.E","1917.093857505","2007.508411854","2433.66","20.99066","","0","0","0","377.746131","0","31-JAN-2014","160502"
"363","LT","BPM.30.S","1917.093857505","2007.508411854","2433.66","20.99066","0","0","0","0","377.746131","0","31-JAN-2014","160503"
"363","LT","CDB.10.E","1916.91693","2007.99377","2433.66","21.50726","","0","0","0","377.746131","0","28-NOV-1996","160504"
"363","LT","CDB.10.S","1916.75254","2008.44474","2433.66","21.98726",".48","0","0","0","377.746131","0","28-NOV-1996","160505"
"363","LT","BCT.20.E","1916.54242","2009.02113","2433.66","22.60076","","0","0","0","377.746131","0","28-NOV-1996","160508"
"363","LT","BCT.20.S","1916.47906","2009.19495","2433.66","22.78576",".185","0","0","0","377.746131","0","28-NOV-1996","160509"
