 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
30_11_2014_231603;-->;-4.63;1.38;3.34;0.03;-4.40;-0.56;0.76;-0.26;-0.96;3.75;2.33;2.73;0.91;1.27;1.66;-0.33;1.78;-0.74;-5.39;-1.15;0.57;0.28;-2.79;-0.26;-0.11;-1.55;-1.06;3.41;7.44;2.76;1.58;2.12;2.70;1.07;2.86;-0.23;10.83;3.83;3.81;0.11;-3.43;-0.86;-0.34;-1.60;-0.47;3.58;-1.75;0.03;3.00;2.21;2.07;-0.90;0.46;-1.98;3.05;5.01;5.27;0.14;-4.12;-1.11;-0.16;-0.85;-0.19;-1.84;0.31;-0.56;2.33;2.02;2.02;-0.50;0.94;-1.40;
30_11_2014_231802;-->;-4.70;1.26;3.32;0.11;-4.21;-0.09;2.19;0.61;-1.80;3.70;2.44;2.78;0.94;1.34;1.65;-0.34;1.60;-0.80;-5.48;-1.30;0.48;0.38;-2.63;0.24;1.36;-0.67;-1.99;3.47;7.25;2.80;1.58;2.15;2.65;1.04;2.79;-0.21;10.80;3.83;3.76;0.13;-3.34;-0.33;1.27;-0.65;-1.44;3.57;-1.83;0.09;3.05;2.26;2.09;-0.81;0.55;-1.93;2.99;4.98;5.19;0.19;-3.98;-0.63;1.40;0.06;-1.15;-1.82;0.33;-0.45;2.32;2.06;2.01;-0.44;1.01;-1.35;
30_11_2014_231956;-->;-4.68;1.28;3.35;0.03;-4.35;-0.04;2.43;0.70;-1.91;3.74;2.85;2.99;1.20;1.58;1.88;-0.26;1.70;-0.89;-5.46;-1.21;0.53;0.33;-2.67;0.26;1.46;-0.66;-2.02;3.49;7.00;2.77;1.60;2.24;2.74;1.18;2.99;-0.17;10.86;3.87;3.75;0.10;-3.36;-0.33;1.36;-0.60;-1.47;3.59;-1.74;0.06;3.02;2.23;2.09;-0.86;0.52;-1.93;3.04;5.07;5.23;0.14;-4.07;-0.59;1.51;0.14;-1.17;-1.84;0.27;-0.51;2.28;2.04;2.06;-0.35;1.15;-1.29;
30_11_2014_232148;-->;-4.63;1.36;3.38;0.04;-4.32;-0.63;0.49;-0.35;-0.77;3.71;2.51;2.77;0.88;1.37;1.71;-0.28;1.66;-0.81;-5.45;-1.17;0.57;0.33;-2.70;-0.32;-0.41;-1.69;-0.89;3.45;7.28;2.85;1.59;2.20;2.72;1.01;2.71;-0.27;10.79;3.84;3.68;0.11;-3.32;-0.91;-0.59;-1.75;-0.33;3.61;-1.77;0.06;3.03;2.27;2.10;-0.91;0.40;-2.02;3.02;4.99;5.14;0.12;-4.07;-1.19;-0.41;-0.93;-0.04;-1.83;0.32;-0.41;2.33;2.10;1.99;-0.49;0.86;-1.46;
30_11_2014_232339;-->;-4.66;1.34;3.33;-0.00;-4.38;-0.13;2.19;0.39;-1.72;3.74;2.51;2.96;1.15;1.50;1.72;-0.41;1.53;-0.94;-5.40;-1.19;0.55;0.27;-2.78;0.19;1.31;-0.82;-1.86;3.44;7.50;2.80;1.56;2.20;2.71;1.13;2.88;-0.19;10.86;3.84;3.76;0.07;-3.43;-0.41;1.17;-0.74;-1.31;3.58;-1.68;0.08;3.03;2.27;2.08;-0.88;0.48;-1.95;3.03;5.04;5.29;0.07;-4.16;-0.67;1.34;-0.05;-1.02;-1.85;0.16;-0.68;2.18;2.03;2.08;-0.25;1.25;-1.19;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
30_11_2014_232339;AVERAGE;-4.66;1.32;3.34;0.04;-4.33;-0.29;1.61;0.22;-1.43;3.73;2.53;2.85;1.02;1.41;1.72;-0.32;1.66;-0.84;-5.44;-1.21;0.54;0.32;-2.72;0.02;0.72;-1.08;-1.56;3.45;7.29;2.80;1.58;2.18;2.70;1.09;2.85;-0.21;10.83;3.84;3.75;0.10;-3.38;-0.57;0.57;-1.07;-1.00;3.59;-1.76;0.07;3.03;2.25;2.09;-0.87;0.48;-1.96;3.03;5.02;5.22;0.13;-4.08;-0.84;0.74;-0.33;-0.71;-1.84;0.28;-0.52;2.29;2.05;2.03;-0.41;1.04;-1.34;
