 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;
27_11_2014_163953;-->;-3.26;3.75;7.11;1.96;-4.47;4.70;3.48;-2.86;-3.53;2.30;-0.57;3.22;3.15;1.24;2.12;11.22;0.87;4.57;-3.27;2.95;6.65;3.26;-1.89;3.23;5.05;-3.31;-3.43;2.08;4.67;4.54;4.26;1.25;1.17;7.33;2.72;3.60;8.04;1.52;2.77;4.37;3.45;-2.44;9.78;-4.55;-3.06;2.67;-1.66;0.98;2.87;0.04;0.27;8.83;5.92;1.33;-0.93;1.59;3.81;4.58;3.03;-2.79;10.24;-5.74;-4.44;2.75;4.86;-0.52;2.74;-0.08;1.13;11.90;4.38;2.05;
27_11_2014_163954;-->;-3.38;3.76;6.92;2.11;-4.32;4.36;3.62;-3.01;-3.08;2.32;-0.47;3.36;3.27;1.39;2.18;12.01;2.56;3.41;-3.18;3.05;6.49;3.25;-1.65;2.93;5.19;-3.44;-3.01;2.07;5.29;4.57;4.36;1.24;1.29;8.53;4.48;2.35;7.97;1.37;2.83;4.35;3.52;-2.68;9.83;-4.63;-2.53;2.61;-1.76;0.93;2.88;0.09;0.35;10.01;7.56;0.04;-0.93;1.61;3.75;4.54;2.98;-2.89;10.24;-5.66;-3.81;2.80;4.32;-0.71;2.47;-0.21;1.26;13.42;6.13;0.81;
27_11_2014_163959;-->;-3.36;3.53;7.02;1.85;-4.38;6.02;2.52;0.17;-0.29;2.39;-0.65;3.57;3.28;1.24;2.03;10.79;1.29;4.33;-3.32;2.80;6.57;3.17;-1.77;4.47;4.14;-0.31;-0.28;2.05;4.75;4.63;4.30;1.29;1.11;7.07;3.08;3.45;7.94;1.34;2.82;4.19;3.33;-1.01;8.78;-1.44;0.29;2.50;-2.27;0.97;3.00;0.07;0.21;8.74;6.27;1.20;-0.90;1.66;3.74;4.35;2.90;-1.35;9.24;-2.67;-1.14;2.77;4.42;-0.72;2.71;-0.03;1.12;11.74;4.68;1.97;
27_11_2014_164000;-->;-3.46;3.84;6.89;1.99;-4.42;4.96;3.26;-1.87;-1.84;2.32;-0.85;3.39;3.39;1.29;2.03;11.94;2.71;3.26;-3.20;2.92;6.47;3.35;-1.66;3.31;4.98;-2.47;-2.00;1.96;4.85;4.57;4.36;1.28;1.12;8.30;4.59;2.31;7.86;1.10;2.86;4.41;3.34;-2.02;9.39;-3.32;-1.35;2.59;-1.77;0.90;3.10;0.02;0.23;9.91;7.63;-0.01;-0.94;1.38;4.03;4.55;3.09;-2.67;10.08;-4.96;-2.96;2.76;4.60;-0.52;2.70;0.02;1.13;12.73;6.14;0.83;
27_11_2014_164002;-->;-3.29;3.69;6.93;1.82;-4.51;5.81;2.69;-0.37;-0.84;2.36;-1.06;3.47;3.14;1.21;2.07;11.39;1.91;3.95;-3.19;2.91;6.47;3.11;-1.83;4.20;4.33;-0.94;-0.95;2.05;5.19;4.57;4.37;1.27;1.17;7.62;3.64;3.14;8.04;1.43;2.81;4.09;3.30;-1.26;8.86;-2.01;-0.46;2.46;-1.38;1.00;3.06;0.14;0.25;9.29;6.79;0.78;-0.98;1.62;3.69;4.34;3.12;-1.92;9.58;-3.54;-2.17;2.72;4.65;-0.53;2.46;-0.13;1.20;12.70;5.17;1.54;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;
27_11_2014_164002;AVERAGE;-3.35;3.71;6.98;1.94;-4.42;5.17;3.11;-1.59;-1.92;2.34;-0.72;3.40;3.25;1.27;2.09;11.47;1.87;3.90;-3.23;2.93;6.53;3.23;-1.76;3.63;4.74;-2.09;-1.93;2.04;4.95;4.58;4.33;1.27;1.17;7.77;3.70;2.97;7.97;1.35;2.82;4.28;3.39;-1.88;9.33;-3.19;-1.42;2.57;-1.77;0.96;2.98;0.07;0.26;9.36;6.83;0.67;-0.94;1.57;3.81;4.47;3.03;-2.32;9.87;-4.52;-2.90;2.76;4.57;-0.60;2.62;-0.09;1.17;12.50;5.30;1.44;
