 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
27_11_2014_142145;-->;-9.55;-2.38;1.70;5.28;5.39;-5.64;-14.06;-7.14;4.26;2.62;-4.09;-1.43;-1.99;-0.42;2.52;1.28;5.68;3.22;-3.80;2.23;5.70;2.62;-0.97;-4.75;-6.45;-1.24;1.27;1.69;0.56;0.38;0.11;0.54;3.19;0.69;4.08;2.09;8.70;2.01;3.14;2.72;1.37;-4.01;-7.12;-3.60;0.63;3.07;-3.09;-1.49;1.37;1.16;3.76;1.24;4.10;2.02;0.92;3.36;4.85;2.58;0.45;-4.11;-6.16;-2.07;0.53;4.24;5.68;-1.37;0.66;0.09;2.23;-1.02;2.06;1.05;
27_11_2014_142214;-->;-9.55;-2.31;1.60;5.34;5.61;-5.61;-14.02;-7.13;4.30;2.55;-3.71;-1.83;-2.12;-0.48;2.54;1.42;6.20;3.48;-4.00;2.32;5.62;2.64;-0.82;-4.73;-6.28;-1.13;1.17;1.66;0.42;0.35;0.24;0.65;3.41;0.91;4.39;2.10;8.57;1.96;3.02;2.84;1.49;-3.96;-6.92;-3.59;0.50;3.07;-3.67;-1.42;1.33;1.16;3.83;1.28;4.22;2.01;0.72;3.22;4.60;2.64;0.61;-4.08;-6.09;-2.16;0.50;4.29;5.74;-1.64;0.37;-0.13;2.12;-0.72;2.63;1.38;
27_11_2014_142232;-->;-9.77;-2.54;1.78;5.43;5.61;-5.77;-14.66;-7.83;4.64;2.64;-4.29;-1.84;-2.20;-0.47;2.51;1.36;5.87;3.38;-4.07;2.07;5.65;2.81;-0.64;-4.89;-6.96;-1.77;1.50;1.69;0.66;0.29;0.08;0.61;3.32;0.83;4.28;2.07;8.52;1.86;3.14;2.89;1.69;-4.10;-7.59;-3.91;0.87;3.15;-2.82;-1.46;1.27;1.20;3.78;1.29;4.08;1.94;0.75;3.20;4.89;2.75;0.71;-4.28;-6.79;-2.58;0.87;4.23;5.39;-1.21;0.65;0.05;2.25;-1.01;2.07;1.00;
27_11_2014_142301;-->;-9.67;-2.40;1.60;5.27;5.46;-5.56;-13.84;-6.65;4.10;2.64;-3.75;-1.74;-2.23;-0.48;2.51;1.47;6.31;3.51;-3.93;2.16;5.66;2.63;-0.88;-4.73;-6.16;-0.83;1.05;1.66;-0.09;0.40;0.19;0.68;3.25;0.84;4.45;2.11;8.47;1.89;3.05;2.80;1.42;-3.87;-6.84;-3.46;0.36;3.21;-3.09;-1.44;1.30;1.16;3.76;1.20;4.09;2.00;0.76;3.21;4.62;2.62;0.47;-4.06;-5.97;-1.77;0.34;4.10;5.76;-1.29;0.52;-0.03;2.15;-0.89;2.43;1.23;
27_11_2014_142319;-->;-9.48;-2.31;1.69;5.14;5.29;-5.65;-14.04;-7.18;4.16;2.56;-3.31;-1.59;-2.19;-0.35;2.46;1.24;6.18;3.38;-3.88;2.26;5.73;2.61;-1.03;-4.79;-6.46;-1.19;1.28;1.67;-0.02;0.39;0.03;0.58;3.23;0.66;4.49;2.14;8.54;1.97;3.16;2.70;1.40;-4.05;-7.00;-3.59;0.59;3.09;-3.26;-1.41;1.35;1.21;3.81;1.16;4.22;2.02;0.79;3.26;4.86;2.55;0.36;-4.18;-6.17;-2.27;0.52;4.23;5.97;-1.58;0.36;-0.04;2.18;-0.87;2.68;1.35;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
27_11_2014_142319;AVERAGE;-9.60;-2.39;1.67;5.29;5.47;-5.64;-14.12;-7.19;4.29;2.60;-3.83;-1.69;-2.15;-0.44;2.51;1.35;6.05;3.39;-3.94;2.21;5.67;2.66;-0.87;-4.78;-6.46;-1.23;1.25;1.67;0.30;0.36;0.13;0.61;3.28;0.79;4.34;2.10;8.56;1.94;3.10;2.79;1.47;-4.00;-7.09;-3.63;0.59;3.12;-3.19;-1.45;1.32;1.18;3.79;1.23;4.14;2.00;0.79;3.25;4.76;2.63;0.52;-4.14;-6.24;-2.17;0.55;4.22;5.71;-1.42;0.51;-0.01;2.19;-0.90;2.38;1.20;
