 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
26_11_2014_220206;-->;-5.87;-0.34;1.70;0.68;-2.71;-1.87;1.24;2.06;-1.00;3.96;2.30;2.24;-0.25;0.63;0.89;0.79;2.76;0.36;-3.07;1.84;4.08;0.72;-3.85;-2.63;0.72;2.52;-0.11;2.94;6.29;2.51;0.42;0.95;1.23;0.92;2.19;0.20;8.56;3.77;3.81;0.03;-3.62;-2.03;1.83;2.67;-1.21;0.99;-3.60;0.75;4.50;4.00;4.14;3.11;3.15;-0.29;3.02;5.09;5.24;0.38;-4.17;-2.28;1.70;3.19;-0.84;-2.17;0.17;-0.08;2.79;2.38;2.61;1.98;2.56;0.04;
26_11_2014_220207;-->;-5.88;-0.26;1.78;0.77;-2.59;-1.59;2.02;3.02;-1.60;3.95;2.55;2.21;-0.38;0.56;0.70;0.72;2.75;0.37;-3.16;1.89;4.11;0.86;-3.68;-2.34;1.54;3.43;-0.65;3.03;6.04;2.60;0.39;0.93;1.10;0.81;2.06;0.16;9.12;3.72;3.63;-0.01;-3.57;-1.62;3.02;3.47;-2.00;1.37;-3.66;0.63;4.51;4.14;4.16;3.14;3.26;-0.23;2.98;5.00;5.12;0.33;-4.18;-1.89;2.84;4.05;-1.56;-2.11;0.13;-0.73;2.55;2.35;2.54;2.11;2.82;0.26;
26_11_2014_220224;-->;-5.74;-0.14;1.78;0.56;-2.97;-1.95;1.07;2.19;-0.89;3.97;2.54;2.34;-0.15;0.64;0.78;0.63;2.22;0.32;-3.02;1.96;4.15;0.70;-3.90;-2.70;0.41;2.49;0.04;3.02;6.18;2.52;0.32;0.88;1.08;0.78;1.79;0.20;8.10;3.86;3.90;-0.11;-3.85;-2.09;1.64;2.65;-1.08;0.68;-3.78;0.73;4.50;4.02;4.11;3.10;3.12;-0.25;3.08;5.18;5.70;0.24;-4.41;-2.36;1.58;3.25;-0.72;-2.14;0.15;-0.17;2.78;2.36;2.56;1.91;2.40;0.06;
26_11_2014_220225;-->;-5.75;-0.19;1.73;0.60;-2.93;-1.53;2.44;2.85;-1.66;3.96;1.69;2.36;-0.21;0.63;0.86;0.77;2.54;0.34;-2.98;1.96;4.15;0.70;-3.98;-2.34;1.81;3.31;-0.74;2.93;6.39;2.58;0.39;0.91;1.19;0.93;2.05;0.22;8.37;3.84;3.79;-0.06;-3.79;-1.68;3.07;3.48;-1.89;0.91;-3.48;0.74;4.52;4.05;4.21;3.10;3.15;-0.31;3.11;5.09;5.31;0.18;-4.43;-1.87;3.14;4.06;-1.63;-2.16;-0.03;-0.37;2.64;2.30;2.62;2.09;2.67;0.16;
26_11_2014_220242;-->;-5.82;-0.27;1.67;0.58;-2.74;-1.81;1.33;2.14;-1.11;3.98;2.68;2.30;-0.31;0.63;0.92;0.88;2.37;0.39;-3.06;1.86;3.99;0.67;-3.87;-2.59;0.75;2.58;-0.12;2.92;6.23;2.55;0.45;1.00;1.31;1.09;2.00;0.26;8.27;3.77;3.73;-0.08;-3.72;-1.96;2.01;2.83;-1.34;0.87;-3.51;0.73;4.58;4.00;4.18;3.12;3.18;-0.25;2.98;5.08;5.16;0.22;-4.26;-2.16;1.99;3.41;-1.02;-2.17;0.20;-0.32;2.81;2.37;2.62;2.03;2.45;0.09;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
26_11_2014_220242;AVERAGE;-5.81;-0.24;1.73;0.64;-2.79;-1.75;1.62;2.45;-1.25;3.96;2.35;2.29;-0.26;0.62;0.83;0.76;2.53;0.36;-3.06;1.90;4.10;0.73;-3.86;-2.52;1.05;2.87;-0.32;2.97;6.22;2.55;0.39;0.94;1.18;0.91;2.02;0.21;8.48;3.79;3.77;-0.05;-3.71;-1.88;2.31;3.02;-1.50;0.96;-3.61;0.72;4.52;4.04;4.16;3.11;3.17;-0.27;3.03;5.09;5.31;0.27;-4.29;-2.11;2.25;3.59;-1.15;-2.15;0.12;-0.33;2.71;2.35;2.59;2.02;2.58;0.12;
