 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;
07_12_2014_164433;-->;-3.13;2.72;4.97;-0.61;-7.26;6.37;1.31;-0.21;1.28;3.17;2.36;5.60;3.56;1.56;-4.07;-12.35;13.06;-0.41;-3.70;-0.05;1.42;-1.17;-6.60;6.08;1.98;1.86;-0.91;2.93;?;2.44;0.34;-0.36;-3.90;-6.78;14.53;-6.50;9.00;3.05;2.73;-0.19;-4.02;2.55;4.26;-1.47;-2.58;2.33;-2.04;1.25;3.99;2.59;-3.38;-10.80;12.43;-0.86;3.01;5.06;5.62;-0.01;-5.42;3.13;4.03;-3.07;0.96;-3.79;-3.50;-2.20;2.36;3.14;-0.65;-1.87;7.45;-5.73;
07_12_2014_164439;-->;-2.78;3.08;4.86;-0.62;-7.19;6.65;1.18;0.35;0.77;3.10;2.48;5.86;3.83;1.65;-3.92;-12.83;12.03;0.35;-3.67;0.32;1.30;-1.20;-6.55;6.38;1.96;2.41;-1.32;2.88;?;2.57;0.51;-0.36;-3.73;-7.13;13.57;-5.87;9.33;3.05;2.83;-0.07;-3.94;2.50;4.31;-1.26;-3.10;2.58;-2.49;1.27;3.95;2.48;-3.35;-11.30;11.86;-0.21;2.95;5.12;5.63;0.16;-5.16;3.15;3.97;-2.73;0.51;-3.82;-4.13;-2.70;1.95;2.93;-0.51;-1.51;6.59;-5.79;
07_12_2014_164441;-->;-3.02;2.91;4.85;-0.44;-7.07;5.36;2.03;-1.87;2.91;3.21;2.79;5.73;3.69;1.47;-3.74;-11.44;13.88;-2.21;-3.73;0.32;1.34;-1.00;-6.32;4.97;2.79;0.02;0.41;2.93;?;2.61;0.48;-0.29;-3.55;-5.91;15.35;-8.33;9.43;3.33;2.93;-0.11;-3.91;1.67;4.81;-2.97;-1.23;2.85;-2.09;1.09;4.15;2.59;-3.32;-10.01;13.56;-2.67;3.10;5.35;5.71;0.03;-5.26;2.13;4.59;-4.63;2.48;-3.82;-3.41;-3.30;2.10;2.95;-0.45;-0.56;8.40;-8.07;
07_12_2014_164444;-->;-2.87;2.72;4.93;-0.50;-7.14;6.46;1.30;-0.14;1.52;3.11;2.76;5.55;3.71;1.56;-3.86;-12.19;12.79;-0.33;-3.84;-0.07;1.27;-1.02;-6.22;5.83;2.25;1.54;-0.92;2.93;?;2.37;0.57;-0.27;-3.68;-6.74;14.15;-6.49;9.33;3.18;2.86;-0.11;-4.00;2.64;4.19;-1.36;-2.53;2.88;-1.74;1.21;4.14;2.50;-3.35;-11.01;12.43;-0.73;3.07;5.17;5.65;0.26;-5.18;2.95;4.06;-3.22;1.15;-3.87;-3.63;-3.19;2.02;2.88;-0.48;-1.09;7.16;-6.36;
07_12_2014_164447;-->;-2.88;3.17;4.92;-0.69;-7.44;6.74;1.19;-0.11;1.44;3.15;2.87;6.07;4.11;1.78;-4.00;-12.64;12.76;0.27;-3.59;0.31;1.38;-1.20;-6.47;5.95;2.27;1.52;-0.72;2.86;?;2.51;0.53;-0.27;-3.73;-6.55;14.38;-6.66;9.28;3.11;2.79;-0.20;-4.08;2.55;4.33;-1.61;-2.08;2.68;-1.78;1.29;4.11;2.49;-3.39;-10.54;12.55;-1.11;3.05;5.17;5.48;0.11;-5.39;3.03;4.01;-3.21;1.46;-4.02;-3.69;-2.54;1.81;2.90;-0.48;-0.46;7.32;-7.09;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;
07_12_2014_164447;AVERAGE;-5.88;5.85;9.80;-1.11;-14.30;12.51;2.91;-0.78;3.16;6.30;4.97;11.53;7.42;3.13;-7.84;-24.42;25.77;-0.98;-7.47;0.29;2.69;-2.22;-12.80;11.67;4.51;2.98;-1.51;5.81;?;5.02;0.99;-0.66;-7.46;-13.15;28.74;-13.57;18.83;6.27;5.62;-0.26;-7.95;4.80;8.76;-3.36;-4.66;5.38;-3.91;2.38;8.19;5.07;-6.70;-21.43;25.10;-2.27;6.06;10.31;11.16;0.22;-10.60;5.88;8.11;-6.91;0.37;-7.70;-6.12;0.01;10.25;8.43;-2.47;-15.22;15.34;-0.79;
