 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
06_12_2014_202650;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.35;2.96;2.97;0.16;-2.94;-0.12;1.34;-0.66;-1.65;3.00;-2.06;-0.16;2.93;2.55;2.61;0.72;2.55;-1.14;2.89;4.84;5.16;0.30;-3.64;-0.69;0.97;0.13;-0.98;-2.06;1.34;7.04;11.06;6.29;4.03;-3.63;-4.71;-7.52;
06_12_2014_202727;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.41;2.84;2.86;0.15;-2.85;-0.08;1.35;-0.73;-1.76;3.14;-2.02;-0.17;2.95;2.55;2.59;0.74;2.52;-1.18;2.80;4.77;5.18;0.35;-3.56;-0.60;0.85;-0.07;-1.04;-2.08;1.33;6.92;11.12;6.28;3.99;-3.73;-4.98;-7.58;
06_12_2014_202805;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.30;2.69;2.86;0.22;-2.74;-0.09;1.07;-0.97;-1.50;3.20;-2.11;-0.12;2.92;2.49;2.63;0.68;2.57;-1.11;2.71;4.68;5.14;0.47;-3.40;-0.70;0.57;-0.28;-0.82;-2.10;1.39;7.08;11.00;6.25;4.00;-3.70;-4.93;-7.52;
06_12_2014_202842;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.28;2.98;2.93;0.07;-3.05;-0.10;1.48;-0.60;-1.65;3.06;-2.26;-0.13;2.96;2.52;2.59;0.77;2.50;-1.12;2.87;4.87;5.16;0.27;-3.76;-0.67;1.09;0.10;-1.04;-2.03;1.75;7.09;11.00;6.22;4.01;-3.71;-4.83;-7.46;
06_12_2014_202919;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.26;2.75;2.79;0.20;-2.77;-0.15;1.12;-0.72;-1.63;3.04;-2.23;-0.14;2.93;2.58;2.59;0.69;2.65;-1.21;2.76;4.75;5.06;0.44;-3.49;-0.71;0.71;0.00;-0.92;-2.04;1.53;6.86;11.15;6.34;4.01;-3.65;-4.72;-7.62;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
06_12_2014_202919;AVERAGE;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.32;2.84;2.88;0.16;-2.87;-0.11;1.27;-0.73;-1.64;3.09;-2.14;-0.14;2.94;2.54;2.60;0.72;2.56;-1.15;2.81;4.78;5.14;0.36;-3.57;-0.67;0.84;-0.02;-0.96;-2.06;1.47;7.00;11.06;6.28;4.01;-3.68;-4.83;-7.54;
