 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
09_12_2014_071911;-->;-4.68;1.34;3.31;0.03;-4.43;-0.39;1.29;0.18;-1.57;3.71;2.84;3.92;2.39;2.40;2.61;-0.02;1.27;-1.41;-5.42;-1.17;0.50;0.25;-2.80;-0.07;0.39;-1.15;-1.73;3.31;7.31;5.56;4.91;4.39;4.47;1.11;1.46;-1.88;10.01;3.79;3.72;0.07;-3.39;-0.67;0.17;-1.27;-1.11;3.29;-1.75;0.10;3.01;2.23;2.09;-0.93;0.31;-2.06;3.05;4.97;5.31;0.17;-4.09;-1.02;0.20;-0.54;-0.76;-1.81;1.11;2.91;5.98;3.58;2.54;-2.71;-2.83;-4.47;
09_12_2014_072125;-->;-4.63;1.27;3.30;-0.08;-4.49;-0.38;1.39;0.01;-1.58;3.71;2.84;3.93;2.24;2.29;2.50;-0.19;1.20;-1.47;-5.42;-1.21;0.51;0.24;-2.81;-0.03;0.49;-1.25;-1.69;3.34;7.77;5.57;4.85;4.30;4.32;0.93;1.35;-1.94;10.02;3.77;3.72;0.06;-3.44;-0.67;0.18;-1.30;-1.07;3.19;-1.70;0.10;3.05;2.23;2.08;-0.95;0.39;-2.04;3.02;4.97;5.16;0.12;-4.11;-0.98;0.25;-0.62;-0.74;-1.82;0.98;2.72;5.71;3.44;2.46;-2.59;-2.58;-4.24;
09_12_2014_072339;-->;-4.70;1.33;3.24;-0.01;-4.41;-0.38;1.32;0.18;-1.56;3.72;2.81;3.93;2.37;2.39;2.62;-0.03;1.25;-1.39;-5.45;-1.17;0.45;0.29;-2.78;-0.11;0.33;-1.19;-1.68;3.31;7.75;5.61;4.93;4.37;4.43;1.12;1.47;-1.92;10.05;3.78;3.73;0.07;-3.43;-0.69;0.15;-1.26;-1.09;3.20;-1.71;0.04;3.03;2.23;2.06;-0.91;0.37;-2.00;3.02;4.95;5.19;0.16;-4.14;-1.04;0.18;-0.52;-0.71;-1.87;1.03;2.89;6.11;3.64;2.52;-2.83;-3.00;-4.57;
09_12_2014_072554;-->;-4.58;1.33;3.33;-0.06;-4.59;-0.35;1.62;0.26;-1.72;3.75;3.47;3.97;2.32;2.35;2.52;-0.14;1.23;-1.43;-5.37;-1.19;0.52;0.22;-2.93;-0.03;0.61;-1.09;-1.81;3.32;7.46;5.60;4.87;4.34;4.41;1.06;1.49;-1.86;10.04;3.81;3.64;-0.01;-3.56;-0.67;0.47;-1.09;-1.25;3.23;-1.89;0.07;2.97;2.25;2.05;-0.91;0.42;-1.99;3.08;4.96;5.11;0.11;-4.18;-0.98;0.45;-0.43;-0.89;-1.81;1.06;2.99;6.07;3.65;2.56;-2.73;-2.88;-4.49;
09_12_2014_072808;-->;-4.58;1.31;3.28;-0.10;-4.63;-0.27;1.70;0.27;-1.78;3.67;3.14;3.95;2.42;2.44;2.61;-0.03;1.41;-1.42;-5.35;-1.16;0.53;0.21;-2.99;0.05;0.64;-1.07;-1.81;3.30;7.78;5.59;4.94;4.41;4.48;1.11;1.55;-1.91;10.08;3.83;3.82;-0.00;-3.57;-0.60;0.48;-1.10;-1.24;3.20;-1.70;0.10;2.99;2.26;2.09;-0.89;0.37;-2.06;3.12;4.99;5.27;0.05;-4.28;-0.92;0.54;-0.37;-0.92;-1.84;1.03;2.89;6.05;3.65;2.56;-2.75;-2.84;-4.49;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
09_12_2014_072808;AVERAGE;-4.63;1.32;3.29;-0.04;-4.51;-0.35;1.46;0.18;-1.64;3.71;3.02;3.94;2.35;2.37;2.57;-0.08;1.27;-1.42;-5.40;-1.18;0.50;0.24;-2.86;-0.04;0.49;-1.15;-1.74;3.31;7.61;5.58;4.90;4.36;4.42;1.07;1.46;-1.90;10.04;3.80;3.72;0.04;-3.48;-0.66;0.29;-1.20;-1.15;3.22;-1.75;0.08;3.01;2.24;2.07;-0.92;0.37;-2.03;3.06;4.97;5.21;0.12;-4.16;-0.99;0.32;-0.50;-0.81;-1.83;1.04;2.88;5.99;3.59;2.53;-2.72;-2.83;-4.45;
