 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
03_12_2014_072105;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.44;3.02;3.25;0.42;-2.79;-0.37;0.28;-1.32;-0.81;2.96;-1.95;-0.01;3.23;2.67;2.69;0.71;2.48;-1.17;3.08;5.11;5.20;0.10;-4.05;-0.68;1.20;0.17;-0.78;-2.11;-0.02;-0.21;2.79;2.20;2.11;0.13;2.17;-1.22;
03_12_2014_072136;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.55;3.19;3.40;0.22;-3.03;-0.35;0.81;-1.07;-1.15;3.03;-1.84;0.08;3.14;2.68;2.59;0.71;2.36;-1.32;3.31;5.25;5.69;-0.09;-4.31;-0.52;1.66;0.37;-1.19;-1.98;0.35;-0.47;2.47;2.16;2.04;0.35;1.41;-1.21;
03_12_2014_072207;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.50;3.22;3.29;0.32;-2.80;-0.31;0.76;-1.08;-1.17;3.13;-2.25;0.08;3.04;2.61;2.65;0.73;2.32;-1.30;3.07;5.11;5.37;0.09;-4.19;-0.53;1.52;0.34;-1.06;-1.96;0.11;-0.20;2.67;2.31;2.15;0.16;1.70;-1.37;
03_12_2014_072238;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.63;3.31;3.19;0.24;-3.05;-0.43;0.71;-0.97;-1.14;3.13;-1.86;0.09;3.10;2.72;2.77;0.71;2.43;-1.22;3.31;5.23;5.04;-0.07;-4.43;-0.56;1.68;0.21;-1.20;-2.03;0.13;-0.13;2.35;2.17;2.18;0.28;2.15;-1.13;
03_12_2014_072309;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.54;3.24;3.25;0.28;-2.83;-0.36;0.64;-0.97;-1.09;3.15;-2.35;-0.01;3.17;2.66;2.68;0.66;2.45;-1.30;3.17;5.14;5.27;-0.05;-4.15;-0.59;1.53;0.47;-1.00;-2.03;0.41;-0.17;2.56;2.10;2.16;0.16;2.16;-1.28;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
03_12_2014_072309;AVERAGE;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.53;3.20;3.28;0.30;-2.90;-0.36;0.64;-1.08;-1.07;3.08;-2.05;0.05;3.14;2.67;2.67;0.70;2.41;-1.26;3.19;5.17;5.31;-0.01;-4.22;-0.58;1.52;0.31;-1.05;-2.02;0.19;-0.24;2.56;2.19;2.13;0.21;1.92;-1.25;
