 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
06_12_2014_124612;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.27;2.77;2.60;0.14;-2.72;-0.09;1.39;-0.78;-1.63;2.99;-2.21;-0.00;3.03;2.48;2.52;-0.11;1.24;-0.69;2.49;4.57;4.84;0.50;-3.02;-0.71;0.57;-0.36;-0.76;-1.87;-1.02;0.26;3.49;3.26;3.35;0.79;1.86;-0.46;
06_12_2014_124649;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.28;2.84;2.73;0.12;-2.86;-0.00;1.56;-0.68;-1.71;3.01;-2.14;0.02;2.98;2.51;2.54;-0.09;1.29;-0.70;2.54;4.69;4.97;0.53;-3.13;-0.61;0.70;-0.25;-0.84;-1.82;-0.93;0.08;3.13;3.13;3.29;1.05;2.25;-0.18;
06_12_2014_124726;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.26;2.82;2.71;0.20;-2.64;-0.16;1.07;-1.00;-1.41;3.20;-2.16;-0.07;3.08;2.52;2.58;-0.14;1.29;-0.70;2.40;4.61;4.99;0.61;-2.87;-0.72;0.14;-0.67;-0.54;-1.83;-0.89;-0.13;3.20;3.14;3.29;0.98;2.24;-0.18;
06_12_2014_124803;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.26;2.78;2.60;0.06;-2.82;-0.01;1.51;-0.75;-1.65;2.97;-2.10;-0.05;3.03;2.60;2.56;-0.07;1.27;-0.75;2.36;4.51;4.84;0.50;-3.03;-0.65;0.54;-0.49;-0.78;-1.82;-0.91;0.37;3.62;3.39;3.35;0.68;1.62;-0.61;
06_12_2014_124841;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.40;2.85;2.63;0.05;-2.86;0.04;1.61;-0.60;-1.71;3.13;-2.15;0.04;3.09;2.54;2.57;-0.12;1.26;-0.73;2.46;4.66;4.77;0.44;-3.13;-0.61;0.72;-0.36;-0.90;-1.83;-0.96;-0.11;3.17;3.13;3.34;1.03;2.18;-0.16;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
06_12_2014_124841;AVERAGE;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.30;2.81;2.65;0.11;-2.78;-0.05;1.43;-0.76;-1.62;3.06;-2.15;-0.01;3.04;2.53;2.56;-0.11;1.27;-0.71;2.45;4.61;4.88;0.52;-3.04;-0.66;0.53;-0.42;-0.76;-1.83;-0.94;0.09;3.32;3.21;3.32;0.90;2.03;-0.32;
