 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
07_12_2014_063137;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-4.00;0.24;2.03;-0.52;-4.02;-1.60;0.15;-0.09;0.08;1.48;2.40;3.42;1.65;1.10;2.61;1.95;2.55;0.67;5.89;-1.83;-1.28;-0.18;-1.51;-0.25;-0.11;-1.04;-0.94;2.77;-0.92;1.01;2.78;1.91;3.07;1.86;1.66;0.02;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
07_12_2014_063150;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-4.10;0.41;1.87;-0.50;-4.05;-1.17;1.42;0.89;-0.73;1.51;2.61;3.43;1.73;1.28;2.84;2.28;2.84;0.86;6.66;-1.29;-1.92;-0.08;-1.36;0.03;1.00;-0.44;-1.84;2.12;-0.90;1.31;3.28;1.85;2.93;1.67;1.62;0.14;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
07_12_2014_063209;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-3.98;0.50;2.00;-0.65;-4.17;-1.62;0.34;0.29;0.00;1.53;2.10;3.49;1.58;1.06;2.62;1.95;2.52;0.77;6.32;-1.75;-1.61;-0.42;-1.24;-0.36;0.33;-0.87;-0.80;2.92;-0.32;0.78;3.34;1.88;3.00;1.82;1.61;0.26;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
07_12_2014_063214;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-4.09;0.43;1.94;-0.43;-3.96;-1.67;0.01;-0.01;0.19;1.48;2.77;3.50;1.63;1.10;2.50;1.91;2.56;0.69;6.09;-1.79;-1.06;-0.10;-1.38;-0.33;-0.36;-1.15;-0.66;1.96;-0.26;1.41;2.77;2.12;2.78;1.86;1.78;0.08;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
07_12_2014_063227;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-3.99;0.48;1.94;-0.50;-4.09;-1.22;1.29;0.61;-0.67;1.53;2.51;3.52;1.74;1.30;2.89;2.38;2.96;0.84;5.86;-1.79;-1.46;-0.13;-1.39;0.10;0.90;-0.25;-1.58;2.20;-0.77;1.10;2.82;1.77;3.10;2.24;1.72;-0.15;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
07_12_2014_063227;AVERAGE;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-4.03;0.41;1.96;-0.52;-4.06;-1.46;0.64;0.34;-0.22;1.51;2.48;3.47;1.66;1.17;2.69;2.09;2.68;0.77;6.16;-1.69;-1.47;-0.18;-1.38;-0.16;0.35;-0.75;-1.16;2.39;-0.63;1.12;3.00;1.91;2.97;1.89;1.68;0.07;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
