 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
08_12_2014_071709;-->;-4.77;0.97;2.70;-0.57;-4.71;-0.52;0.60;0.21;-1.28;2.72;0.43;3.98;2.74;3.14;3.09;1.15;2.90;0.47;-5.37;-1.03;0.77;0.17;-2.67;-0.63;-1.14;-1.64;-0.71;3.04;5.44;2.47;0.53;1.20;1.23;0.01;2.15;0.90;9.57;3.27;3.19;0.11;-3.11;-1.00;-1.21;-2.11;-0.25;3.00;-1.98;-0.02;3.13;2.73;2.76;0.72;2.42;0.20;3.68;5.59;5.45;-0.58;-5.16;-1.10;0.55;0.01;-0.63;-1.53;0.89;-2.56;-0.39;0.45;0.87;0.50;3.19;1.79;
08_12_2014_071736;-->;-4.62;1.01;2.72;-0.72;-4.85;-0.48;0.83;0.15;-1.42;2.68;0.54;3.96;2.44;2.86;2.97;1.14;2.84;0.57;-5.21;-0.92;0.80;0.02;-2.76;-0.50;-0.90;-1.54;-0.87;3.01;5.92;2.56;0.39;1.03;1.34;-0.05;2.08;0.93;9.55;3.22;3.18;-0.00;-3.24;-0.88;-0.97;-1.97;-0.46;3.07;-2.06;0.01;3.16;2.59;2.59;0.64;2.41;0.22;3.75;5.57;5.50;-0.71;-5.31;-1.02;0.74;0.09;-0.79;-1.47;1.06;-2.12;0.04;0.49;0.89;0.18;2.84;1.48;
08_12_2014_071802;-->;-4.76;0.91;2.80;-0.56;-4.79;-0.54;0.67;0.16;-1.32;2.69;0.65;4.10;2.76;3.09;3.21;1.19;2.79;0.50;-5.36;-1.01;0.86;0.19;-2.71;-0.53;-1.04;-1.64;-0.71;3.01;5.56;2.57;0.48;1.17;1.30;0.06;2.13;0.93;9.54;3.25;3.13;0.05;-3.20;-0.85;-1.04;-1.98;-0.39;3.14;-2.16;-0.01;3.10;2.70;2.73;0.69;2.43;0.28;3.75;5.58;5.39;-0.61;-5.24;-1.06;0.61;0.07;-0.72;-1.51;0.82;-2.51;-0.33;0.48;0.92;0.51;3.16;1.82;
08_12_2014_071829;-->;-4.62;1.00;2.68;-0.68;-4.86;-0.40;0.78;0.10;-1.43;2.76;0.71;3.88;2.50;2.98;2.96;1.21;2.98;0.60;-5.22;-0.95;0.71;0.13;-2.75;-0.52;-0.98;-1.71;-0.82;2.95;5.71;2.58;0.45;1.13;1.18;-0.08;2.14;0.89;9.58;3.22;3.10;0.06;-3.22;-0.91;-0.99;-1.99;-0.48;3.13;-2.07;0.07;3.13;2.73;2.77;0.79;2.48;0.21;3.73;5.54;5.29;-0.65;-5.26;-0.99;0.72;0.07;-0.77;-1.50;1.06;-1.92;0.06;0.59;0.91;0.17;2.69;1.39;
08_12_2014_071855;-->;-4.63;1.01;2.72;-0.57;-4.84;-0.50;0.78;0.36;-1.34;2.77;0.24;4.06;2.74;3.06;3.02;1.10;2.59;0.39;-5.29;-0.96;0.72;0.14;-2.72;-0.57;-0.98;-1.57;-0.75;3.01;6.26;2.57;0.40;1.14;1.18;-0.11;1.98;0.87;9.63;3.24;3.13;0.06;-3.25;-0.92;-0.97;-2.02;-0.39;3.14;-2.14;0.00;3.06;2.66;2.62;0.67;2.38;0.20;3.78;5.51;5.52;-0.62;-5.30;-1.02;0.72;0.20;-0.74;-1.55;0.84;-2.16;-0.20;0.51;0.87;0.42;2.95;1.65;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
08_12_2014_071855;AVERAGE;-4.68;0.98;2.72;-0.62;-4.81;-0.49;0.73;0.20;-1.36;2.72;0.51;4.00;2.63;3.02;3.05;1.16;2.82;0.51;-5.29;-0.97;0.77;0.13;-2.72;-0.55;-1.01;-1.62;-0.77;3.00;5.78;2.55;0.45;1.13;1.25;-0.03;2.10;0.91;9.57;3.24;3.14;0.05;-3.20;-0.91;-1.03;-2.01;-0.39;3.10;-2.08;0.01;3.11;2.68;2.69;0.70;2.42;0.22;3.74;5.56;5.43;-0.63;-5.25;-1.04;0.67;0.09;-0.73;-1.51;0.93;-2.25;-0.16;0.50;0.89;0.36;2.96;1.62;
