 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
08_12_2014_201949;-->;-4.72;1.49;3.69;0.30;-3.74;-0.53;0.85;0.25;-1.39;3.77;1.64;3.67;1.92;2.41;2.33;-0.20;1.18;-0.46;-5.36;-1.20;0.61;0.08;-2.62;0.21;1.41;-0.31;-2.26;2.67;6.29;3.23;1.50;2.23;2.32;0.20;1.56;-0.06;9.66;3.23;2.96;0.07;-3.00;-0.22;1.23;-0.72;-1.74;3.06;-2.10;-0.08;3.12;2.64;2.61;-0.02;1.23;-0.67;2.72;4.90;5.13;0.26;-3.39;-0.76;0.71;-0.38;-1.06;-1.76;-0.99;-0.78;2.53;2.80;3.06;1.17;2.52;0.16;
08_12_2014_201953;-->;-4.66;1.53;3.65;0.23;-3.96;-0.70;0.24;0.13;-1.08;3.75;1.65;3.69;1.87;2.33;2.32;-0.22;1.03;-0.49;-5.31;-1.19;0.61;-0.08;-2.86;0.01;0.81;-0.58;-1.90;2.68;6.19;3.23;1.54;2.15;2.32;0.21;1.48;-0.08;9.76;3.28;2.99;-0.06;-3.23;-0.44;0.55;-1.17;-1.38;3.12;-2.16;-0.05;3.14;2.58;2.61;-0.04;1.22;-0.67;2.71;4.93;5.04;0.19;-3.61;-0.95;0.12;-0.69;-0.78;-1.80;-0.93;-0.81;2.55;2.72;3.03;1.12;2.45;0.11;
08_12_2014_201956;-->;-4.66;1.45;3.66;0.19;-3.93;-0.77;0.15;-0.10;-0.98;3.68;1.75;3.66;1.94;2.41;2.38;-0.26;1.02;-0.46;-5.31;-1.20;0.60;-0.09;-2.83;-0.05;0.69;-0.78;-1.81;2.65;5.99;3.22;1.56;2.21;2.46;0.19;1.50;-0.05;9.66;3.11;2.95;-0.11;-3.25;-0.44;0.50;-1.15;-1.33;3.05;-2.21;-0.10;3.08;2.56;2.63;-0.13;1.13;-0.71;2.71;4.71;4.96;0.12;-3.61;-0.91;0.08;-0.77;-0.68;-1.83;-0.91;-0.76;2.52;2.73;3.07;1.02;2.38;0.15;
08_12_2014_202000;-->;-4.76;1.36;3.61;0.28;-3.80;-0.71;0.01;-0.23;-0.96;3.66;1.72;3.69;1.95;2.37;2.36;-0.20;1.07;-0.48;-5.36;-1.30;0.50;-0.00;-2.76;0.02;0.64;-0.77;-1.86;2.67;5.99;3.24;1.57;2.19;2.35;0.18;1.47;-0.06;9.50;3.03;2.88;-0.00;-3.17;-0.43;0.39;-1.17;-1.38;3.12;-2.05;-0.09;3.09;2.60;2.62;-0.08;1.19;-0.74;2.66;4.71;4.98;0.23;-3.44;-0.93;-0.10;-0.86;-0.65;-1.87;-0.92;-0.85;2.52;2.70;3.03;1.04;2.35;0.09;
08_12_2014_202023;-->;-4.75;1.52;3.70;0.35;-3.73;-0.55;0.79;0.19;-1.36;3.69;2.25;3.61;1.98;2.45;2.46;-0.09;1.12;-0.47;-5.43;-1.15;0.64;0.04;-2.57;0.22;1.30;-0.44;-2.21;2.67;5.95;3.19;1.62;2.22;2.47;0.34;1.49;-0.10;9.68;3.26;2.90;0.16;-3.03;-0.18;1.13;-0.78;-1.69;3.04;-2.22;-0.08;3.03;2.51;2.60;-0.11;1.16;-0.72;2.61;4.80;4.84;0.35;-3.39;-0.69;0.62;-0.43;-0.99;-1.87;-1.05;-0.63;2.52;2.77;3.10;1.14;2.49;0.15;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
08_12_2014_202023;AVERAGE;-4.71;1.47;3.67;0.27;-3.83;-0.65;0.41;0.05;-1.16;3.71;1.80;3.67;1.93;2.39;2.37;-0.19;1.08;-0.47;-5.35;-1.21;0.59;-0.01;-2.73;0.08;0.97;-0.57;-2.01;2.67;6.08;3.22;1.56;2.20;2.39;0.22;1.50;-0.07;9.65;3.18;2.94;0.01;-3.13;-0.34;0.76;-1.00;-1.50;3.08;-2.15;-0.08;3.09;2.58;2.61;-0.08;1.19;-0.70;2.68;4.81;4.99;0.23;-3.49;-0.85;0.29;-0.62;-0.83;-1.83;-0.96;-0.77;2.53;2.74;3.06;1.10;2.44;0.13;
