 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
10_12_2014_235242;-->;-2.92;3.56;5.45;0.02;-6.85;3.02;7.38;2.45;1.27;6.92;5.19;3.30;-2.48;-2.68;-3.77;1.11;2.91;0.57;-4.29;2.34;6.28;2.28;5.61;2.99;1.29;1.66;-1.57;-1.91;1.52;3.36;?;-0.06;-3.88;1.68;3.01;-2.07;-1.81;?;4.15;3.04;-1.88;-1.97;3.33;5.18;?;-0.10;-5.77;2.78;5.57;-2.56;0.67;?;5.02;2.78;-2.30;-2.08;
10_12_2014_235318;-->;-2.66;3.34;5.51;-0.12;-6.75;3.22;6.92;2.47;0.86;6.93;5.11;3.49;-2.41;-2.11;-3.73;0.76;2.92;0.50;-4.36;2.45;6.01;2.33;4.89;2.95;1.32;1.70;-1.55;-1.58;1.67;3.17;?;-0.20;-4.05;1.97;3.05;-1.71;-1.80;?;4.17;3.10;-1.81;-1.92;3.41;5.13;?;-0.30;-5.95;3.20;5.68;-2.77;0.78;?;4.88;2.95;-2.38;-1.85;
10_12_2014_235354;-->;-2.97;3.21;5.44;0.17;-6.52;2.84;6.84;2.46;1.70;7.01;5.08;3.31;-2.42;-2.58;-3.71;0.86;2.80;0.74;-4.07;1.98;5.73;2.32;5.15;2.96;1.08;1.67;-1.64;-1.96;1.44;3.19;?;0.10;-3.72;1.56;2.99;-1.83;-1.76;?;4.12;3.01;-1.96;-2.08;3.35;5.14;?;-0.08;-5.67;2.91;5.65;-2.71;0.85;?;4.80;2.74;-2.53;-2.21;
10_12_2014_235430;-->;-2.83;3.54;5.35;0.11;-6.74;3.14;6.82;2.41;1.04;6.72;5.19;3.37;-2.35;-2.91;-3.63;1.04;2.85;0.56;-4.29;2.32;6.03;2.28;5.17;2.93;1.40;1.69;-1.54;-2.20;1.27;3.27;?;-0.11;-3.96;1.86;3.02;-1.90;-1.80;?;4.23;2.99;-1.83;-2.03;3.45;5.16;?;-0.28;-5.90;3.27;5.91;-2.59;0.77;?;4.42;2.60;-2.22;-1.95;
10_12_2014_235506;-->;-2.85;3.51;5.48;0.03;-6.79;3.28;7.20;2.44;1.56;7.05;5.08;3.14;-2.51;-2.43;-3.75;1.10;2.84;0.60;-4.31;2.48;6.03;2.21;5.28;3.05;1.30;1.55;-1.65;-1.75;1.64;3.27;?;-0.12;-3.93;1.89;2.95;-1.90;-1.79;?;4.39;2.99;-1.89;-2.02;3.29;4.96;?;-0.16;-5.67;2.93;5.95;-2.59;0.58;?;3.21;2.13;-2.00;-1.38;
 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
10_12_2014_235506;AVERAGE;-2.84;3.43;5.45;0.04;-6.73;3.10;7.03;2.45;1.29;6.93;5.13;3.32;-2.43;-2.54;-3.72;0.97;2.87;0.59;-4.26;2.31;6.02;2.28;5.22;2.97;1.28;1.66;-1.59;-1.88;1.51;3.25;?;-0.08;-3.91;1.79;3.00;-1.88;-1.79;?;4.21;3.02;-1.87;-2.01;3.37;5.11;?;-0.19;-5.79;3.02;5.75;-2.64;0.73;?;4.47;2.64;-2.28;-1.89;
