 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
26_11_2014_214918;-->;-5.89;-0.25;1.59;0.65;-2.64;5.09;-0.10;3.96;1.80;2.07;0.08;0.60;-4.12;3.72;-3.18;1.85;3.98;0.75;-3.70;6.26;1.06;2.95;6.57;2.48;0.84;1.03;-4.04;3.73;?;?;?;?;?;?;?;?;?;?;?;?;?;?;2.94;5.02;5.59;0.12;-4.04;6.18;0.84;-2.11;-0.38;-0.27;2.65;2.36;-3.68;3.31;
26_11_2014_214936;-->;-5.90;-0.26;1.55;0.63;-2.73;3.96;0.44;3.92;2.31;2.48;0.38;0.68;-4.17;4.76;-3.13;1.91;3.98;0.66;-3.87;5.28;1.60;3.01;5.93;2.59;0.75;0.94;-4.07;5.12;?;?;?;?;?;?;?;?;?;?;?;?;?;?;2.97;5.00;5.22;0.06;-4.08;5.13;1.34;-2.14;-0.33;-0.16;2.84;2.38;-3.72;4.48;
26_11_2014_214943;-->;-5.75;-0.09;1.64;0.50;-2.96;3.98;0.65;3.92;1.82;2.27;0.13;0.64;-4.09;4.92;-2.95;2.04;4.14;0.60;-4.11;5.37;1.84;2.99;6.39;2.56;0.82;0.97;-4.02;5.03;?;?;?;?;?;?;?;?;?;?;?;?;?;?;3.18;5.05;5.29;0.01;-4.30;5.01;1.59;-2.15;-0.52;-0.36;2.57;2.26;-3.61;4.67;
26_11_2014_214954;-->;-5.77;-0.30;1.53;0.61;-2.80;5.07;-0.13;3.87;2.65;2.23;0.14;0.46;-4.14;3.70;-3.16;1.79;4.02;0.67;-3.91;6.44;1.10;2.94;5.75;2.54;0.69;0.85;-4.08;3.84;?;?;?;?;?;?;?;?;?;?;?;?;?;?;2.99;5.03;5.23;0.05;-4.20;6.30;0.86;-2.17;-0.09;-0.28;2.94;2.41;-3.67;3.15;
26_11_2014_215012;-->;-5.86;-0.31;1.57;0.59;-2.77;4.00;0.44;3.89;2.68;2.41;0.44;0.73;-4.13;4.64;-3.02;1.83;4.02;0.64;-3.91;5.32;1.61;2.93;5.93;2.50;0.84;0.92;-4.09;5.06;?;?;?;?;?;?;?;?;?;?;?;?;?;?;2.98;5.09;5.19;0.05;-4.17;5.18;1.35;-2.14;-0.24;-0.36;2.70;2.37;-3.65;4.55;
 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
26_11_2014_215012;AVERAGE;-5.83;-0.24;1.58;0.60;-2.78;4.42;0.26;3.91;2.25;2.29;0.23;0.62;-4.13;4.35;-3.09;1.88;4.03;0.66;-3.90;5.73;1.44;2.97;6.11;2.53;0.79;0.94;-4.06;4.56;?;?;?;?;?;?;?;?;?;?;?;?;?;?;3.01;5.04;5.30;0.06;-4.16;5.56;1.19;-2.14;-0.31;-0.28;2.74;2.35;-3.66;4.03;
