 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;
26_11_2014_220045;-->;-3.36;3.67;6.98;1.73;-4.59;5.86;2.69;-0.42;-0.86;2.41;-0.92;3.84;3.55;1.35;2.11;10.62;1.52;4.23;-3.20;2.97;6.46;2.98;-1.95;4.29;4.20;-0.91;-0.86;1.99;5.10;4.62;4.39;1.24;1.18;7.33;3.37;3.24;3.29;1.39;2.94;4.02;3.14;-1.21;8.71;-2.04;-0.32;0.25;-1.39;1.01;2.82;0.00;0.29;8.97;6.46;0.96;-0.82;1.68;4.42;4.11;2.58;-1.41;9.16;-3.11;-1.52;2.75;4.58;-0.77;2.11;-0.26;1.29;12.81;4.89;1.73;
26_11_2014_220054;-->;-3.53;3.74;6.81;2.08;-4.22;5.91;2.80;0.05;-0.08;2.45;-0.97;3.46;3.19;1.31;1.99;10.35;0.67;4.80;-3.25;3.02;6.48;3.21;-1.78;4.62;4.15;-0.22;0.13;2.07;5.13;4.58;4.33;1.29;1.13;6.99;2.37;3.94;3.49;1.11;2.86;4.23;3.36;-0.87;8.77;-1.40;0.62;0.32;-1.46;0.96;2.84;0.04;0.23;8.66;5.62;1.54;-1.08;1.40;4.03;4.48;3.07;-1.39;9.44;-2.78;-0.96;2.72;4.62;-0.69;2.46;-0.19;1.14;11.88;4.12;2.31;
26_11_2014_220056;-->;-3.08;3.59;6.93;1.91;-4.59;6.34;2.39;0.44;0.04;2.48;-0.71;3.48;3.41;1.27;2.06;10.25;1.01;4.72;-3.04;2.89;6.55;3.07;-2.04;4.93;3.82;0.14;0.26;1.94;4.74;4.47;4.11;1.20;1.17;7.23;2.87;3.67;3.44;1.45;2.94;4.18;3.27;-0.78;8.54;-1.20;0.57;0.36;-1.90;1.01;3.09;0.07;0.21;8.69;5.99;1.37;-0.90;1.80;4.24;4.28;2.79;-1.15;9.07;-2.39;-0.80;2.70;4.31;-0.58;2.05;-0.32;1.28;12.70;4.37;2.15;
26_11_2014_220059;-->;-3.25;3.65;6.90;1.83;-4.58;5.82;2.71;-0.49;-0.83;2.34;-0.86;3.42;3.26;1.28;2.06;11.08;1.50;4.27;-3.12;2.80;6.56;3.04;-1.95;4.38;4.21;-0.81;-0.77;1.97;4.75;4.53;4.27;1.31;1.17;7.60;3.25;3.34;3.22;1.41;2.86;4.09;3.15;-1.13;8.96;-1.91;-0.26;0.15;-1.65;0.98;2.84;0.05;0.32;9.24;6.55;1.05;-0.78;1.76;4.07;4.24;2.71;-1.30;9.27;-2.98;-1.49;2.77;4.57;-0.54;2.15;-0.19;1.25;12.85;5.04;1.72;
26_11_2014_220102;-->;-3.27;3.56;6.83;1.73;-4.47;5.67;2.79;-0.41;-0.85;2.39;-0.85;3.57;3.56;1.57;2.15;10.52;0.88;4.77;-3.16;2.79;6.49;3.07;-1.85;4.07;4.40;-1.01;-1.00;1.94;4.87;4.56;4.34;1.42;1.29;7.29;2.65;3.77;3.49;1.39;2.85;4.14;3.34;-1.39;8.98;-2.17;-0.46;0.33;-1.94;0.88;2.86;0.17;0.30;8.88;6.17;1.34;-1.05;1.65;3.91;4.27;2.94;-1.89;9.56;-3.44;-1.90;2.78;4.50;-0.90;2.31;-0.14;1.25;12.53;4.60;2.00;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;
26_11_2014_220102;AVERAGE;-3.30;3.64;6.89;1.86;-4.49;5.92;2.67;-0.17;-0.52;2.41;-0.86;3.55;3.39;1.36;2.07;10.57;1.12;4.56;-3.15;2.89;6.51;3.07;-1.91;4.46;4.16;-0.56;-0.45;1.98;4.92;4.56;4.29;1.29;1.18;7.29;2.90;3.59;3.39;1.35;2.89;4.13;3.25;-1.08;8.79;-1.75;0.03;0.28;-1.67;0.97;2.89;0.07;0.27;8.89;6.16;1.25;-0.93;1.66;4.13;4.28;2.82;-1.43;9.30;-2.94;-1.33;2.74;4.52;-0.69;2.22;-0.22;1.24;12.55;4.60;1.98;
