 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
26_11_2014_220855;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
26_11_2014_221103;-->;-4.70;1.41;3.46;0.16;-4.22;-0.15;2.21;0.51;-1.89;3.73;1.95;2.20;0.29;0.70;0.97;-0.96;1.14;-1.46;-5.45;-1.14;0.60;0.29;-2.68;0.27;1.62;-0.55;-2.20;3.05;6.01;2.44;0.82;0.98;1.10;-0.85;0.98;-1.52;6.91;3.83;3.82;0.11;-3.34;-0.33;1.43;-0.59;-1.59;1.38;-2.22;-0.11;3.00;2.44;2.39;-0.31;1.00;-2.30;3.01;5.08;5.33;0.16;-4.04;-0.58;1.54;0.16;-1.29;-2.14;-0.48;-0.44;2.68;2.56;2.68;0.37;1.64;-1.71;
26_11_2014_221257;-->;-4.71;1.34;3.38;0.14;-4.14;-0.56;0.73;-0.21;-1.11;3.73;1.84;2.26;0.32;0.68;0.94;-1.09;1.16;-1.58;-5.48;-1.23;0.53;0.33;-2.64;-0.17;0.07;-1.41;-1.41;3.00;6.33;2.49;0.78;0.89;1.04;-1.03;0.87;-1.66;6.71;3.80;3.77;0.10;-3.27;-0.75;-0.07;-1.46;-0.81;1.39;-2.11;-0.08;3.05;2.41;2.43;-0.33;0.97;-2.35;2.98;5.04;5.28;0.16;-4.00;-1.02;0.07;-0.68;-0.50;-2.15;-0.45;-0.31;2.79;2.56;2.71;0.28;1.51;-1.85;
26_11_2014_221455;-->;-4.68;1.28;3.36;0.16;-4.12;-0.79;0.10;-0.73;-0.74;3.76;1.87;2.15;0.24;0.62;0.89;-1.07;1.12;-1.52;-5.48;-1.22;0.50;0.29;-2.67;-0.38;-0.46;-1.83;-1.06;2.98;6.23;2.45;0.76;0.87;1.00;-1.07;0.84;-1.66;7.02;3.76;3.73;0.12;-3.34;-0.95;-0.65;-1.83;-0.46;1.47;-2.21;-0.10;3.02;2.37;2.39;-0.36;0.94;-2.34;3.02;5.06;5.28;0.15;-4.04;-1.23;-0.52;-1.07;-0.15;-2.12;-0.38;-0.26;2.84;2.57;2.66;0.18;1.40;-1.93;
26_11_2014_221702;-->;-4.62;1.40;3.38;0.08;-4.30;-0.05;2.55;0.86;-2.11;3.73;2.17;2.37;0.47;0.82;1.03;-0.99;1.17;-1.56;-5.36;-1.14;0.55;0.25;-2.74;0.30;1.85;-0.36;-2.34;2.99;6.11;2.52;0.79;0.92;1.09;-0.91;1.02;-1.54;7.42;3.90;3.81;0.03;-3.49;-0.27;1.72;-0.37;-1.76;1.59;-2.25;-0.11;3.02;2.43;2.43;-0.30;1.01;-2.28;3.10;5.09;5.23;0.09;-4.16;-0.53;1.88;0.41;-1.47;-2.16;-0.36;-0.15;2.98;2.67;2.73;0.16;1.35;-2.01;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
26_11_2014_221702;AVERAGE;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
