 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
27_11_2014_142642;-->;-5.09;0.23;2.03;0.06;-3.95;5.71;0.93;3.99;3.03;2.12;-0.47;0.17;-4.31;3.83;-3.07;1.82;4.08;0.64;-3.98;5.53;1.69;2.94;5.50;2.41;0.30;0.65;-4.21;3.36;11.32;3.94;3.96;-0.05;-3.89;5.75;0.80;2.25;-3.51;0.90;4.60;3.80;-3.30;0.99;3.72;5.64;5.95;-0.20;-5.63;6.99;2.13;-2.12;0.60;0.25;3.01;2.14;-3.91;2.08;
27_11_2014_142705;-->;-4.93;0.54;2.08;0.01;-3.96;5.69;0.99;3.98;2.45;2.29;-0.11;0.43;-4.32;3.18;-3.10;2.00;4.09;0.58;-3.90;5.34;1.66;2.99;6.03;2.42;0.29;0.73;-4.19;3.46;11.22;3.88;3.90;-0.05;-3.71;5.44;0.72;2.27;-3.36;0.91;4.57;3.81;-3.31;1.01;3.77;5.70;5.94;-0.27;-5.64;7.04;2.18;-2.07;0.73;0.22;2.90;2.11;-3.91;2.04;
27_11_2014_142729;-->;-5.08;0.41;2.03;0.05;-3.84;5.62;0.84;3.93;2.46;2.23;-0.46;0.31;-4.39;3.63;-2.97;2.03;4.07;0.63;-3.92;5.49;1.69;2.98;5.60;2.41;0.27;0.64;-4.24;3.40;11.31;3.95;3.92;-0.06;-3.72;5.68;0.76;2.31;-3.47;0.88;4.59;3.80;-3.28;1.00;3.70;5.64;5.88;-0.22;-5.51;6.87;2.09;-2.10;0.58;0.33;3.32;2.30;-3.96;1.90;
27_11_2014_142751;-->;-4.90;0.52;2.10;0.09;-4.07;5.68;1.03;4.02;3.08;2.11;-0.42;0.27;-4.32;3.47;-2.91;1.99;4.06;0.66;-3.94;5.36;1.70;2.94;5.59;2.37;0.38;0.73;-4.19;3.35;11.32;3.97;3.97;-0.05;-3.83;5.56;0.87;2.35;-3.36;0.90;4.61;3.77;-3.35;1.02;3.90;5.76;5.89;-0.27;-5.75;7.06;2.25;-2.03;0.73;0.04;3.05;2.14;-3.88;2.02;
27_11_2014_142815;-->;-5.16;0.41;2.06;0.07;-3.73;5.53;0.88;3.96;2.97;1.99;-0.71;0.07;-4.41;3.92;-3.12;1.89;4.05;0.69;-3.76;5.28;1.57;3.00;5.71;2.39;0.21;0.58;-4.30;3.50;11.14;3.81;3.98;-0.05;-3.73;5.62;0.72;2.28;-3.51;0.83;4.62;3.79;-3.33;1.09;3.73;5.49;5.83;-0.21;-5.43;6.96;2.10;-2.10;0.59;-0.00;2.96;2.10;-3.93;2.06;
 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
27_11_2014_142815;AVERAGE;-5.03;0.43;2.06;0.06;-3.91;5.65;0.94;3.98;2.80;2.15;-0.43;0.25;-4.35;3.61;-3.04;1.95;4.07;0.64;-3.90;5.40;1.66;2.97;5.69;2.40;0.29;0.67;-4.23;3.41;11.26;3.91;3.94;-0.05;-3.77;5.61;0.77;2.29;-3.44;0.88;4.60;3.79;-3.31;1.02;3.76;5.64;5.90;-0.23;-5.59;6.99;2.15;-2.08;0.65;0.17;3.05;2.16;-3.92;2.02;
