 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
28_11_2014_135744;-->;-2.30;2.39;2.72;-3.53;-9.83;8.14;1.32;3.13;1.34;3.31;0.93;0.85;-4.53;3.64;-3.79;0.22;1.42;-1.14;-5.01;2.88;-0.56;2.85;6.34;2.63;0.66;0.99;-4.36;3.91;10.74;3.33;3.11;-0.05;-3.24;-0.01;-1.02;3.07;-2.10;1.22;4.40;2.95;-4.04;2.38;3.20;5.07;5.16;-0.15;-4.53;0.59;0.25;-2.55;0.91;1.12;4.39;2.54;-4.45;1.85;
28_11_2014_135831;-->;-2.32;2.31;2.71;-3.47;-9.84;8.10;1.28;3.08;1.13;3.33;1.02;0.94;-4.45;3.65;-3.80;0.15;1.41;-1.06;-5.00;2.80;-0.60;2.88;6.31;2.61;0.70;1.00;-4.33;3.99;10.77;3.20;3.00;0.04;-3.07;-0.29;-1.04;3.16;-2.15;1.27;4.41;2.93;-4.04;2.31;3.17;5.03;5.13;-0.06;-4.47;0.43;0.23;-2.55;0.87;0.87;4.35;2.55;-4.43;1.92;
28_11_2014_135918;-->;-2.22;2.42;2.77;-3.61;-9.99;8.33;1.34;3.10;1.14;3.54;1.24;1.07;-4.51;3.40;-3.71;0.23;1.45;-1.16;-5.11;2.98;-0.59;2.89;6.25;2.61;0.71;1.01;-4.34;4.02;10.88;3.33;3.04;-0.08;-3.23;-0.04;-1.00;3.13;-2.08;1.31;4.42;2.95;-4.04;2.25;3.23;5.11;5.11;-0.16;-4.59;0.53;0.27;-2.55;0.96;1.36;4.69;2.68;-4.53;1.63;
28_11_2014_140005;-->;-2.25;2.41;2.67;-3.58;-9.93;8.31;1.29;3.13;0.95;3.53;1.31;1.09;-4.48;3.38;-3.73;0.26;1.43;-1.15;-5.10;2.98;-0.55;2.84;6.46;2.60;0.74;1.03;-4.34;3.98;10.88;3.33;3.04;-0.07;-3.24;0.03;-0.96;3.14;-2.05;1.27;4.44;2.94;-4.04;2.30;3.17;5.04;5.01;-0.11;-4.49;0.46;0.27;-2.51;0.88;1.05;4.41;2.53;-4.47;1.88;
28_11_2014_140051;-->;-2.31;2.36;2.69;-3.56;-9.89;8.21;1.27;3.10;1.18;3.58;1.27;1.06;-4.50;3.44;-3.78;0.17;1.39;-1.16;-5.06;2.94;-0.59;2.83;6.28;2.59;0.69;1.00;-4.33;3.88;10.83;3.23;2.96;-0.06;-3.18;-0.10;-1.05;3.18;-2.08;1.27;4.39;2.95;-4.03;2.31;3.18;5.03;5.03;-0.13;-4.57;0.55;0.24;-2.55;0.91;1.09;4.47;2.56;-4.46;1.86;
 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
28_11_2014_140051;AVERAGE;-2.28;2.38;2.71;-3.55;-9.90;8.22;1.30;3.11;1.15;3.46;1.15;1.00;-4.49;3.50;-3.76;0.20;1.42;-1.14;-5.05;2.92;-0.58;2.86;6.33;2.61;0.70;1.00;-4.34;3.96;10.82;3.29;3.03;-0.04;-3.19;-0.08;-1.01;3.14;-2.09;1.27;4.41;2.95;-4.04;2.31;3.19;5.06;5.09;-0.12;-4.53;0.51;0.25;-2.54;0.91;1.10;4.46;2.57;-4.47;1.83;
