 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
29_11_2014_062917;-->;-5.88;-0.23;1.75;0.63;-2.60;-1.96;0.93;1.87;-0.96;3.92;2.36;2.00;-1.41;-1.09;-1.24;-1.81;0.64;-0.50;-3.10;1.90;4.15;0.69;-3.74;-2.69;0.43;2.38;-0.04;2.96;6.15;2.58;0.42;0.94;1.18;0.75;2.17;0.09;11.21;3.75;3.76;0.01;-3.50;-2.02;1.64;2.55;-1.14;2.31;-3.69;0.66;4.56;4.09;4.20;3.12;3.32;-0.28;2.99;5.04;5.37;0.30;-4.10;-2.31;1.60;3.09;-0.82;-2.20;0.30;-0.73;2.51;2.35;2.68;2.27;3.10;0.29;
29_11_2014_062918;-->;-5.91;-0.28;1.68;0.55;-2.74;-1.58;2.21;2.71;-1.70;4.03;2.57;1.60;-1.95;-1.45;-1.71;-1.95;0.60;-0.31;-3.05;1.92;4.08;0.71;-3.86;-2.29;1.75;3.16;-0.77;3.03;5.84;2.54;0.29;0.79;0.91;0.54;2.01;0.02;11.28;3.72;3.71;-0.07;-3.79;-1.60;3.09;3.47;-2.03;2.30;-3.59;0.69;4.57;4.11;4.14;3.16;3.35;-0.30;3.06;5.03;5.27;0.31;-4.28;-1.92;2.83;3.89;-1.52;-2.14;0.23;-0.49;2.80;2.40;2.58;2.03;2.75;0.07;
29_11_2014_062935;-->;-5.84;-0.17;1.74;0.56;-2.79;-1.93;1.02;2.06;-0.91;3.96;2.57;1.76;-1.84;-1.40;-1.54;-1.87;0.51;-0.35;-3.00;1.93;4.12;0.62;-3.94;-2.62;0.61;2.58;-0.03;2.97;5.99;2.55;0.31;0.80;1.02;0.70;1.93;0.13;11.26;3.82;3.81;-0.09;-3.75;-2.06;1.73;2.64;-1.11;2.31;-3.54;0.70;4.57;4.03;4.15;3.11;3.18;-0.30;3.05;5.05;5.29;0.22;-4.32;-2.22;1.78;3.26;-0.88;-2.16;0.15;-0.34;2.80;2.43;2.70;2.15;2.79;0.16;
29_11_2014_062936;-->;-5.90;-0.24;1.73;0.74;-2.59;-1.69;1.92;2.71;-1.50;3.98;2.62;1.90;-1.67;-1.30;-1.48;-1.89;0.80;-0.39;-3.11;1.87;4.12;0.80;-3.78;-2.39;1.53;3.18;-0.61;3.00;6.04;2.55;0.28;0.76;0.99;0.67;2.19;0.13;11.11;3.72;3.79;0.07;-3.58;-1.78;2.68;3.21;-1.73;2.27;-3.46;0.67;4.51;4.02;4.14;3.13;3.24;-0.26;2.95;4.97;5.34;0.37;-4.14;-1.95;2.73;3.86;-1.45;-2.17;0.14;-0.43;2.83;2.37;2.64;2.02;2.78;0.09;
29_11_2014_062953;-->;-5.89;-0.34;1.71;0.59;-2.78;-1.94;1.22;2.18;-1.16;4.02;2.52;1.91;-1.63;-1.24;-1.38;-1.70;0.33;-0.39;-3.00;1.85;4.15;0.68;-3.98;-2.70;0.75;2.59;-0.24;2.96;6.05;2.64;0.33;0.88;1.18;0.86;1.91;0.13;11.23;3.79;3.84;-0.11;-3.82;-2.02;2.05;2.81;-1.42;2.24;-3.65;0.71;4.58;4.03;4.18;3.17;3.22;-0.29;3.01;5.12;5.51;0.30;-4.34;-2.30;1.81;3.26;-0.92;-2.14;0.11;-0.43;2.72;2.36;2.60;2.13;2.67;0.13;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
29_11_2014_062953;AVERAGE;-5.88;-0.25;1.72;0.61;-2.70;-1.82;1.46;2.31;-1.24;3.98;2.53;1.83;-1.70;-1.30;-1.47;-1.85;0.58;-0.39;-3.05;1.89;4.13;0.70;-3.86;-2.54;1.01;2.78;-0.34;2.98;6.01;2.57;0.33;0.83;1.06;0.70;2.04;0.10;11.22;3.76;3.78;-0.04;-3.69;-1.89;2.24;2.94;-1.48;2.28;-3.59;0.68;4.56;4.05;4.17;3.14;3.26;-0.29;3.01;5.04;5.35;0.30;-4.24;-2.14;2.15;3.47;-1.12;-2.16;0.19;-0.48;2.73;2.38;2.64;2.12;2.82;0.15;
