 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
14_10_2014_150906;-->;-4.43;1.45;4.37;1.60;-3.17;4.27;3.79;2.00;-2.12;5.37;6.34;3.36;-3.06;-3.86;-5.22;0.51;3.95;3.37;0.15;1.44;2.55;1.25;1.23;1.45;1.67;0.07;-3.53;2.13;2.39;3.96;5.61;3.93;1.39;-0.41;1.38;-3.30;-4.03;2.61;5.50;1.72;-4.22;0.95;1.42;3.69;4.76;2.85;-0.74;2.77;3.01;2.29;1.92;1.91;4.41;1.05;-3.80;1.80;
14_10_2014_150925;-->;-5.11;0.98;3.90;1.87;-2.46;3.66;3.10;2.26;-2.20;5.31;5.95;3.05;-3.22;-3.50;-5.12;0.54;3.77;3.30;-0.10;2.47;2.31;1.16;1.45;1.55;1.41;-0.03;-3.51;2.52;2.45;3.91;5.59;3.66;0.96;0.93;1.18;-3.55;-4.08;2.69;5.69;1.74;-4.29;0.96;0.81;3.16;4.49;3.03;0.05;2.01;2.10;2.19;2.14;1.99;4.63;1.19;-3.66;1.11;
14_10_2014_150943;-->;-4.53;1.51;4.26;1.61;-3.30;4.28;3.87;2.20;-2.33;5.20;5.78;3.05;-3.09;-3.29;-5.22;0.44;3.79;3.50;0.08;1.52;2.70;1.33;1.49;1.39;1.50;0.17;-3.63;2.23;2.44;3.97;5.73;3.98;1.16;-0.14;1.40;-3.34;-4.49;2.63;5.51;1.82;-4.23;0.95;1.50;3.53;4.87;2.68;-1.12;3.34;2.88;2.25;1.61;1.65;3.99;1.06;-3.59;1.65;
14_10_2014_151002;-->;-5.22;0.82;3.80;2.13;-2.44;3.77;2.81;2.20;-2.36;5.44;6.27;3.27;-2.85;-3.49;-5.14;0.48;3.76;3.40;-0.15;2.65;2.25;1.29;1.34;1.53;1.53;0.10;-3.30;2.23;2.46;3.84;5.56;3.80;1.09;0.85;1.06;-3.47;-4.19;2.73;5.64;1.71;-4.18;0.91;0.93;3.21;4.51;3.08;-0.23;2.70;2.28;2.31;2.04;2.11;4.45;1.07;-3.49;1.07;
14_10_2014_151020;-->;-4.47;1.55;4.46;1.58;-3.30;4.25;4.03;1.98;-2.57;5.17;5.83;3.03;-3.21;-3.10;-5.37;0.56;4.00;3.32;0.06;1.50;2.78;1.25;1.49;1.49;1.62;0.01;-3.60;2.45;2.46;3.95;5.61;3.88;1.31;-0.11;1.40;-3.29;-4.28;2.62;5.71;1.72;-4.22;1.01;1.60;3.83;4.80;2.53;-1.10;3.44;3.27;2.33;2.01;1.92;4.36;0.99;-3.81;1.51;
14_10_2014_151039;-->;-5.06;0.95;3.99;2.11;-2.41;3.83;2.78;2.06;-2.40;5.53;6.15;3.25;-3.13;-3.70;-5.23;0.45;3.85;3.53;-0.02;2.42;2.25;1.29;1.59;1.49;1.64;0.11;-3.58;2.10;2.48;3.91;5.69;3.85;1.11;0.85;1.08;-3.41;-4.64;2.77;5.77;1.83;-4.28;0.73;1.10;3.26;4.62;2.98;-0.41;3.04;2.08;2.15;1.97;2.11;4.28;1.15;-3.78;1.30;
14_10_2014_151057;-->;-4.47;1.49;4.26;1.61;-3.23;4.27;3.70;2.25;-1.57;5.31;5.98;3.17;-3.00;-3.21;-5.21;0.68;3.79;3.37;-0.09;1.87;2.88;1.16;1.86;1.55;1.51;0.05;-3.37;2.27;2.53;4.12;5.73;3.84;1.29;-0.13;1.49;-3.44;-4.54;2.55;5.69;1.77;-4.25;1.01;1.54;3.80;4.84;2.55;-0.98;3.06;2.89;2.15;1.59;1.42;4.15;0.97;-3.56;1.72;
14_10_2014_151117;-->;-5.31;0.85;3.85;1.94;-2.47;3.84;2.72;2.07;-2.02;5.10;5.93;3.06;-3.10;-3.10;-5.14;0.61;3.70;3.16;-0.23;2.66;2.21;1.08;1.78;1.57;1.60;0.05;-3.54;2.00;2.46;3.92;5.62;3.62;0.93;0.96;1.07;-3.41;-4.34;2.67;5.59;1.69;-4.32;0.85;0.83;3.08;4.50;3.11;-0.00;2.16;2.19;2.04;1.57;1.72;4.17;1.02;-3.67;1.68;
