 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
14_10_2014_151747;-->;-4.65;1.38;4.40;1.70;-3.10;4.29;4.11;2.12;-2.57;5.54;6.27;3.16;-3.04;-3.79;-5.36;0.44;3.93;3.56;0.17;1.59;2.69;1.10;1.92;1.53;1.61;-0.01;-3.37;2.48;2.58;3.58;4.90;2.95;0.08;1.33;1.56;-3.21;-3.56;3.32;6.07;1.70;-4.59;0.89;1.41;3.52;4.89;2.68;-0.76;2.59;2.92;2.26;1.47;1.87;4.21;1.01;-3.62;1.34;
14_10_2014_151806;-->;-5.06;0.59;4.03;1.90;-2.50;3.65;2.94;2.24;-1.92;5.48;6.16;3.26;-2.91;-3.53;-5.36;0.18;3.97;3.27;-0.22;2.60;2.47;1.29;1.20;1.54;1.66;0.13;-3.38;2.41;2.42;3.53;4.88;2.63;-0.39;2.40;1.25;-3.36;-3.42;3.33;6.11;1.70;-4.55;0.95;1.04;3.10;4.51;2.98;-0.16;2.45;2.25;2.22;1.83;1.58;4.15;1.08;-3.38;1.29;
14_10_2014_151824;-->;-4.51;1.46;4.51;1.48;-3.25;4.33;4.06;2.26;-2.33;5.48;6.20;3.34;-2.94;-3.89;-5.35;0.51;3.99;3.48;0.18;1.46;2.83;1.24;1.69;1.44;1.58;0.05;-3.40;2.47;2.46;3.63;4.95;2.93;-0.08;1.41;1.63;-3.42;-3.42;3.27;6.09;1.75;-4.51;0.96;1.52;3.52;4.90;2.73;-0.83;2.72;2.82;2.31;1.72;1.74;4.41;1.09;-3.46;1.40;
14_10_2014_151843;-->;-5.24;0.91;3.97;1.96;-2.48;3.78;2.79;2.03;-2.18;5.32;5.92;3.10;-2.97;-3.40;-5.35;0.58;3.88;3.31;-0.12;2.54;2.40;1.01;1.45;1.60;1.70;0.16;-3.55;2.30;2.55;3.53;4.68;2.66;-0.20;2.42;1.22;-3.35;-3.57;3.46;6.21;1.73;-4.67;0.76;0.88;3.16;4.55;2.98;-0.22;2.47;1.99;2.24;1.37;1.59;4.07;1.01;-3.49;1.46;
14_10_2014_151901;-->;-4.47;1.56;4.27;1.66;-3.18;4.04;4.00;1.94;-2.38;5.36;6.09;3.13;-3.16;-3.58;-5.49;0.54;3.74;3.47;0.14;1.33;2.92;1.01;1.54;1.38;1.70;0.17;-3.55;2.58;2.48;3.62;4.84;2.87;0.14;1.11;1.56;-3.18;-3.55;3.21;6.21;1.78;-4.71;0.85;1.52;3.63;4.86;2.64;-0.82;2.59;2.78;2.24;1.97;1.68;4.22;1.06;-3.69;1.46;
14_10_2014_151920;-->;-5.12;0.95;3.89;2.00;-2.45;3.88;2.95;2.20;-2.18;5.27;5.97;3.34;-3.09;-3.51;-5.06;0.52;3.79;3.43;-0.20;2.65;2.38;1.32;1.68;1.56;1.52;0.24;-3.54;2.47;2.65;3.35;4.84;2.95;-0.05;2.21;1.16;-3.15;-3.34;3.34;6.54;1.94;-4.62;0.68;1.02;3.24;4.83;3.00;-0.38;2.99;1.98;2.27;1.61;1.49;4.00;1.10;-3.56;1.59;
14_10_2014_151938;-->;-4.45;1.13;4.35;1.69;-3.31;4.16;3.92;2.18;-2.33;5.17;5.85;3.09;-2.89;-3.52;-5.18;0.22;3.93;3.52;-0.04;1.61;2.78;1.30;1.46;1.40;1.50;0.02;-3.43;2.33;2.54;3.52;4.89;2.95;0.08;1.10;1.48;-3.24;-3.45;3.36;6.07;1.70;-4.52;0.90;1.42;3.74;4.80;2.80;-0.95;2.74;2.97;2.26;2.03;1.58;3.96;0.90;-3.50;1.79;
14_10_2014_151957;-->;-5.01;1.13;4.05;1.77;-2.74;4.07;3.06;2.21;-2.09;5.56;6.34;3.45;-3.11;-3.95;-5.17;0.77;4.04;3.07;-0.37;2.84;2.50;1.22;1.70;1.53;1.53;0.24;-3.45;2.09;2.45;3.65;4.91;2.63;-0.47;2.46;1.33;-3.34;-3.57;3.23;6.23;1.85;-4.58;0.97;0.95;3.17;4.51;3.17;-0.06;2.14;2.28;2.26;1.83;1.62;4.25;1.22;-3.55;1.67;
