 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
14_10_2014_161257;-->;-5.13;0.96;4.09;1.91;-2.53;4.20;2.88;2.10;-2.32;5.64;6.40;3.44;-3.13;-3.68;-5.12;0.51;3.95;3.14;-0.02;2.76;1.96;1.32;2.08;1.66;1.54;0.16;-3.49;2.02;2.59;3.56;4.83;2.63;-0.32;2.79;1.07;-3.57;-4.56;2.06;5.15;1.87;-3.87;0.77;0.85;3.12;4.45;3.18;-0.07;2.59;2.31;2.14;1.59;2.11;4.51;1.19;-3.75;1.53;
14_10_2014_161317;-->;-5.19;0.64;4.01;2.02;-2.37;3.82;2.80;2.22;-2.14;5.60;6.46;3.43;-2.98;-3.72;-5.19;0.24;3.91;3.28;-0.09;2.62;2.40;1.35;1.41;1.62;1.65;0.25;-3.31;1.98;2.71;3.49;4.86;2.80;-0.02;2.28;1.25;-3.43;-4.74;2.13;5.15;1.90;-3.69;0.71;0.93;3.04;4.47;3.01;-0.13;2.42;2.10;2.25;1.79;1.79;4.16;1.09;-3.52;1.42;
14_10_2014_161335;-->;-5.19;0.89;3.93;2.04;-2.50;4.16;2.75;2.24;-2.19;5.36;6.04;3.16;-3.00;-3.19;-5.21;0.63;3.92;3.28;-0.22;3.04;2.22;1.26;1.55;1.50;1.55;0.10;-3.37;2.37;2.48;3.60;4.97;2.75;-0.36;2.79;1.12;-3.60;-4.82;1.94;5.18;1.78;-3.68;0.92;0.95;3.22;4.61;3.17;-0.04;2.67;2.06;2.18;1.72;1.69;4.30;1.04;-3.49;1.55;
14_10_2014_161354;-->;-4.89;1.14;3.90;2.00;-2.60;3.86;3.36;2.22;-2.89;5.60;6.62;3.51;-3.13;-4.30;-5.18;0.68;3.78;3.36;-0.23;2.88;2.45;1.40;1.75;1.56;1.52;0.20;-3.52;2.18;2.74;3.52;4.81;2.87;-0.02;2.20;1.27;-3.46;-4.67;2.01;5.27;1.92;-3.87;0.70;0.86;3.07;4.51;3.22;0.05;2.21;2.27;2.21;1.87;1.91;4.39;1.20;-3.70;1.35;
14_10_2014_161412;-->;-5.10;1.10;4.05;1.91;-2.42;3.94;3.02;2.16;-2.43;5.31;6.12;3.32;-2.99;-3.71;-5.20;0.75;3.97;3.26;-0.28;2.89;2.32;1.32;1.67;1.44;1.44;0.11;-3.45;2.40;2.53;3.52;4.68;2.70;-0.24;2.47;1.08;-3.54;-4.78;1.95;5.03;1.87;-3.77;0.84;1.00;3.34;4.55;2.82;-0.41;3.23;1.93;2.29;2.11;1.64;4.27;1.02;-3.51;1.24;
14_10_2014_161431;-->;-5.20;0.95;3.90;2.24;-2.41;3.68;2.90;2.18;-2.16;5.68;6.44;3.39;-3.07;-3.87;-5.23;0.62;3.79;3.51;-0.15;2.58;2.30;1.27;1.53;1.62;1.39;0.14;-3.50;2.07;2.49;3.63;4.82;2.97;-0.17;2.30;1.20;-3.59;-4.79;1.96;5.14;1.80;-3.82;0.73;0.72;3.07;4.32;3.47;0.29;1.70;2.08;2.19;1.48;1.72;4.54;1.18;-3.66;1.16;
14_10_2014_161449;-->;-4.99;0.97;3.98;1.85;-2.53;4.00;3.10;2.03;-2.42;5.36;6.12;3.22;-3.13;-3.87;-5.24;0.65;3.90;3.33;-0.13;2.72;2.32;1.18;1.56;1.49;1.44;0.07;-3.55;2.37;2.56;3.71;4.95;2.75;-0.30;2.65;1.11;-3.62;-4.95;2.05;5.07;1.83;-3.81;0.99;1.04;3.34;4.50;2.94;-0.17;2.85;2.22;2.24;2.30;1.95;4.17;1.08;-3.70;1.16;
14_10_2014_161508;-->;-5.10;0.95;3.83;2.10;-2.40;3.78;3.06;2.07;-1.86;5.49;6.29;3.28;-3.00;-3.80;-5.37;0.58;3.76;3.53;-0.05;2.71;2.51;1.28;1.44;1.54;1.64;0.19;-3.24;2.41;2.46;3.63;4.79;2.94;0.06;2.14;1.12;-3.58;-5.06;2.05;5.18;1.90;-3.76;0.86;0.82;3.22;4.45;3.19;0.01;2.41;1.91;2.19;1.74;1.48;3.94;1.02;-3.42;1.55;
