 ; ;Ring 1 H; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTM.BPM10;
14_10_2014_150523;-->;-4.56;1.35;4.37;1.73;-3.39;4.21;3.71;2.09;-2.67;5.52;6.25;3.16;-3.01;-3.57;-5.32;0.31;3.88;3.66;0.05;1.37;2.67;1.24;1.18;1.45;1.46;-0.02;-3.48;2.35;2.54;3.38;4.83;3.01;0.03;1.32;1.45;-3.36;-4.26;2.60;5.59;1.74;-4.14;0.88;1.58;3.56;4.84;2.51;-1.27;3.47;2.99;2.32;2.02;1.82;4.27;0.90;-3.61;1.18;
14_10_2014_150542;-->;-5.12;0.91;3.79;2.13;-2.42;3.54;2.69;2.07;-2.41;5.30;6.15;3.16;-3.07;-3.44;-5.28;0.60;3.78;3.43;-0.20;2.53;2.22;1.31;2.17;1.56;1.57;0.20;-3.42;2.18;2.25;3.47;4.79;2.86;-0.26;2.17;1.05;-3.37;-4.05;2.58;5.56;1.76;-4.25;1.04;0.54;3.03;4.41;3.36;0.39;1.24;1.77;2.13;1.43;1.55;4.22;1.15;-3.50;1.37;
14_10_2014_150600;-->;-4.52;1.46;4.35;1.93;-3.05;3.87;3.78;2.21;-2.22;5.18;6.04;3.12;-3.05;-3.11;-5.24;0.65;3.92;3.66;0.21;1.07;2.66;1.30;1.49;1.50;1.53;0.07;-3.50;2.32;2.50;3.49;4.91;3.14;0.29;0.91;1.62;-3.39;-4.26;2.69;5.69;1.82;-4.24;0.66;1.45;3.55;4.88;2.85;-0.81;2.37;3.15;2.35;1.93;1.62;3.88;0.76;-3.65;1.95;
14_10_2014_150619;-->;-5.24;0.92;3.94;2.04;-2.50;3.86;2.79;2.27;-2.12;5.19;6.11;3.16;-2.90;-3.01;-5.13;0.55;3.92;3.30;-0.14;2.64;2.30;1.34;1.74;1.46;1.62;0.09;-3.32;2.23;2.46;3.41;4.73;2.68;-0.19;2.25;1.15;-3.49;-4.13;2.69;5.80;1.81;-4.10;0.80;0.96;3.15;4.64;2.94;-0.30;2.74;2.23;2.29;1.91;1.85;4.23;1.05;-3.54;1.49;
14_10_2014_150637;-->;-4.54;1.42;4.27;1.83;-3.08;4.11;3.73;2.18;-2.39;5.28;6.21;3.22;-2.89;-3.44;-5.19;0.57;3.81;3.55;0.20;1.33;2.49;1.28;1.25;1.49;1.55;0.08;-3.33;2.18;2.32;3.40;4.78;3.05;0.23;1.02;1.51;-3.44;-4.26;2.59;5.57;1.76;-4.11;0.87;1.54;3.51;4.86;2.76;-1.15;3.41;3.30;2.29;1.67;1.57;3.93;0.83;-3.55;1.96;
14_10_2014_150656;-->;-5.31;0.88;4.00;2.05;-2.39;3.42;2.82;2.23;-2.19;5.34;6.07;3.14;-3.21;-3.18;-5.23;0.53;3.97;3.30;-0.11;2.35;2.27;1.30;1.37;1.51;1.57;0.10;-3.57;2.35;2.41;3.51;4.69;2.79;-0.02;1.96;1.04;-3.39;-4.15;2.75;5.77;1.88;-4.30;0.94;0.95;3.25;4.37;3.08;-0.01;2.04;2.10;2.08;1.92;1.80;4.06;1.02;-3.67;1.43;
14_10_2014_150714;-->;-4.50;1.46;4.22;1.52;-3.27;4.29;3.88;2.12;-2.45;5.57;6.37;3.29;-2.98;-3.85;-5.28;0.65;3.73;3.35;0.10;1.44;2.63;1.26;1.26;1.52;1.55;-0.03;-3.34;2.30;2.41;3.48;4.86;2.86;0.04;1.25;1.51;-3.37;-4.37;2.63;5.61;1.72;-4.09;0.91;1.58;3.70;4.91;2.38;-1.23;3.56;3.14;2.18;2.11;1.85;4.31;0.82;-3.49;1.46;
14_10_2014_150733;-->;-5.04;1.02;3.89;2.03;-2.65;3.90;2.99;2.08;-2.43;5.35;6.20;3.15;-3.25;-3.53;-5.32;0.57;3.87;3.44;-0.24;2.67;2.31;1.19;1.39;1.60;1.70;0.08;-3.56;2.20;2.64;3.59;4.88;2.87;-0.26;2.29;1.25;-3.44;-4.18;2.76;5.77;1.82;-4.27;0.81;1.02;3.28;4.66;3.19;-0.31;2.54;2.29;2.24;1.69;1.78;4.22;1.11;-3.69;1.53;
