 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;
09_12_2014_071611;-->;-2.93;3.02;4.88;-0.63;-7.24;6.66;1.12;0.32;1.71;3.09;2.51;5.09;3.09;1.16;-3.94;-11.26;12.43;-0.77;-3.69;0.14;1.26;-1.20;-6.54;6.31;1.89;2.14;-1.20;2.90;?;2.44;0.66;-0.33;-3.81;-7.05;13.60;-5.56;9.33;3.00;2.91;-0.06;-4.00;2.62;4.21;-1.30;-2.73;2.65;-1.90;1.15;4.18;2.60;-3.40;-11.13;12.05;-0.05;3.05;5.00;5.66;0.03;-5.37;3.17;3.92;-2.91;0.38;-3.85;-3.58;-1.53;3.43;3.47;-0.97;-4.50;7.06;-2.75;
09_12_2014_071614;-->;-3.00;3.10;4.85;-0.58;-7.11;6.40;1.38;-0.03;1.53;3.31;2.26;5.10;2.71;1.05;-3.82;-11.21;12.75;-0.94;-3.79;0.31;1.27;-1.12;-6.48;6.11;2.18;1.87;-1.17;2.92;?;2.65;0.38;-0.32;-3.60;-6.94;13.79;-5.66;9.29;3.13;2.97;-0.01;-3.86;2.50;4.41;-1.43;-2.71;2.73;-1.84;1.21;4.15;2.62;-3.27;-11.13;12.11;-0.28;2.92;4.96;5.56;0.12;-5.27;3.04;4.09;-3.01;0.35;-4.03;-3.49;-1.42;3.42;3.43;-0.82;-4.38;7.24;-2.90;
09_12_2014_071618;-->;-2.92;3.10;4.83;-0.59;-7.18;6.39;1.26;0.16;1.52;3.18;2.50;5.08;2.98;1.15;-3.92;-11.17;12.68;-1.32;-3.73;0.31;1.27;-1.19;-6.53;5.96;2.06;1.95;-1.18;2.98;?;2.44;0.49;-0.33;-3.76;-7.08;13.78;-5.96;9.34;3.23;3.06;-0.11;-4.04;2.56;4.22;-1.26;-2.60;2.28;-1.84;1.29;4.10;2.59;-3.37;-11.27;12.13;-0.27;2.98;5.12;5.50;-0.03;-5.43;3.11;3.82;-2.80;0.45;-3.96;-3.33;-1.19;3.51;3.42;-0.96;-4.44;7.21;-3.16;
09_12_2014_071621;-->;-2.84;3.20;4.83;-0.76;-7.49;6.84;1.07;0.36;1.84;3.23;2.43;5.05;3.01;1.14;-3.80;-11.12;12.61;-1.47;-3.53;0.41;1.35;-1.28;-6.70;6.38;1.86;2.16;-0.86;2.82;?;2.49;0.72;-0.22;-3.56;-6.93;13.76;-6.07;9.80;3.43;3.04;-0.24;-4.24;2.96;3.95;-1.13;-2.26;2.84;-1.74;1.26;4.20;2.54;-3.28;-11.17;12.09;-0.26;3.13;5.27;5.48;-0.10;-5.62;3.40;3.72;-2.73;0.78;-3.83;-3.06;-1.17;3.38;3.45;-0.79;-4.39;7.23;-3.16;
09_12_2014_071624;-->;-3.19;3.00;4.95;-0.38;-6.82;6.05;1.66;-0.41;1.73;3.08;2.31;5.03;2.78;1.02;-3.83;-11.14;13.13;-1.18;-3.69;0.28;1.49;-1.06;-6.44;6.10;2.10;1.80;-0.90;2.91;?;2.45;0.48;-0.40;-3.62;-6.84;14.13;-5.99;9.59;3.13;2.95;0.08;-3.78;2.24;4.50;-1.79;-2.55;2.86;-1.68;1.19;4.02;2.45;-3.31;-11.10;12.47;-0.62;3.05;5.18;5.55;0.12;-5.19;3.10;4.01;-3.20;0.64;-3.84;-3.10;-1.40;3.27;3.38;-0.78;-4.17;7.51;-3.38;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;
09_12_2014_071624;AVERAGE;-2.97;3.08;4.87;-0.59;-7.17;6.47;1.30;0.08;1.67;3.18;2.40;5.07;2.91;1.10;-3.86;-11.18;12.72;-1.14;-3.69;0.29;1.33;-1.17;-6.54;6.17;2.02;1.99;-1.06;2.91;?;2.50;0.55;-0.32;-3.67;-6.97;13.81;-5.85;9.47;3.19;2.99;-0.07;-3.98;2.57;4.26;-1.38;-2.57;2.67;-1.80;1.22;4.13;2.56;-3.32;-11.16;12.17;-0.30;3.03;5.10;5.55;0.03;-5.38;3.17;3.91;-2.93;0.52;-3.90;-3.31;-1.34;3.40;3.43;-0.86;-4.38;7.25;-3.07;
