 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;
28_11_2014_220431;-->;-3.25;3.69;6.95;1.83;-4.60;6.19;2.38;0.37;-0.09;2.31;-0.50;3.44;3.40;1.39;2.14;13.47;5.70;1.08;-3.12;2.85;6.50;3.19;-1.90;4.56;4.11;-0.30;-0.33;2.06;4.29;4.60;4.37;1.45;1.26;9.69;7.42;0.26;8.00;1.42;2.80;4.26;3.30;-0.95;8.56;-1.45;0.10;2.51;-1.52;1.03;2.92;0.21;0.33;11.25;10.58;-1.97;-0.84;1.69;3.76;4.38;2.84;-1.33;9.10;-2.75;-1.28;2.72;4.52;-0.79;2.20;-0.09;1.34;15.20;9.03;-1.23;
28_11_2014_220432;-->;-3.32;3.87;7.03;1.97;-4.38;4.81;3.43;-2.11;-2.10;2.33;-0.62;3.83;3.64;1.37;2.03;13.54;7.22;-0.01;-3.16;3.07;6.64;3.22;-1.71;3.28;5.04;-2.62;-2.10;2.08;5.24;4.64;4.32;1.22;1.14;10.57;9.04;-1.11;7.84;1.30;2.81;4.33;3.36;-2.16;9.56;-3.64;-1.65;2.51;-1.50;1.00;2.97;0.07;0.30;12.14;11.96;-3.09;-1.11;1.63;3.61;4.52;3.10;-2.55;9.98;-4.94;-3.04;2.52;5.08;-0.76;2.17;-0.21;1.35;16.26;10.33;-2.39;
28_11_2014_220435;-->;-3.18;3.71;6.93;1.74;-4.75;6.02;2.57;-0.36;-0.94;2.39;-0.71;3.71;3.77;1.69;2.14;12.89;5.85;1.06;-3.06;2.92;6.61;3.18;-2.02;4.35;4.32;-1.11;-1.24;1.99;4.81;4.59;4.53;1.37;1.24;10.01;7.86;-0.10;7.96;1.35;2.87;4.14;3.04;-1.22;8.86;-2.23;-0.82;2.42;-1.64;0.99;3.09;0.15;0.24;11.51;10.92;-2.27;-0.77;1.66;3.99;4.21;2.51;-1.39;9.30;-3.27;-2.06;2.72;4.40;-1.11;1.98;-0.23;1.45;16.18;9.37;-1.54;
28_11_2014_220438;-->;-3.13;3.74;6.95;1.78;-4.86;6.32;2.28;0.46;-0.09;2.40;-0.27;3.73;3.72;1.67;2.11;12.58;5.42;1.32;-3.23;2.99;6.53;3.10;-2.03;4.52;3.99;-0.33;-0.38;2.00;4.22;4.55;4.26;1.40;1.18;9.80;7.41;0.08;7.93;1.43;2.85;4.16;3.03;-0.89;8.44;-1.43;0.05;2.47;-1.56;0.84;2.89;0.20;0.23;11.23;10.49;-2.06;-0.72;1.70;3.94;4.18;2.35;-0.92;8.75;-2.40;-1.02;2.72;4.35;-1.55;2.04;-0.13;1.44;15.73;8.74;-1.28;
28_11_2014_220443;-->;-3.28;3.90;7.08;1.70;-4.61;6.22;2.45;0.42;0.16;2.45;-1.19;3.76;3.71;1.36;1.99;12.49;5.24;1.56;-3.06;2.98;6.65;3.01;-2.02;4.72;3.98;-0.07;0.06;2.07;5.05;4.63;4.33;1.21;1.14;9.43;7.14;0.47;8.15;1.42;2.84;4.18;3.18;-0.93;8.65;-1.27;0.48;2.61;-1.61;1.01;3.24;0.03;0.33;11.02;10.05;-1.63;-0.88;1.57;3.84;4.35;2.93;-1.48;9.30;-2.81;-1.19;2.68;4.38;-0.94;2.04;-0.34;1.41;15.58;8.35;-0.84;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM311;
28_11_2014_220443;AVERAGE;-3.23;3.78;6.99;1.80;-4.64;5.91;2.62;-0.24;-0.61;2.37;-0.66;3.69;3.65;1.49;2.08;12.99;5.89;1.00;-3.13;2.96;6.59;3.14;-1.94;4.29;4.29;-0.88;-0.80;2.04;4.72;4.60;4.36;1.33;1.19;9.90;7.78;-0.08;7.97;1.39;2.84;4.22;3.18;-1.23;8.81;-2.01;-0.37;2.50;-1.57;0.98;3.02;0.13;0.29;11.43;10.80;-2.20;-0.86;1.65;3.83;4.33;2.75;-1.53;9.28;-3.23;-1.72;2.67;4.55;-1.03;2.08;-0.20;1.40;15.79;9.16;-1.46;
