 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
26_11_2014_162413;-->;-7.58;-1.69;0.52;1.12;-1.04;-2.14;-2.72;-3.35;-2.07;2.18;-2.81;0.48;2.87;2.13;3.44;3.02;5.05;0.69;-5.02;-0.32;1.89;0.58;-2.56;-2.18;-1.11;-2.16;-2.43;0.91;1.29;1.46;3.84;2.65;3.79;2.74;3.77;-0.06;9.97;2.68;2.70;0.06;-2.88;-1.89;0.16;-2.65;-3.17;1.69;-6.05;-2.58;2.32;0.87;2.18;1.83;3.40;0.42;3.14;5.59;6.07;0.54;-3.67;-2.91;-1.05;-2.11;-1.84;3.14;2.56;-3.80;0.29;-0.54;0.83;1.22;3.52;1.06;
26_11_2014_162447;-->;-7.58;-1.66;0.41;1.18;-0.94;-2.14;-2.71;-3.84;-2.03;2.14;-2.63;0.36;2.59;2.04;3.43;3.19;5.29;0.79;-4.98;-0.17;1.79;0.53;-2.56;-2.12;-1.01;-2.56;-2.47;1.01;1.18;1.58;3.86;2.66;3.83;2.72;3.79;-0.10;9.94;2.53;2.59;0.03;-2.90;-1.87;0.20;-2.61;-3.24;1.63;-5.90;-2.63;2.35;0.82;2.13;1.80;3.41;0.42;3.12;5.38;5.91;0.54;-3.56;-2.89;-0.98;-2.30;-1.80;3.24;2.63;-4.22;0.25;-0.55;0.83;1.36;3.70;1.05;
26_11_2014_162520;-->;-7.67;-1.62;0.43;1.15;-1.04;-2.14;-2.50;-3.24;-2.29;2.22;-3.46;0.40;2.58;1.95;3.27;2.97;5.19;0.67;-4.97;-0.10;1.85;0.56;-2.58;-2.23;-0.89;-2.00;-2.63;0.94;1.61;1.49;3.76;2.54;3.75;2.65;3.93;-0.10;10.04;2.70;2.66;0.05;-3.02;-1.91;0.35;-2.48;-3.38;1.69;-5.70;-2.57;2.32;0.81;2.08;1.81;3.46;0.37;3.11;5.56;6.14;0.54;-3.66;-2.91;-0.87;-1.92;-1.91;3.14;2.39;-4.18;0.13;-0.62;0.85;1.43;3.86;1.18;
26_11_2014_162554;-->;-7.63;-1.92;0.49;1.25;-0.79;-2.22;-2.96;-3.48;-1.90;2.32;-3.31;0.41;2.64;2.11;3.43;3.12;5.22;0.67;-5.07;-0.39;1.84;0.55;-2.38;-2.13;-1.17;-2.33;-2.42;1.05;1.45;1.51;3.84;2.65;3.80;2.86;3.88;-0.04;9.96;2.61;2.49;0.06;-2.76;-1.84;0.00;-2.70;-3.15;1.65;-5.45;-2.58;2.37;0.82;2.12;1.86;3.59;0.44;3.01;5.38;5.84;0.62;-3.33;-2.93;-1.30;-2.40;-1.67;3.21;2.36;-4.14;0.16;-0.68;0.77;1.43;3.84;1.17;
26_11_2014_162627;-->;-7.58;-1.83;0.42;1.06;-0.94;-2.24;-2.80;-3.60;-2.08;2.25;-2.74;0.38;2.67;1.96;3.40;3.03;5.25;0.73;-5.06;-0.33;1.87;0.52;-2.59;-2.25;-1.06;-2.28;-2.46;1.01;0.81;1.61;3.78;2.55;3.86;2.70;3.82;-0.07;10.01;2.61;2.61;0.00;-2.93;-1.96;0.09;-2.60;-3.16;1.73;-5.75;-2.53;2.38;0.82;2.17;1.82;3.40;0.41;3.17;5.42;5.93;0.46;-3.61;-2.94;-1.09;-2.22;-1.75;3.17;2.51;-3.75;0.33;-0.57;0.85;1.27;3.60;1.07;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
26_11_2014_162627;AVERAGE;-7.61;-1.74;0.45;1.15;-0.95;-2.17;-2.74;-3.50;-2.08;2.22;-2.99;0.40;2.67;2.04;3.39;3.07;5.20;0.71;-5.02;-0.26;1.85;0.55;-2.54;-2.18;-1.05;-2.27;-2.48;0.98;1.27;1.53;3.82;2.61;3.81;2.73;3.84;-0.07;9.98;2.63;2.61;0.04;-2.90;-1.89;0.16;-2.61;-3.22;1.68;-5.77;-2.58;2.35;0.83;2.14;1.83;3.45;0.41;3.11;5.47;5.98;0.54;-3.56;-2.92;-1.06;-2.19;-1.79;3.18;2.49;-4.02;0.23;-0.59;0.83;1.34;3.70;1.11;
