 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
30_11_2014_231600;-->;-5.74;-0.22;1.61;0.53;-2.92;-1.47;2.41;2.96;-1.77;4.00;2.10;1.96;-1.53;-1.21;-1.29;-1.58;0.93;-0.29;-2.90;1.95;4.05;0.65;-3.98;-2.20;1.77;3.34;-0.73;2.99;6.34;2.55;0.32;0.84;1.16;0.95;2.33;0.20;11.27;3.70;3.57;-0.16;-3.80;-1.56;3.27;3.62;-2.04;2.31;-3.55;0.69;4.65;4.05;4.26;3.21;3.28;-0.31;3.12;5.09;5.24;0.19;-4.38;-1.88;2.99;4.06;-1.51;-2.13;0.36;-0.70;2.42;2.11;2.43;2.00;2.80;0.22;
30_11_2014_231613;-->;-5.77;-0.23;1.65;0.42;-2.93;-1.91;1.13;2.18;-0.91;3.89;2.68;2.07;-1.32;-0.96;-1.17;-1.54;0.98;-0.41;-3.02;1.84;4.09;0.59;-3.90;-2.63;0.57;2.54;0.03;2.95;5.88;2.54;0.32;0.91;1.09;0.87;2.27;0.17;11.20;3.80;3.71;-0.15;-3.80;-2.03;1.73;2.66;-1.03;2.29;-3.48;0.86;4.58;4.12;4.14;3.09;3.15;-0.37;3.08;5.02;5.17;0.16;-4.41;-2.22;1.76;3.34;-0.80;-2.09;0.41;-0.59;2.41;2.17;2.40;2.11;2.94;0.25;
30_11_2014_231614;-->;-5.80;-0.24;1.67;0.53;-2.85;-1.52;2.40;2.86;-1.64;3.89;3.28;2.15;-1.12;-0.89;-1.02;-1.58;0.79;-0.45;-3.11;1.84;4.10;0.66;-3.95;-2.26;1.76;3.23;-0.64;2.94;5.48;2.49;0.41;0.90;1.23;0.89;2.27;0.22;11.25;3.73;3.82;-0.07;-3.73;-1.61;2.96;3.42;-1.83;2.35;-3.48;0.79;4.64;4.04;4.13;3.03;3.11;-0.36;3.04;5.03;5.29;0.24;-4.32;-1.83;3.03;4.07;-1.53;-2.10;0.40;-0.92;2.22;2.03;2.42;2.15;3.00;0.46;
30_11_2014_231631;-->;-5.69;-0.23;1.71;0.48;-3.07;-1.80;1.59;2.64;-1.14;3.96;2.42;2.31;-1.05;-0.79;-1.02;-1.51;0.82;-0.58;-2.99;1.86;4.10;0.60;-3.99;-2.55;0.94;2.94;-0.15;2.99;5.96;2.53;0.42;0.84;1.16;0.93;2.25;0.16;11.30;3.80;3.75;-0.14;-3.88;-1.88;2.19;3.06;-1.35;2.27;-3.63;0.84;4.64;4.11;4.26;3.12;3.19;-0.36;3.16;5.08;5.28;0.11;-4.48;-2.18;2.18;3.61;-0.98;-2.09;0.21;-0.70;2.15;2.08;2.40;2.20;3.08;0.37;
30_11_2014_231632;-->;-5.64;-0.21;1.72;0.33;-3.12;-1.39;2.79;3.23;-1.92;3.96;2.51;2.23;-1.14;-0.89;-1.09;-1.61;0.62;-0.48;-2.87;1.91;4.15;0.49;-4.08;-2.20;2.09;3.42;-0.84;2.96;5.83;2.58;0.26;0.84;1.16;0.92;2.18;0.15;11.28;3.89;3.85;-0.21;-3.95;-1.58;3.28;3.62;-1.89;2.26;-3.52;0.81;4.63;4.05;4.12;3.01;3.06;-0.37;3.09;5.17;5.45;0.13;-4.47;-1.86;3.20;4.19;-1.57;-2.10;0.45;-0.34;2.57;2.13;2.46;1.88;2.55;0.07;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
30_11_2014_231632;AVERAGE;-5.73;-0.23;1.67;0.46;-2.98;-1.62;2.06;2.77;-1.48;3.94;2.60;2.14;-1.23;-0.95;-1.12;-1.56;0.83;-0.44;-2.98;1.88;4.10;0.60;-3.98;-2.37;1.43;3.09;-0.47;2.97;5.90;2.54;0.35;0.87;1.16;0.91;2.26;0.18;11.26;3.78;3.74;-0.15;-3.83;-1.73;2.69;3.28;-1.63;2.30;-3.53;0.80;4.63;4.07;4.18;3.09;3.16;-0.35;3.10;5.08;5.29;0.17;-4.41;-2.00;2.63;3.86;-1.28;-2.10;0.36;-0.65;2.35;2.10;2.42;2.07;2.87;0.27;
