 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
10_12_2014_074914;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-3.96;0.34;1.81;-0.66;-4.12;-1.18;1.49;0.82;-0.93;1.51;2.20;3.57;1.77;1.24;2.81;2.10;2.85;0.71;6.86;-1.82;-1.72;-0.39;-1.49;0.05;0.93;-0.29;-1.88;2.92;-0.39;1.18;2.73;2.07;3.38;1.73;1.76;0.29;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
10_12_2014_074944;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-4.04;0.46;1.83;-0.64;-4.15;-1.26;1.20;0.77;-0.80;1.51;2.45;3.58;1.88;1.26;2.76;2.04;2.71;0.72;6.46;-1.52;-1.77;-0.53;-1.49;-0.16;0.42;-0.65;-1.61;2.38;-0.98;2.19;3.17;1.75;3.41;1.72;1.84;0.30;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
10_12_2014_074948;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-3.95;0.42;1.90;-0.58;-4.19;-1.18;1.60;1.26;-0.92;1.56;2.77;3.56;1.85;1.25;2.81;2.15;3.00;0.71;6.76;-1.39;-1.54;-0.31;-1.50;0.00;0.97;-0.38;-1.81;2.36;-1.49;1.36;3.39;2.01;3.35;2.03;1.33;0.15;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
10_12_2014_075018;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-4.02;0.41;1.80;-0.59;-4.16;-1.26;1.25;0.74;-0.73;1.50;2.61;3.60;1.83;1.25;2.79;2.09;2.83;0.65;6.59;-1.63;-1.57;-0.42;-1.59;-0.10;0.84;-0.53;-1.64;3.03;-0.62;0.84;2.99;2.10;3.26;1.75;1.90;-0.05;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
10_12_2014_075021;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-4.05;0.44;1.97;-0.57;-4.19;-1.26;1.43;0.91;-0.84;1.48;2.52;3.59;1.81;1.34;2.87;2.17;2.82;0.76;5.90;-1.56;-1.49;-0.13;-1.55;-0.15;1.08;-0.47;-1.67;2.43;-0.28;1.49;3.68;1.94;2.97;1.48;1.84;0.12;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
10_12_2014_075021;AVERAGE;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;-4.00;0.42;1.86;-0.61;-4.16;-1.22;1.39;0.90;-0.85;1.51;2.51;3.58;1.83;1.27;2.81;2.11;2.84;0.71;6.51;-1.58;-1.62;-0.35;-1.52;-0.07;0.85;-0.46;-1.72;2.62;-0.75;1.41;3.19;1.97;3.27;1.74;1.73;0.16;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
