 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;
10_12_2014_075112;-->;-2.79;3.07;4.95;-0.65;-7.36;6.50;1.06;0.04;2.28;3.23;2.67;5.09;2.62;1.12;-3.80;-10.74;12.73;-1.32;-3.42;0.37;1.46;-1.13;-7.02;6.39;1.95;1.86;-0.51;2.88;?;2.73;0.48;-0.66;-3.67;-6.72;13.98;-6.02;9.41;3.33;2.96;-0.12;-4.10;2.58;4.11;-1.54;-2.11;2.73;-1.75;1.21;4.11;2.57;-3.30;-10.73;12.13;-0.68;3.20;5.09;5.57;-0.07;-5.67;3.40;3.62;-2.88;0.94;-3.95;-3.14;-1.51;3.39;3.30;-0.89;-4.24;7.38;-3.21;
10_12_2014_075114;-->;-2.35;3.57;5.21;-1.15;-7.93;6.37;1.14;-1.54;3.79;3.21;2.60;5.16;2.64;1.14;-3.90;-10.86;13.09;-1.59;-3.53;0.35;1.35;-1.27;-6.88;5.39;2.83;-0.45;0.40;2.76;?;2.78;0.57;-0.65;-3.70;-6.51;14.31;-6.44;9.58;3.27;3.17;-0.13;-3.76;1.36;5.16;-4.02;-0.78;2.75;-1.61;1.13;4.22;2.64;-3.31;-10.61;12.29;-0.96;3.69;5.59;5.70;-0.54;-6.32;3.40;3.65;-4.34;2.89;-3.90;-3.35;-1.51;3.67;3.46;-0.97;-4.36;7.64;-3.29;
10_12_2014_075115;-->;-2.88;3.20;4.97;-0.56;-7.04;5.19;2.16;-2.51;3.42;3.27;2.42;5.16;2.87;1.18;-4.00;-10.01;14.17;-3.01;-3.67;0.21;1.27;-0.78;-6.56;4.81;3.28;-0.86;0.44;2.78;?;2.48;0.72;-0.76;-3.86;-5.81;15.39;-7.81;9.22;3.14;2.90;0.17;-3.57;0.80;5.68;-4.35;-0.78;2.48;-2.10;1.08;4.23;2.48;-3.38;-9.90;13.38;-2.60;3.06;5.06;5.54;0.23;-5.22;1.88;5.06;-5.54;2.32;-3.84;-3.18;-1.66;3.43;3.33;-1.07;-3.64;8.67;-4.74;
10_12_2014_075119;-->;-3.00;2.87;4.86;-0.73;-7.25;6.42;1.19;-0.12;1.79;3.18;2.99;5.13;2.72;1.23;-3.87;-10.83;12.93;-1.43;-3.59;0.16;1.32;-1.29;-6.91;6.14;2.08;1.61;-0.91;2.88;?;2.55;0.44;-0.48;-3.68;-6.71;14.18;-6.22;9.34;3.26;3.03;-0.14;-4.01;2.53;4.32;-1.60;-2.40;2.59;-2.06;1.17;4.15;2.67;-3.26;-10.59;12.25;-0.78;3.01;5.12;5.96;-0.01;-5.29;3.01;4.08;-3.32;0.52;-3.95;-2.71;-1.23;3.61;3.50;-0.98;-4.44;7.51;-3.08;
10_12_2014_075120;-->;-3.01;2.86;4.88;-0.37;-6.73;4.98;2.33;-2.33;2.50;3.21;2.37;5.32;2.80;1.02;-3.99;-10.00;14.34;-3.15;-3.67;0.08;1.20;-0.69;-6.34;4.50;3.34;-0.90;-0.21;2.92;?;2.57;0.65;-0.78;-3.87;-6.10;15.72;-7.82;9.38;3.13;3.03;0.10;-3.64;1.27;5.23;-3.74;-1.06;2.61;-1.92;1.29;4.50;2.51;-3.31;-9.82;13.32;-2.59;3.02;5.09;5.82;0.25;-5.06;1.89;4.81;-5.34;1.77;-3.82;-3.14;-1.16;3.54;3.32;-0.94;-3.51;8.72;-5.02;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTM.BPM00;BTY.BPM119;BTY.BPM152;BTY.BPM202;
10_12_2014_075120;AVERAGE;-2.81;3.12;4.98;-0.69;-7.26;5.89;1.58;-1.29;2.76;3.22;2.61;5.17;2.73;1.14;-3.91;-10.49;13.45;-2.10;-3.58;0.23;1.32;-1.03;-6.74;5.45;2.70;0.25;-0.16;2.84;?;2.62;0.57;-0.67;-3.76;-6.37;14.72;-6.86;9.39;3.23;3.02;-0.02;-3.82;1.71;4.90;-3.05;-1.43;2.63;-1.89;1.18;4.25;2.57;-3.31;-10.33;12.67;-1.52;3.20;5.19;5.72;-0.03;-5.51;2.72;4.24;-4.28;1.69;-3.89;-3.10;-1.41;3.53;3.38;-0.97;-4.04;7.99;-3.87;
