 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
10_12_2014_074715;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.19;2.74;2.82;0.36;-2.54;-0.20;0.80;-1.05;-1.71;3.09;-2.14;0.00;3.05;2.48;2.57;0.71;2.45;-1.19;2.63;4.67;5.09;0.41;-3.45;-0.62;0.91;-0.08;-1.27;-2.02;0.57;2.33;5.31;3.42;2.65;-1.16;-0.37;-3.42;
10_12_2014_074749;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.21;2.76;2.83;0.39;-2.51;-0.23;0.63;-1.22;-1.60;3.09;-2.09;-0.12;3.04;2.49;2.57;0.64;2.43;-1.26;2.54;4.60;4.92;0.39;-3.43;-0.71;0.64;-0.25;-1.21;-2.02;0.45;1.90;5.35;3.44;2.65;-1.22;-0.48;-3.42;
10_12_2014_074823;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.35;2.88;2.92;0.26;-2.72;-0.24;0.90;-0.94;-1.76;3.22;-2.22;-0.08;2.94;2.45;2.56;0.64;2.39;-1.29;2.67;4.68;5.11;0.28;-3.58;-0.66;1.04;0.03;-1.39;-2.06;0.57;2.16;5.31;3.43;2.64;-1.13;-0.29;-3.50;
10_12_2014_074856;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.25;2.78;2.77;0.34;-2.54;-0.24;0.69;-1.20;-1.67;3.14;-2.26;-0.08;3.07;2.55;2.57;0.64;2.39;-1.31;2.59;4.67;4.77;0.40;-3.45;-0.72;0.70;-0.20;-1.23;-2.06;0.67;2.11;5.20;3.48;2.61;-1.18;-0.22;-3.43;
10_12_2014_074930;-->;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.15;2.81;2.93;0.30;-2.64;-0.18;0.75;-1.07;-1.68;3.14;-2.20;-0.04;2.97;2.57;2.53;0.64;2.39;-1.23;2.74;4.73;5.07;0.28;-3.61;-0.60;0.99;0.03;-1.39;-2.06;0.63;2.11;5.23;3.53;2.64;-1.20;-0.35;-3.41;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
10_12_2014_074930;AVERAGE;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;9.23;2.80;2.85;0.33;-2.59;-0.22;0.75;-1.10;-1.68;3.14;-2.18;-0.06;3.02;2.51;2.56;0.65;2.41;-1.26;2.63;4.67;4.99;0.35;-3.50;-0.66;0.86;-0.10;-1.30;-2.05;0.58;2.12;5.28;3.46;2.64;-1.18;-0.34;-3.44;
