 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
10_12_2014_234141;-->;-5.09;0.25;1.86;-0.09;-4.08;-2.01;1.54;2.75;-1.09;1.78;-1.72;3.10;2.11;3.60;4.53;5.01;5.52;1.80;-3.08;1.82;3.80;0.60;-4.04;-2.97;-0.27;2.10;0.41;2.22;5.05;4.86;3.67;3.73;3.94;2.68;2.43;-0.31;1.86;3.71;3.81;-0.09;-3.83;-2.45;0.72;2.20;-0.66;-2.64;-3.51;1.17;4.58;4.05;4.20;3.04;2.96;-0.19;3.63;5.52;6.01;-0.22;-5.39;-2.46;1.86;3.70;-0.85;-3.32;-0.25;3.66;7.59;5.16;4.49;1.10;-0.32;-2.56;
10_12_2014_234156;-->;-5.72;-0.31;1.37;0.34;-3.10;-2.18;0.48;1.80;-0.81;1.71;-2.33;3.12;2.27;3.79;4.65;5.16;5.67;1.76;-3.09;1.81;3.68;0.47;-4.09;-2.91;-0.11;2.13;0.14;2.24;5.25;4.89;3.79;3.83;3.97;2.69;2.43;-0.40;1.86;3.68;3.82;-0.25;-3.98;-2.36;1.06;2.35;-0.91;-2.73;-3.58;1.15;4.70;4.10;4.11;2.92;2.76;-0.30;3.11;5.06;5.46;0.21;-4.50;-2.61;0.80;2.82;-0.47;-3.32;-0.46;3.52;7.51;5.26;4.60;1.36;0.00;-2.50;
10_12_2014_234157;-->;-5.76;-0.41;1.43;0.34;-3.07;-1.72;1.85;2.52;-1.58;1.74;-2.14;3.17;2.39;3.93;4.75;5.27;5.91;1.71;-3.10;1.67;3.74;0.57;-4.00;-2.42;1.35;2.92;-0.67;2.24;5.05;4.83;3.77;3.89;4.03;2.86;2.66;-0.34;1.83;3.70;3.67;-0.22;-3.94;-1.90;2.51;3.17;-1.74;-2.66;-3.43;1.13;4.64;4.05;4.08;3.00;2.82;-0.31;3.06;5.04;5.25;0.20;-4.47;-2.15;2.30;3.65;-1.31;-3.30;-0.41;3.59;7.51;5.24;4.59;1.37;0.10;-2.46;
10_12_2014_234214;-->;-5.12;0.22;1.76;-0.17;-4.11;-1.95;1.56;2.53;-1.15;1.70;-2.06;3.33;2.33;3.74;4.63;5.02;5.37;1.75;-3.15;1.78;3.70;0.57;-4.00;-2.98;-0.32;1.85;0.42;2.22;5.35;4.95;3.69;3.71;3.85;2.66;2.30;-0.27;1.78;3.65;3.75;-0.23;-3.86;-2.37;0.85;2.21;-0.77;-2.72;-3.62;1.16;4.62;4.09;4.23;3.19;2.93;-0.12;3.66;5.47;6.01;-0.28;-5.37;-2.49;1.78;3.52;-0.74;-3.28;-0.23;3.78;7.40;5.06;4.42;1.20;-0.24;-2.41;
10_12_2014_234215;-->;-5.75;-0.34;1.45;0.22;-3.23;-1.61;2.04;2.68;-1.68;1.68;-2.31;3.37;2.38;3.81;4.61;5.02;5.26;1.68;-3.11;1.73;3.74;0.48;-4.12;-2.36;1.33;2.94;-0.66;2.22;5.23;4.95;3.67;3.77;3.87;2.72;2.28;-0.25;1.98;3.69;3.85;-0.26;-3.96;-1.84;2.50;3.19;-1.69;-2.69;-3.48;1.21;4.55;4.08;4.17;3.11;2.93;-0.10;3.21;5.10;5.72;0.09;-4.60;-2.08;2.40;3.78;-1.32;-3.25;-0.28;3.91;7.53;5.20;4.50;1.21;-0.25;-2.51;
 ; ;Ring 1 H; ; ; ; ; ; ; ; ;Ring 1 V; ; ; ; ; ; ; ; ;Ring 2 H; ; ; ; ; ; ; ; ;Ring 2 V; ; ; ; ; ; ; ; ;Ring 3 H; ; ; ; ; ; ; ; ;Ring 3 V; ; ; ; ; ; ; ; ;Ring 4 H; ; ; ; ; ; ; ; ;Ring 4 V; ; ; ; ; ; ; ; ;
Date;Pick-ups;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;BTx.BPM00;BTx.BPM10;BTx.BPM20;BT.BPM30;BT.BPM40;BTP.BPM00;BTP.BPM10;BTP.BPM20;BTP.BPM30;
10_12_2014_234215;AVERAGE;-5.49;-0.12;1.57;0.13;-3.52;-1.89;1.49;2.46;-1.26;1.72;-2.11;3.22;2.30;3.77;4.63;5.10;5.55;1.74;-3.11;1.76;3.73;0.54;-4.05;-2.73;0.39;2.39;-0.07;2.23;5.18;4.90;3.72;3.78;3.93;2.72;2.42;-0.32;1.86;3.69;3.78;-0.21;-3.91;-2.18;1.53;2.63;-1.16;-2.69;-3.52;1.17;4.62;4.07;4.16;3.05;2.88;-0.20;3.33;5.24;5.69;-0.00;-4.87;-2.36;1.83;3.49;-0.94;-3.29;-0.33;3.69;7.51;5.19;4.52;1.25;-0.14;-2.49;
